p,rh,t,ts
101.601,83.77,20.431,1550940162.85470
101.6,83.74,20.439,1550940165.32060
101.601,83.69,20.449,1550940167.78859
101.601,83.62,20.454,1550940170.25590
101.602,83.58,20.474,1550940172.72304
101.601,83.53,20.481,1550940175.19047
101.6,83.47,20.496,1550940177.65750
101.601,83.4,20.504,1550940180.12472
101.6,83.33,20.512,1550940182.59186
101.601,83.27,20.526,1550940185.06054
101.598,83.23,20.545,1550940187.53032
101.598,83.15,20.555,1550940189.99608
101.598,83.1,20.565,1550940192.46316
101.598,83.04,20.578,1550940194.93025
101.598,83,20.593,1550940197.39741
101.595,82.94,20.602,1550940199.86462
101.601,82.88,20.615,1550940202.33251
101.597,82.83,20.624,1550940204.79847
101.596,82.79,20.638,1550940207.26632
101.599,82.76,20.653,1550940209.73614
101.599,82.75,20.663,1550940212.20462
101.599,82.73,20.676,1550940214.67249
101.602,82.7,20.687,1550940217.14241
101.6,82.66,20.703,1550940219.61208
101.601,82.62,20.713,1550940222.08122
101.603,82.58,20.726,1550940224.54874
101.6,82.55,20.722,1550940227.00803
101.605,82.54,20.751,1550940229.46839
101.605,82.52,20.759,1550940231.92801
101.602,82.49,20.769,1550940234.39515
101.605,82.47,20.783,1550940236.86258
101.602,82.48,20.798,1550940239.32979
101.603,82.48,20.807,1550940241.78793
101.607,82.47,20.826,1550940244.25674
101.606,82.45,20.842,1550940246.72570
101.603,82.45,20.854,1550940249.19282
101.607,82.43,20.865,1550940251.66036
101.608,82.41,20.879,1550940254.11800
101.603,82.38,20.891,1550940256.58818
101.602,82.36,20.906,1550940259.05747
101.603,82.34,20.924,1550940261.52656
101.604,82.32,20.926,1550940263.98822
101.606,82.31,20.942,1550940266.45813
101.604,82.29,20.947,1550940268.91791
101.604,82.27,20.957,1550940271.38326
101.603,82.26,20.976,1550940273.85640
101.605,82.25,20.98,1550940276.32380
101.604,82.27,20.987,1550940278.78829
101.604,82.29,21.007,1550940281.25591
101.604,82.31,21.018,1550940283.71814
101.603,82.33,21.037,1550940286.18751
101.604,82.33,21.049,1550940288.65416
101.606,82.26,21.057,1550940291.11805
101.606,82.24,21.071,1550940293.58536
101.61,82.26,21.086,1550940296.04786
101.603,82.3,21.1,1550940298.51503
101.604,82.33,21.12,1550940300.98254
101.607,82.36,21.143,1550940303.45131
101.608,82.37,21.155,1550940305.91853
101.605,82.33,21.17,1550940308.38573
101.607,82.31,21.187,1550940310.85208
101.606,82.29,21.208,1550940313.32059
101.606,82.24,21.22,1550940315.78826
101.607,82.18,21.234,1550940318.25702
101.613,82.15,21.25,1550940320.72655
101.61,82.11,21.261,1550940323.19555
101.611,82.05,21.265,1550940325.66405
101.606,82.02,21.27,1550940328.13386
101.61,82,21.274,1550940330.60433
101.611,81.97,21.279,1550940333.07406
101.608,81.91,21.279,1550940335.54591
101.607,81.85,21.276,1550940338.01138
101.611,81.76,21.277,1550940340.47052
101.612,81.66,21.279,1550940342.93778
101.609,81.53,21.273,1550940345.40500
101.61,81.46,21.276,1550940347.87219
101.608,81.43,21.279,1550940350.33958
101.607,81.43,21.284,1550940352.80666
101.607,81.4,21.289,1550940355.27404
101.608,81.38,21.287,1550940357.74108
101.612,81.38,21.3,1550940360.20840
101.613,81.35,21.303,1550940362.67562
101.611,81.28,21.3,1550940365.13791
101.608,81.17,21.304,1550940367.60505
101.609,81.12,21.31,1550940370.07241
101.61,81.07,21.314,1550940372.53994
101.611,81.04,21.314,1550940375.00826
101.607,81.05,21.324,1550940377.46776
101.609,81.09,21.325,1550940379.93492
101.608,81.13,21.338,1550940382.40336
101.608,81.15,21.335,1550940384.86923
101.609,81.16,21.35,1550940387.33646
101.61,81.12,21.349,1550940389.80472
101.607,81.1,21.349,1550940392.27003
101.606,81.08,21.344,1550940394.73723
101.608,81.08,21.351,1550940397.20564
101.609,81.06,21.342,1550940399.67278
101.609,81,21.34,1550940402.14006
101.608,80.88,21.335,1550940404.59857
101.609,80.81,21.329,1550940407.06582
101.607,80.82,21.325,1550940409.53283
101.607,80.83,21.322,1550940411.99992
101.611,80.81,21.317,1550940414.46702
101.609,80.78,21.305,1550940416.93443
101.608,80.79,21.304,1550940419.40133
101.609,80.79,21.296,1550940421.86888
101.609,80.76,21.285,1550940424.33135
101.608,80.72,21.273,1550940426.79910
101.61,80.66,21.26,1550940429.26828
101.607,80.6,21.247,1550940431.73768
101.608,80.53,21.236,1550940434.20496
101.61,80.51,21.225,1550940436.67153
101.609,80.53,21.215,1550940439.13836
101.613,80.55,21.204,1550940441.60821
101.609,80.51,21.194,1550940444.08275
101.614,80.49,21.186,1550940446.55424
101.61,80.47,21.168,1550940449.02176
101.61,80.5,21.158,1550940451.48910
101.612,80.56,21.15,1550940453.95693
101.615,80.61,21.145,1550940456.42424
101.609,80.63,21.135,1550940458.89423
101.611,80.66,21.126,1550940461.35826
101.607,80.67,21.115,1550940463.82533
101.611,80.69,21.104,1550940466.29254
101.61,80.7,21.098,1550940468.75963
101.606,80.62,21.087,1550940471.22658
101.609,80.6,21.068,1550940473.68780
101.608,80.63,21.06,1550940476.15490
101.607,80.66,21.056,1550940478.62202
101.61,80.69,21.048,1550940481.08960
101.609,80.69,21.037,1550940483.55793
101.608,80.72,21.026,1550940486.01779
101.607,80.74,21.024,1550940488.48135
101.61,80.76,21.017,1550940490.94896
101.608,80.79,20.999,1550940493.40885
101.607,80.83,20.994,1550940495.87993
101.61,80.86,20.979,1550940498.35017
101.612,80.9,20.98,1550940500.82081
101.611,80.94,20.973,1550940503.29119
101.609,81,20.969,1550940505.76033
101.609,81.02,20.973,1550940508.22778
101.61,81.03,20.973,1550940510.69499
101.606,81.05,20.978,1550940513.16227
101.61,81.07,20.985,1550940515.63351
101.609,81.08,20.998,1550940518.10090
101.608,81.1,20.998,1550940520.56815
101.606,81.11,21.008,1550940523.03590
101.611,81.13,21.024,1550940525.50306
101.611,81.14,21.029,1550940527.97013
101.609,81.14,21.038,1550940530.43740
101.609,81.11,21.04,1550940532.90504
101.61,81.01,21.041,1550940535.37240
101.609,80.87,21.039,1550940537.83797
101.61,80.83,21.041,1550940540.30564
101.606,80.8,21.036,1550940542.77339
101.612,80.81,21.039,1550940545.24122
101.61,80.74,21.029,1550940547.71018
101.612,80.69,21.031,1550940550.17777
