file,current,scan_rate
NF04_Fe_100_2500mvs_1,23.36,2500
NF04_Fe_100_2500mvs_2,21.466,2500
NF04_Fe_100_2500mvs_3,23.763,2500
NF04_Fe_200_0500mvs_1,32.356,500
NF04_Fe_200_0500mvs_2,30.022,500
NF04_Fe_200_0500mvs_3,24.857,500
NF04_Fe_200_1500mvs_1,24.958,1500
NF04_Fe_200_1500mvs_2,38.194,1500
NF04_Fe_200_1500mvs_3,37.396,1500
NF04_Fe_200_2500mvs_1,41.335,2500
NF04_Fe_200_2500mvs_2,41.553,2500
NF04_Fe_200_2500mvs_3,43.964,2500
NF04_HS_010_0500mvs_1,31.045,500
NF04_HS_010_0500mvs_2,43.339,500
NF04_HS_010_0500mvs_3,42.568,500
NF04_HS_010_1500mvs_1,86.707,1500
NF04_HS_010_1500mvs_2,78.233,1500
NF04_HS_010_1500mvs_3,82.026,1500
NF04_HS_010_2500mvs_1,127.487,2500
NF04_HS_010_2500mvs_2,116.073,2500
NF04_HS_010_2500mvs_3,115.612,2500
NF04_HS_025_0500mvs_1,101.564,500
NF04_HS_025_0500mvs_2,101.564,500
NF04_HS_025_0500mvs_3,107.159,500
NF04_HS_025_1500mvs_1,197.861,1500
NF04_HS_025_1500mvs_2,189.244,1500
NF04_HS_025_1500mvs_3,187.785,1500
NF04_HS_025_2500mvs_1,283.291,2500
NF04_HS_025_2500mvs_2,263.411,2500
NF04_HS_025_2500mvs_3,298.216,2500
NF04_HS_050_0500mvs_1,154.37,500
NF04_HS_050_0500mvs_2,137.622,500
NF04_HS_050_0500mvs_3,135.542,500
NF04_HS_050_1500mvs_1,270.801,1500
NF04_HS_050_1500mvs_2,256.653,1500
NF04_HS_050_1500mvs_3,253.198,1500
NF04_HS_050_2500mvs_1,375.109,2500
NF04_HS_050_2500mvs_2,341.646,2500
NF04_HS_050_2500mvs_3,385.541,2500
NF04_HS_100_0500mvs_1,251.767,500
NF04_HS_100_0500mvs_2,258.537,500
NF04_HS_100_0500mvs_3,253.622,500
NF04_HS_100_1500mvs_1,522.35,1500
NF04_HS_100_1500mvs_2,543.745,1500
NF04_HS_100_1500mvs_3,528.77,1500
NF04_HS_100_2500mvs_1,730.333,2500
NF04_HS_100_2500mvs_2,725.749,2500
NF04_HS_100_2500mvs_3,760.168,2500
NF04_Mn_025_0500mvs_1,6.352,500
NF04_Mn_025_0500mvs_2,6.601,500
NF04_Mn_025_0500mvs_3,6.155,500
NF04_Mn_025_1500mvs_1,8.401,1500
NF04_Mn_025_1500mvs_2,8.658,1500
NF04_Mn_025_1500mvs_3,8.985,1500
NF04_Mn_025_2500mvs_1,11.01,2500
NF04_Mn_025_2500mvs_2,11.138,2500
NF04_Mn_025_2500mvs_3,11.359,2500
NF04_Mn_050_0500mvs_1,11.028,500
NF04_Mn_050_0500mvs_2,9.572,500
NF04_Mn_050_0500mvs_3,9.998,500
NF04_Mn_050_1500mvs_1,15.356,1500
NF04_Mn_050_1500mvs_2,15.462,1500
NF04_Mn_050_1500mvs_3,15.655,1500
NF04_Mn_050_2500mvs_1,19.021,2500
NF04_Mn_050_2500mvs_2,19.021,2500
NF04_Mn_050_2500mvs_3,19.68,2500
NF04_Mn_100_0500mvs_1,17.178,500
NF04_Mn_100_0500mvs_2,17.156,500
NF04_Mn_100_0500mvs_3,17.353,500
NF04_Mn_100_1500mvs_1,28.485,1500
NF04_Mn_100_1500mvs_2,28.378,1500
NF04_Mn_100_1500mvs_3,28.778,1500
NF04_Mn_100_2500mvs_1,36.587,2500
NF04_Mn_100_2500mvs_2,36.787,2500
NF04_Mn_100_2500mvs_3,37.087,2500
NF04_Mn_200_0500mvs_1,30.53,500
NF04_Mn_200_0500mvs_2,30.973,500
NF04_Mn_200_0500mvs_3,30.777,500
NF04_Mn_200_1500mvs_1,52.563,1500
NF04_Mn_200_1500mvs_2,52.779,1500
NF04_Mn_200_1500mvs_3,53.972,1500
NF04_Mn_200_2500mvs_1,68.857,2500
NF04_Mn_200_2500mvs_2,69.024,2500
NF04_Mn_200_2500mvs_3,69.668,2500
NF04_O2_100_0500mvs_1,62.818,500
NF04_O2_100_0500mvs_2,63.604,500
NF04_O2_100_0500mvs_3,63.604,500
NF04_O2_100_1500mvs_1,85.328,1500
NF04_O2_100_1500mvs_2,85.852,1500
NF04_O2_100_1500mvs_3,87.161,1500
NF04_O2_100_2500mvs_1,102.08,2500
NF04_O2_100_2500mvs_2,102.603,2500
