electrode,analyte,scan_rate,intercept,slope,r_sq
NF02,Fe,500,32.83190116671079,3.2898734380468313,0.9438416013491334
NF02,Fe,1500,9.58862324523787,2.27784548432089,0.9765761613608752
NF02,Fe,2500,-15.99183043169451,1.9987066287177968,0.9912783736390948
NF02,Mn,500,4.226609063192882,8.872900649593994,0.9635202883734576
NF02,Mn,1500,-15.715318136974261,4.506119911086799,0.9776710690600219
NF02,Mn,2500,-58.296015915359774,3.928990101690039,0.9953910411420279
NF02,HS,500,-0.9706082687809783,0.5381713027208936,0.9736643121582487
NF02,HS,1500,-0.07603686955737032,0.24279837116725958,0.9801848857911747
NF02,HS,2500,0.4152328291252445,0.16788245642460214,0.9936537962896987
NF02,O2,500,-130.63609658937455,7.798945239102424,0.9939553033986682
NF02,O2,1500,-200.3766296096572,5.410942204674172,0.9894682973174248
NF02,O2,2500,-316.3011936162255,5.051065369607563,0.985408115223355
NF04,Fe,500,10.361469375799473,6.480270027557182,0.9312680971541542
NF04,Fe,1500,2.5458881133731524,5.62403645521257,0.855156430869636
NF04,Fe,2500,-16.81714202196146,5.12544640800791,0.9916268054385996
NF04,Mn,500,-21.952158777427243,7.1472322178575585,0.9983828117404658
NF04,Mn,1500,-10.328962014320425,3.9208104783157096,0.9992401305035574
NF04,Mn,2500,-8.442616325166583,2.986302370746676,0.9996128156944433
NF04,HS,500,-11.485551867461268,0.42478967517094607,0.9762172827211139
NF04,HS,1500,-8.056457857054994,0.20218394734823242,0.9849586460290058
NF04,HS,2500,-9.557838853308091,0.146921854033731,0.9787899019102312
NF04,O2,500,-174.8963159136951,6.433339083080608,0.9980436390770759
NF04,O2,1500,-166.11975425029772,4.629456894155297,0.9974896369974351
NF04,O2,2500,-141.02374579264324,3.6248993233248448,0.9970164941500682
NF06,Fe,500,43.478338325655145,7.522554112355522,0.9348728647055395
NF06,Fe,1500,23.983387741510867,7.1796138196313395,0.9814036783865049
NF06,Fe,2500,10.155679111912505,6.133753957889532,0.956888562207553
NF06,Mn,500,-26.119448880868447,8.171944062461447,0.9949201284333297
NF06,Mn,1500,-10.75747642002942,4.996740706403,0.9987944850404818
NF06,Mn,2500,-1.3941895961303317,3.701114941869034,0.9993863958970493
NF06,HS,500,1.884038306434988,0.36290034455556774,0.9065904296078735
NF06,HS,1500,1.8049669578680465,0.1682200850737064,0.9094686744974261
NF06,HS,2500,1.5611645118462931,0.12501675005287316,0.9477677553610849
NF06,O2,500,-130.8800051914631,6.957396074145803,0.9949581584524814
NF06,O2,1500,-132.1450257663804,5.3174579257317545,0.9970842628742937
NF06,O2,2500,-133.22649713441913,4.598498076016157,0.9977119194987123
NF07,Fe,500,-30.644920668059484,6.791175944100746,0.979123182662394
NF07,Fe,1500,-57.80339588588137,4.003242334736445,0.9881355485745303
NF07,Fe,2500,-75.65413016030575,3.22849285297137,0.9864504982155929
NF07,Mn,500,-44.805800395237114,7.61485442547933,0.9811876141191962
NF07,Mn,1500,-44.32246422925017,4.487340537912446,0.987395867574272
NF07,Mn,2500,-47.786758769007335,3.428659239423743,0.9829013165097927
NF07,HS,500,-3.582925432540634,0.4798345320449415,0.9853213435299037
NF07,HS,1500,-4.450990362727609,0.24240081479948064,0.9962146253640822
NF07,HS,2500,-4.305102091046152,0.1728050961920418,0.9859626243719142
NF07,O2,500,-108.16553835985306,6.741929533935659,0.9987282313211877
NF07,O2,1500,-179.21974781847246,5.053732109686102,0.9988503676509455
NF07,O2,2500,-198.247445843194,4.017108365286475,0.9991068678408943
NF09,Fe,500,-15.435841733991879,10.058999087752952,0.8270178916861303
NF09,Fe,1500,-67.7388859854479,9.486210366911806,0.9463669137549725
NF09,Fe,2500,-67.04764136882656,7.18996474477526,0.9559923941888485
NF09,Mn,500,-32.50761087961625,10.608031584546653,0.958939341757234
NF09,Mn,1500,-9.152064282729597,5.627591248246294,0.9952043540592133
NF09,Mn,2500,-3.4936429338615795,4.285701651682211,0.9946568906899176
NF09,HS,500,-2.6036710175077857,0.4453683114830864,0.9743943208853219
NF09,HS,1500,-1.450776620963893,0.21937406446001492,0.9629931241294204
NF09,HS,2500,-1.932245395657759,0.16318327132524743,0.9657445974019853
NF09,O2,500,-77.25331015374493,7.0517945475107835,0.9995635284303633
NF09,O2,1500,-52.853582299543945,4.731769275697983,0.9989543597551419
NF09,O2,2500,-43.30012581639829,3.8069495234777504,0.9982113171363525
NF14,Fe,500,-174.54676664109178,13.818162630367507,0.5016080989317679
NF14,Fe,1500,-559.4426204376375,21.395241318033648,0.5673516010165643
NF14,Fe,2500,375.0756233441225,-6.245175464583198,0.029830454756768706
NF14,Mn,500,-54.49082849599877,10.061416557519857,0.986185553880603
NF14,Mn,1500,-39.73098255952836,5.5981686864057005,0.9985584584426797
NF14,Mn,2500,-40.254059519129285,4.305160275592622,0.9984735249833964
NF14,HS,500,11.502978257287616,0.24242810716357724,0.9688108055518649
NF14,HS,1500,13.819270887826633,0.1216339872178817,0.9350655196961872
NF14,HS,2500,13.440810110036807,0.08970300949687897,0.9347487608644764
NF14,O2,500,-79.93764307884189,9.207170053010396,0.9982422165402955
NF14,O2,1500,-104.38125509370641,6.886535691402839,0.9983611412499505
NF14,O2,2500,-132.83376038561315,5.910711073705824,0.9968553815852443
