p,rh,t,ts
101.461,62.25,25.949,1550975520.00000
101.46,62.53,25.918,1550975522.45983
101.458,62.79,25.904,1550975524.92609
101.458,62.95,25.89,1550975527.39258
101.459,62.8,25.867,1550975529.85749
101.461,62.97,25.86,1550975532.31796
101.464,63.22,25.846,1550975534.78329
101.456,63.23,25.813,1550975537.24957
101.456,63.29,25.811,1550975539.71687
101.461,63.52,25.799,1550975542.18791
101.458,63.74,25.788,1550975544.65450
101.467,63.82,25.775,1550975547.12409
101.463,63.79,25.765,1550975549.59038
101.466,63.98,25.761,1550975552.05137
101.466,64.04,25.759,1550975554.51861
101.47,64.07,25.75,1550975556.97814
101.461,64.17,25.748,1550975559.44537
101.456,64.07,25.734,1550975561.91181
101.459,64.11,25.734,1550975564.37865
101.464,64.1,25.729,1550975566.84570
101.462,63.74,25.715,1550975569.31412
101.466,63.57,25.715,1550975571.77838
101.464,63.64,25.713,1550975574.23820
101.463,63.64,25.704,1550975576.70759
101.46,63.45,25.694,1550975579.17625
101.466,63.57,25.691,1550975581.64338
101.461,64.03,25.687,1550975584.11081
101.465,63.77,25.692,1550975586.56725
101.468,62.71,25.639,1550975589.03388
101.457,62.78,25.654,1550975591.50137
101.469,62.93,25.658,1550975593.96839
101.462,62.87,25.656,1550975596.42835
101.463,62.98,25.655,1550975598.88994
101.469,63.28,25.654,1550975601.34728
101.466,63.34,25.657,1550975603.81493
101.462,63.42,25.657,1550975606.28235
101.462,63.58,25.657,1550975608.74992
101.464,63.64,25.664,1550975611.21855
101.463,63.65,25.677,1550975613.68502
101.468,63.86,25.677,1550975616.15167
101.467,63.59,25.681,1550975618.61910
101.468,63.5,25.671,1550975621.08664
101.473,63.65,25.661,1550975623.55457
101.469,63.88,25.651,1550975626.01829
101.469,64.05,25.651,1550975628.48549
101.468,64.15,25.65,1550975630.95360
101.467,64.28,25.651,1550975633.41848
101.471,64.39,25.658,1550975635.88589
101.47,64.48,25.658,1550975638.34856
101.469,64.56,25.66,1550975640.81689
101.469,64.61,25.676,1550975643.28401
101.467,64.62,25.678,1550975645.75131
101.471,64.65,25.689,1550975648.21858
101.469,64.7,25.698,1550975650.68552
101.468,64.75,25.702,1550975653.15262
101.468,64.8,25.715,1550975655.61406
101.47,64.88,25.725,1550975658.08110
101.468,64.98,25.733,1550975660.54969
101.464,65.05,25.748,1550975663.01680
101.469,65.07,25.756,1550975665.47827
101.467,65.06,25.769,1550975667.94553
101.468,65.05,25.778,1550975670.41263
101.468,65.07,25.79,1550975672.88000
101.47,65.12,25.805,1550975675.34663
101.47,65.22,25.814,1550975677.81371
101.466,65.28,25.825,1550975680.28244
101.466,65.33,25.837,1550975682.75067
101.474,65.36,25.848,1550975685.21818
101.469,65.33,25.86,1550975687.68546
101.467,65.25,25.871,1550975690.15268
101.473,65.19,25.883,1550975692.62015
101.472,65.12,25.899,1550975695.08805
101.473,65.04,25.915,1550975697.54833
101.472,65.01,25.926,1550975700.01678
101.473,65.02,25.932,1550975702.48551
101.474,65.01,25.948,1550975704.95269
101.471,65.01,25.959,1550975707.42086
101.473,65.05,25.973,1550975709.88955
101.477,65.08,25.984,1550975712.35693
101.475,65.08,25.999,1550975714.82410
101.474,65.06,26.009,1550975717.29122
101.476,65.04,26.016,1550975719.75876
101.468,65.02,26.034,1550975722.22600
101.474,64.94,26.041,1550975724.69355
101.475,64.88,26.056,1550975727.16095
101.472,64.85,26.065,1550975729.62820
101.471,64.85,26.076,1550975732.09591
101.476,64.87,26.096,1550975734.55827
101.471,64.9,26.108,1550975737.02571
101.475,64.89,26.12,1550975739.49320
101.476,64.9,26.133,1550975741.96050
101.474,64.93,26.144,1550975744.42738
101.478,64.97,26.16,1550975746.89612
101.478,65.01,26.173,1550975749.36581
101.476,65.01,26.183,1550975751.83301
101.474,64.94,26.197,1550975754.30023
101.472,64.84,26.215,1550975756.76728
101.473,64.77,26.226,1550975759.23499
101.473,64.75,26.235,1550975761.70212
101.466,64.69,26.245,1550975764.17884
101.474,64.58,26.265,1550975766.64763
101.477,64.28,26.272,1550975769.11642
101.476,64.16,26.286,1550975771.57858
101.475,64.1,26.291,1550975774.04788
101.473,64.12,26.305,1550975776.51518
101.47,64.16,26.312,1550975778.98296
101.47,64.21,26.327,1550975781.45042
101.469,64.09,26.334,1550975783.91751
101.475,64,26.344,1550975786.38456
101.474,64,26.355,1550975788.85246
101.471,63.98,26.358,1550975791.31966
101.471,63.87,26.366,1550975793.78701
101.474,63.84,26.371,1550975796.25415
101.474,63.89,26.373,1550975798.72126
101.472,63.89,26.381,1550975801.18858
101.474,63.78,26.388,1550975803.65749
101.468,63.71,26.39,1550975806.12504
101.471,63.78,26.393,1550975808.59295
101.477,63.76,26.4,1550975811.06030
101.477,63.7,26.401,1550975813.51926
101.473,63.57,26.404,1550975815.98398
101.473,63.24,26.404,1550975818.45163
101.476,62.87,26.411,1550975820.91893
101.471,62.76,26.42,1550975823.38615
101.47,62.69,26.42,1550975825.85537
101.472,62.7,26.427,1550975828.32258
101.47,62.77,26.437,1550975830.78990
101.469,62.83,26.448,1550975833.24812
101.467,62.87,26.457,1550975835.71548
101.469,63,26.47,1550975838.18240
101.471,63.19,26.477,1550975840.64958
101.473,63.29,26.489,1550975843.11646
101.473,63.24,26.495,1550975845.58341
101.473,63.19,26.507,1550975848.05019
101.469,63.16,26.514,1550975850.51738
101.469,63.17,26.529,1550975852.98456
101.469,63.18,26.539,1550975855.45187
101.472,63.18,26.556,1550975857.91558
101.47,63.2,26.565,1550975860.38263
101.467,63.22,26.576,1550975862.85013
101.469,63.26,26.588,1550975865.32648
101.466,63.33,26.598,1550975867.79397
101.464,63.43,26.61,1550975870.26194
101.466,63.49,26.628,1550975872.72939
101.461,63.55,26.636,1550975875.19926
101.464,63.67,26.647,1550975877.66818
101.464,63.79,26.663,1550975880.13858
101.463,63.87,26.673,1550975882.60570
101.467,63.98,26.692,1550975885.07306
101.468,64.11,26.707,1550975887.54440
101.47,64.14,26.721,1550975890.00855
101.469,64.15,26.739,1550975892.47750
101.469,64.15,26.751,1550975894.94489
101.469,64.12,26.772,1550975897.41208
101.468,64.07,26.785,1550975899.87935
101.469,64.06,26.8,1550975902.34663
101.47,64.12,26.819,1550975904.81422
101.467,64.14,26.832,1550975907.28176
101.469,64.16,26.85,1550975909.74964
101.462,64.16,26.868,1550975912.21753
101.467,64.14,26.882,1550975914.69186
101.465,64.15,26.897,1550975917.15946
101.469,64.15,26.915,1550975919.62870
101.467,64.13,26.931,1550975922.09605
101.466,64.15,26.942,1550975924.56472
101.47,64.18,26.964,1550975927.03217
101.468,64.16,26.98,1550975929.50026
101.472,64.16,26.994,1550975931.96831
101.472,64.22,27.015,1550975934.43747
101.475,64.2,27.031,1550975936.90779
101.47,64.15,27.05,1550975939.38242
101.471,64.03,27.066,1550975941.85020
101.472,63.99,27.083,1550975944.31769
101.474,63.97,27.101,1550975946.78505
101.466,63.94,27.118,1550975949.24837
101.467,63.94,27.135,1550975951.71064
101.465,63.95,27.145,1550975954.17804
101.467,63.96,27.166,1550975956.64764
101.472,63.95,27.183,1550975959.11477
101.47,63.9,27.199,1550975961.57860
101.474,63.84,27.216,1550975964.04656
101.47,63.83,27.238,1550975966.51380
101.469,63.77,27.25,1550975968.98086
101.468,63.73,27.262,1550975971.44786
101.469,63.74,27.282,1550975973.91442
101.469,63.71,27.295,1550975976.38158
101.467,63.68,27.305,1550975978.84917
101.468,63.52,27.319,1550975981.31926
101.472,63.36,27.333,1550975983.78888
101.462,63.2,27.349,1550975986.25873
101.463,63.2,27.364,1550975988.72873
101.476,63.03,27.376,1550975991.19889
101.473,62.92,27.387,1550975993.66701
101.472,62.86,27.399,1550975996.13625
101.461,62.74,27.416,1550975998.59517
101.464,62.54,27.432,1550976001.06216
101.467,62.37,27.441,1550976003.52952
101.47,62.34,27.456,1550976005.98801
101.465,62.37,27.464,1550976008.45524
101.468,62.47,27.478,1550976010.92323
101.463,62.55,27.488,1550976013.39033
101.472,62.56,27.501,1550976015.85792
101.484,62.59,27.519,1550976018.32504
101.479,62.51,27.525,1550976020.79213
101.479,62.37,27.539,1550976023.25936
101.477,62.25,27.552,1550976025.72437
101.476,62.16,27.56,1550976028.19859
101.469,62.14,27.566,1550976030.66871
101.469,62.17,27.582,1550976033.12811
101.471,62.31,27.59,1550976035.59546
101.472,62.45,27.601,1550976038.06228
101.471,62.48,27.615,1550976040.53008
101.471,62.46,27.624,1550976042.98828
101.471,62.42,27.632,1550976045.45541
101.474,62.4,27.644,1550976047.92226
101.475,62.38,27.655,1550976050.38937
101.478,62.34,27.663,1550976052.85713
101.473,62.27,27.672,1550976055.32425
101.475,62.22,27.687,1550976057.78833
101.475,62.21,27.7,1550976060.24805
101.478,62.22,27.704,1550976062.71571
101.477,62.16,27.714,1550976065.18314
101.478,62.08,27.717,1550976067.65054
101.475,62.02,27.727,1550976070.11869
101.473,62.02,27.734,1550976072.58819
101.475,62.04,27.74,1550976075.05600
101.47,61.93,27.745,1550976077.52409
101.472,61.74,27.755,1550976079.99163
101.468,61.61,27.757,1550976082.45990
101.467,61.56,27.767,1550976084.91922
101.474,61.54,27.777,1550976087.38714
101.475,61.5,27.783,1550976089.85733
101.477,61.41,27.793,1550976092.32566
101.479,61.41,27.806,1550976094.78895
101.475,61.51,27.82,1550976097.24812
101.474,61.56,27.831,1550976099.71776
101.48,61.61,27.848,1550976102.18500
101.476,61.65,27.865,1550976104.65459
101.475,61.6,27.876,1550976107.12178
101.478,61.56,27.886,1550976109.59186
101.48,61.58,27.897,1550976112.05779
101.475,61.63,27.914,1550976114.52436
101.473,61.66,27.927,1550976116.99457
101.479,61.69,27.942,1550976119.45783
101.48,61.68,27.954,1550976121.91701
101.477,61.6,27.962,1550976124.38512
101.481,61.54,27.972,1550976126.84860
101.477,61.48,27.973,1550976129.31802
101.475,61.37,27.986,1550976131.78560
101.475,61.4,27.995,1550976134.25559
101.472,61.41,28.005,1550976136.72634
101.468,61.39,28.011,1550976139.19430
101.474,61.41,28.024,1550976141.66292
101.477,61.4,28.034,1550976144.13102
101.477,61.31,28.043,1550976146.59953
101.481,61.24,28.05,1550976149.06359
101.475,61.18,28.058,1550976151.52905
101.472,61.1,28.066,1550976153.98863
101.475,61,28.07,1550976156.44975
101.474,60.95,28.078,1550976158.91782
101.476,60.97,28.081,1550976161.38542
101.471,60.96,28.098,1550976163.85291
101.471,60.84,28.103,1550976166.31875
101.469,60.77,28.107,1550976168.78684
101.471,60.68,28.12,1550976171.24858
101.474,60.62,28.128,1550976173.71676
101.472,60.57,28.141,1550976176.17938
101.474,60.58,28.152,1550976178.64753
101.478,60.59,28.162,1550976181.11042
101.475,60.6,28.179,1550976183.57763
101.477,60.57,28.191,1550976186.03814
101.479,60.57,28.201,1550976188.50594
101.475,60.55,28.212,1550976190.96845
101.474,60.54,28.221,1550976193.42978
101.474,60.54,28.23,1550976195.89829
101.479,60.53,28.244,1550976198.36593
101.475,60.5,28.248,1550976200.83384
101.476,60.44,28.256,1550976203.30144
101.477,60.41,28.264,1550976205.76937
101.471,60.42,28.271,1550976208.23690
101.474,60.46,28.279,1550976210.69884
101.475,60.44,28.278,1550976213.16634
101.473,60.45,28.294,1550976215.62841
101.479,60.46,28.303,1550976218.09644
101.48,60.42,28.307,1550976220.55868
101.48,60.38,28.309,1550976223.02829
101.473,60.33,28.315,1550976225.49639
101.469,60.29,28.323,1550976227.96439
101.471,60.19,28.331,1550976230.43360
101.473,60.09,28.339,1550976232.90098
101.47,60.05,28.345,1550976235.36911
101.471,60.05,28.354,1550976237.82861
101.466,60.05,28.36,1550976240.28833
101.468,60.07,28.369,1550976242.75620
101.461,59.82,28.376,1550976245.21841
101.474,59.73,28.394,1550976247.68591
101.474,59.76,28.404,1550976250.15413
101.473,59.81,28.415,1550976252.62245
101.47,59.83,28.426,1550976255.09021
101.468,59.77,28.435,1550976257.55863
101.474,59.71,28.445,1550976260.02642
101.474,59.71,28.459,1550976262.49436
101.472,59.7,28.463,1550976264.96238
