alx,b,Deg.C,depth_m,dt,g,kPa,r,w,wlx,ts
4531.9,1220.1,28.204,0,2016-11-03T07:17:23.401708,2209,104.282,2227.6,6550.2,10835.9,1550975520.33832
4519.5,1209.3,28.201,0.0051766,2016-11-03T07:17:24.804676,2194.1,104.334,2210.5,6517,10759.6,1550975521.74129
4494.7,1213.3,28.194,0.0021901,2016-11-03T07:17:26.213027,2191.4,104.304,2214.5,6522.5,10721.5,1550975523.14964
4648.5,1248.1,28.193,0.0025883,2016-11-03T07:17:27.617717,2241,104.308,2257.8,6622,10883.8,1550975524.55433
4646,1255.1,28.185,0.00248875,2016-11-03T07:17:29.023814,2245.2,104.307,2275.9,6650.4,11015.3,1550975525.96043
4636.1,1240.3,28.18,0.0011946,2016-11-03T07:17:30.424892,2233.7,104.294,2254.8,6608.9,10973.5,1550975527.36150
4673.4,1255.9,28.169,0.00069685,2016-11-03T07:17:31.836424,2239.4,104.289,2270.9,6645.1,10999.2,1550975528.77303
4626.2,1233.2,28.166,0.00228965,2016-11-03T07:17:33.236015,2228.4,104.305,2244.2,6592,10874.2,1550975530.17264
4554.2,1223.2,28.154,0.0015928,2016-11-03T07:17:34.635989,2216.5,104.298,2227.6,6552.7,10851.8,1550975531.57256
4598.8,1223.9,28.146,0.0049775,2016-11-03T07:17:36.043215,2215.8,104.332,2229.6,6556,10871,1550975532.97983
4685.8,1242.5,28.141,0.0049775,2016-11-03T07:17:37.443416,2230.4,104.332,2255.3,6611.6,11063.7,1550975534.38002
4708.2,1248.1,28.137,0.0051766,2016-11-03T07:17:38.843290,2231.6,104.334,2260.3,6622,11167.3,1550975535.77989
4838,1279.5,28.129,0,2016-11-03T07:17:40.245330,2263.6,104.278,2306.9,6705,11416.1,1550975537.18194
4975.7,1308.7,28.128,0,2016-11-03T07:17:41.647755,2317.7,104.263,2354.7,6796.6,11561.9,1550975538.58436
5172.1,1348.2,28.128,0.00627165,2016-11-03T07:17:43.055401,2377.6,104.326,2410.3,6904.8,11853.9,1550975539.99201
5167,1307,28.135,0.00428065,2016-11-03T07:17:44.456653,2335.8,104.306,2375.1,6849,11996.8,1550975541.39327
5083.8,1286.1,28.135,0.0041811,2016-11-03T07:17:45.861615,2308.2,104.305,2348.9,6800.6,11972.9,1550975542.79823
5504.3,1398.8,28.132,0.00766535,2016-11-03T07:17:47.262863,2477,104.34,2507.7,7107.4,12609.8,1550975544.19947
5966,1571.2,28.13,0.0023892,2016-11-03T07:17:48.664165,2771.2,104.287,2801.2,7590.7,13471.3,1550975545.60077
