AirSaturation,O2Concentration,SN,Temperature,ts
101.867,234.731,831,31.374,1550975520.88743
101.988,235.019,831,31.372,1550975522.19385
102.108,235.308,831,31.369,1550975523.53382
102.076,235.246,831,31.366,1550975524.85138
101.837,234.706,831,31.363,1550975526.18188
102.16,235.461,831,31.36,1550975527.48166
102.056,235.232,831,31.357,1550975528.77161
102.14,235.437,831,31.355,1550975530.06545
102.027,235.188,831,31.352,1550975531.36982
102.189,235.571,831,31.35,1550975532.67067
102.263,235.75,831,31.347,1550975533.95890
102.077,235.329,831,31.345,1550975535.25196
101.889,234.903,831,31.343,1550975536.54591
102.106,235.413,831,31.341,1550975537.84283
101.964,235.095,831,31.339,1550975539.14146
102.102,235.425,831,31.336,1550975540.44887
102.175,235.605,831,31.333,1550975541.73792
101.977,235.162,831,31.33,1550975543.03109
102.305,235.93,831,31.326,1550975544.33368
102.031,235.31,831,31.323,1550975545.63626
102.273,235.88,831,31.32,1550975546.92501
102.195,235.713,831,31.317,1550975548.21855
102.048,235.386,831,31.314,1550975549.51232
101.957,235.187,831,31.312,1550975550.81485
101.882,235.026,831,31.309,1550975552.12031
102.404,236.24,831,31.306,1550975553.41535
102.179,235.732,831,31.304,1550975554.70545
102.314,236.053,831,31.301,1550975555.99833
102.312,236.058,831,31.299,1550975557.29804
101.928,235.181,831,31.296,1550975558.59615
102.123,235.641,831,31.294,1550975559.89219
102.409,236.31,831,31.292,1550975561.18151
102.216,235.873,831,31.29,1550975562.47468
102.122,235.662,831,31.288,1550975563.76895
102.152,235.74,831,31.286,1550975565.06170
101.889,235.144,831,31.283,1550975566.35611
102.043,235.511,831,31.28,1550975567.64566
102.243,235.985,831,31.277,1550975568.93858
102.081,235.623,831,31.274,1550975570.23575
102.222,235.96,831,31.271,1550975571.52462
102.262,236.066,831,31.268,1550975572.81869
102.007,235.491,831,31.264,1550975574.11192
102.063,235.635,831,31.261,1550975575.42256
102.095,235.721,831,31.258,1550975576.71100
102.327,236.27,831,31.254,1550975578.00977
102.146,235.865,831,31.251,1550975579.29896
102.273,236.173,831,31.247,1550975580.59279
102.051,235.675,831,31.244,1550975581.96187
102.05,235.69,831,31.24,1550975583.29742
102.322,236.331,831,31.236,1550975584.63661
102.344,236.398,831,31.232,1550975585.98550
102.272,236.244,831,31.229,1550975587.29166
102.122,235.91,831,31.226,1550975588.58138
101.744,235.052,831,31.223,1550975589.87443
102.062,235.798,831,31.219,1550975591.17189
101.983,235.627,831,31.216,1550975592.46158
102.007,235.695,831,31.214,1550975593.75562
102.382,236.573,831,31.211,1550975595.04544
102.12,235.979,831,31.208,1550975596.33436
102.152,236.064,831,31.205,1550975597.62637
102.261,236.326,831,31.202,1550975598.92098
101.781,235.23,831,31.199,1550975600.20967
101.837,235.372,831,31.196,1550975601.50372
101.972,235.695,831,31.193,1550975602.79881
101.85,235.425,831,31.19,1550975604.10164
102.21,236.269,831,31.187,1550975605.39116
101.958,235.698,831,31.184,1550975606.68053
102.333,236.578,831,31.182,1550975607.98199
102.167,236.204,831,31.179,1550975609.27079
101.988,235.802,831,31.176,1550975610.56407
102.13,236.14,831,31.173,1550975611.85888
102.064,236,831,31.17,1550975613.15685
101.954,235.757,831,31.168,1550975614.45223
102.13,236.176,831,31.165,1550975615.74184
102.164,236.263,831,31.162,1550975617.03942
101.92,235.711,831,31.159,1550975618.33282
101.942,235.774,831,31.156,1550975619.62794
102.186,236.35,831,31.154,1550975620.92192
101.961,235.841,831,31.151,1550975622.21115
102.062,236.085,831,31.148,1550975623.51451
102.056,236.084,831,31.145,1550975624.81300
101.981,235.919,831,31.143,1550975626.10666
101.989,235.946,831,31.14,1550975627.39737
101.767,235.44,831,31.139,1550975628.69354
101.986,235.954,831,31.137,1550975629.99234
102.157,236.355,831,31.135,1550975631.29416
102.188,236.431,831,31.134,1550975632.58539
101.965,235.921,831,31.133,1550975633.88295
102.138,236.326,831,31.132,1550975635.18545
102.03,236.079,831,31.131,1550975636.48667
102.075,236.188,831,31.13,1550975637.78273
101.913,235.818,831,31.129,1550975639.07617
101.928,235.856,831,31.128,1550975640.36563
101.904,235.804,831,31.127,1550975641.66981
101.799,235.565,831,31.126,1550975643.09389
101.803,235.581,831,31.124,1550975644.46555
101.861,235.72,831,31.123,1550975645.79540
102.087,236.247,831,31.122,1550975647.10215
102.213,236.544,831,31.121,1550975648.39484
101.919,235.868,831,31.12,1550975649.68765
101.67,235.296,831,31.119,1550975650.98963
101.996,236.057,831,31.117,1550975652.28615
102.076,236.247,831,31.116,1550975653.57669
101.784,235.578,831,31.114,1550975654.86581
102.114,236.347,831,31.112,1550975656.15897
102.205,236.566,831,31.111,1550975657.46879
102.032,236.172,831,31.109,1550975658.76694
101.94,235.968,831,31.107,1550975660.05995
101.991,236.095,831,31.105,1550975661.35294
102.186,236.553,831,31.103,1550975662.64227
102.161,236.502,831,31.101,1550975663.94147
102.142,236.466,831,31.099,1550975665.23523
101.774,235.62,831,31.098,1550975666.52809
102.08,236.335,831,31.096,1550975667.82228
101.948,236.032,831,31.095,1550975669.11123
102,236.159,831,31.094,1550975670.42588
102.252,236.747,831,31.093,1550975671.71922
102.007,236.182,831,31.092,1550975673.01634
102.088,236.371,831,31.092,1550975674.31039
101.96,236.079,831,31.091,1550975675.60575
101.982,236.131,831,31.091,1550975676.89479
101.966,236.096,831,31.09,1550975678.19775
102.04,236.271,831,31.089,1550975679.50499
101.694,235.473,831,31.088,1550975680.79472
101.642,235.358,831,31.087,1550975682.08351
101.895,235.949,831,31.086,1550975683.37765
102.102,236.433,831,31.084,1550975684.67908
102.142,236.535,831,31.082,1550975685.97658
101.587,235.257,831,31.08,1550975687.26566
101.758,235.663,831,31.078,1550975688.55468
101.952,236.123,831,31.075,1550975689.84794
101.699,235.546,831,31.073,1550975691.14176
102.286,236.915,831,31.07,1550975692.43922
101.777,235.746,831,31.068,1550975693.73177
101.946,236.148,831,31.066,1550975695.02095
101.957,236.186,831,31.063,1550975696.31515
102.317,237.032,831,31.059,1550975697.62148
101.939,236.171,831,31.056,1550975698.91985
101.988,236.301,831,31.052,1550975700.20898
102.059,236.481,831,31.048,1550975701.50254
101.831,235.971,831,31.043,1550975702.89387
101.996,236.377,831,31.037,1550975704.27060
102.128,236.707,831,31.031,1550975705.59116
101.968,236.358,831,31.026,1550975706.89436
101.824,236.047,831,31.021,1550975708.18741
101.675,235.722,831,31.015,1550975709.48187
102.15,236.845,831,31.01,1550975710.77440
102.341,237.313,831,31.004,1550975712.06729
102.003,236.554,831,30.997,1550975713.35630
102.191,237.019,831,30.991,1550975714.64573
101.732,235.984,831,30.983,1550975715.94285
102.43,237.631,831,30.976,1550975717.23869
102.228,237.191,831,30.969,1550975718.53365
102.002,236.697,831,30.961,1550975719.82753
102.377,237.598,831,30.954,1550975721.11646
101.868,236.445,831,30.947,1550975722.41067
102.279,237.428,831,30.94,1550975723.70057
102.362,237.653,831,30.932,1550975724.99967
102.13,237.149,831,30.923,1550975726.29263
102.25,237.466,831,30.914,1550975727.58190
102.177,237.334,831,30.904,1550975728.87643
101.918,236.771,831,30.895,1550975730.17287
102.201,237.465,831,30.886,1550975731.46590
102.21,237.523,831,30.877,1550975732.77457
102.102,237.307,831,30.868,1550975734.07499
102.203,237.578,831,30.859,1550975735.36609
102.031,237.213,831,30.851,1550975736.68260
102.082,237.367,831,30.842,1550975737.97990
102.066,237.364,831,30.833,1550975739.27101
102.017,237.284,831,30.825,1550975740.56396
102.309,237.998,831,30.817,1550975741.85710
102.063,237.461,831,30.808,1550975743.15534
102.191,237.794,831,30.799,1550975744.45546
101.96,237.292,831,30.79,1550975745.74969
101.674,236.661,831,30.782,1550975747.04314
