Conductivity,Density,Salinity,SN,Soundspeed,Temperature,ts
-0.01,994.918,0.016,1719,1514.474,32.38,1550975520.33832
-0.01,994.917,0.016,1719,1514.477,32.382,1550975521.05345
-0.01,994.922,0.016,1719,1514.448,32.368,1550975521.84191
-0.01,994.915,0.016,1719,1514.495,32.39,1550975522.60588
-0.01,994.921,0.016,1719,1514.452,32.37,1550975523.35710
-0.011,994.926,0.016,1719,1514.423,32.356,1550975524.11850
-0.01,994.923,0.016,1719,1514.441,32.365,1550975524.90262
-0.01,994.925,0.016,1719,1514.427,32.358,1550975525.64748
-0.01,994.916,0.016,1719,1514.484,32.385,1550975526.38420
-0.01,994.922,0.016,1719,1514.448,32.368,1550975527.11353
-0.01,994.922,0.016,1719,1514.445,32.366,1550975527.82434
-0.01,994.924,0.016,1719,1514.43,32.36,1550975528.56588
-0.01,994.921,0.016,1719,1514.452,32.37,1550975529.29526
-0.01,994.927,0.016,1719,1514.409,32.35,1550975530.01766
-0.01,994.923,0.016,1719,1514.441,32.365,1550975530.73638
-0.01,994.926,0.016,1719,1514.416,32.353,1550975531.45137
-0.01,994.928,0.016,1719,1514.409,32.35,1550975532.16687
-0.01,994.931,0.016,1719,1514.384,32.338,1550975532.88212
-0.01,994.929,0.016,1719,1514.398,32.345,1550975533.59206
-0.01,994.931,0.016,1719,1514.387,32.34,1550975534.30323
-0.01,994.927,0.016,1719,1514.412,32.351,1550975535.01825
-0.01,994.934,0.016,1719,1514.365,32.329,1550975535.73770
-0.01,994.935,0.016,1719,1514.362,32.328,1550975536.46252
-0.01,994.933,0.016,1719,1514.373,32.333,1550975537.17789
-0.01,994.938,0.016,1719,1514.34,32.318,1550975537.89386
-0.01,994.938,0.016,1719,1514.336,32.316,1550975538.60869
-0.01,994.941,0.016,1719,1514.322,32.309,1550975539.32476
-0.01,994.938,0.016,1719,1514.34,32.318,1550975540.04066
-0.009,994.944,0.016,1719,1514.3,32.299,1550975540.75299
-0.01,994.942,0.016,1719,1514.315,32.306,1550975541.46318
-0.01,994.945,0.016,1719,1514.293,32.296,1550975542.17898
-0.01,994.944,0.016,1719,1514.297,32.298,1550975542.89753
-0.01,994.948,0.016,1719,1514.271,32.286,1550975543.61655
-0.01,994.949,0.016,1719,1514.268,32.284,1550975544.35793
-0.01,994.947,0.016,1719,1514.279,32.289,1550975545.07112
-0.01,994.947,0.016,1719,1514.279,32.289,1550975545.78223
-0.01,994.949,0.016,1719,1514.268,32.284,1550975546.49347
-0.01,994.948,0.016,1719,1514.272,32.286,1550975547.20968
-0.01,994.95,0.016,1719,1514.257,32.279,1550975547.92901
-0.01,994.953,0.016,1719,1514.239,32.271,1550975548.64313
-0.01,994.953,0.016,1719,1514.235,32.269,1550975549.36589
-0.01,994.95,0.016,1719,1514.261,32.281,1550975550.08734
-0.009,994.961,0.016,1719,1514.185,32.246,1550975550.81862
-0.01,994.959,0.016,1719,1514.199,32.252,1550975551.54512
-0.01,994.956,0.016,1719,1514.221,32.262,1550975552.25928
-0.01,994.957,0.016,1719,1514.214,32.259,1550975552.97767
-0.01,994.959,0.016,1719,1514.196,32.251,1550975553.68804
-0.01,994.956,0.016,1719,1514.217,32.261,1550975554.39812
-0.01,994.958,0.016,1719,1514.203,32.254,1550975555.11214
-0.01,994.96,0.016,1719,1514.192,32.249,1550975555.82830
-0.009,994.96,0.016,1719,1514.192,32.249,1550975556.54838
-0.009,994.965,0.016,1719,1514.156,32.232,1550975557.26364
-0.009,994.961,0.016,1719,1514.185,32.246,1550975557.98902
-0.01,994.966,0.016,1719,1514.152,32.23,1550975558.70306
-0.01,994.964,0.016,1719,1514.167,32.237,1550975559.41700
-0.01,994.965,0.016,1719,1514.16,32.234,1550975560.13374
-0.01,994.965,0.016,1719,1514.16,32.234,1550975560.84730
-0.01,994.963,0.016,1719,1514.171,32.239,1550975561.55974
-0.009,994.963,0.016,1719,1514.17,32.239,1550975562.28688
-0.009,994.969,0.016,1719,1514.127,32.219,1550975562.99840
-0.01,994.965,0.016,1719,1514.16,32.234,1550975563.71488
