potential,current
-106.0,-6.981929975580768e-08
-108.875,-6.856283369416002e-08
-111.75,-6.828865229550825e-08
-114.6875,-6.605864358647388e-08
-117.5625,-6.554206993684012e-08
-120.4375,-6.459077969282225e-08
-123.375,-6.195784353707355e-08
-126.25,-6.093979608294917e-08
-129.125,-5.995592196256979e-08
-132.0625,-5.834023853225373e-08
-134.9375,-5.6444810602443686e-08
-137.8125,-5.542596841962755e-08
-140.75,-5.323331195910517e-08
-143.625,-5.2141354736648564e-08
-146.5,-5.016327502289712e-08
-149.4375,-4.905224431183866e-08
-152.3125,-4.6830182889721735e-08
-155.1875,-4.562378473565396e-08
-158.125,-4.4408644565977e-08
-161.0,-4.405975867030128e-08
-163.875,-4.254500578383673e-08
-166.8125,-4.0757660956103915e-08
-169.6875,-4.0264134438530734e-08
-172.5625,-3.811121441259556e-08
-175.5,-3.8218502785981036e-08
-178.375,-3.615220818744598e-08
-181.25,-3.532251143326498e-08
-184.125,-3.4285390490538734e-08
-187.0625,-3.2821500240345824e-08
-189.9375,-3.381491110502614e-08
-192.8125,-3.162225464450375e-08
-195.75,-3.062010176421425e-08
-198.625,-2.9543244386900788e-08
-201.5,-2.8878851200602593e-08
-204.4375,-2.8181874137942886e-08
-207.3125,-2.7439597539853756e-08
-210.1875,-2.5904181707403864e-08
-213.125,-2.5182568055300084e-08
-216.0,-2.5474233485170224e-08
-218.875,-2.4244788199041865e-08
-221.8125,-2.409776339106918e-08
-224.6875,-2.30995841542384e-08
-227.5625,-2.2449496084391604e-08
-230.5,-2.19591484815854e-08
-233.375,-2.1795434371086084e-08
-236.25,-2.081632862285717e-08
-239.1875,-2.0121735746272692e-08
-242.0625,-1.9955637449698143e-08
-244.9375,-1.9265018216572388e-08
-247.875,-1.9985837139984426e-08
-250.75,-1.8264454793666377e-08
-253.625,-1.8069746264189034e-08
-256.5625,-1.7782849206469362e-08
-259.4375,-1.718998160242815e-08
-262.3125,-1.672268113168253e-08
-265.25,-1.6459625934715183e-08
-268.125,-1.6120276783340388e-08
-271.0,-1.452605102770142e-08
-273.9375,-1.5738012282611404e-08
-276.8125,-1.518567584184915e-08
-279.6875,-1.4720759557178762e-08
-282.625,-1.4457704360211414e-08
-285.5,-1.4084976603783361e-08
-288.375,-1.4184317690251392e-08
-291.3125,-1.3442835820854006e-08
-294.1875,-1.3495287914509127e-08
-297.0625,-1.3004940311702924e-08
