potential,current
-104.875,-1.936833294649914e-08
-106.875,-1.9991400240826636e-08
-108.875,-2.0417374819601554e-08
-110.875,-2.038161202847306e-08
-112.875,-2.0710629706855182e-08
-114.8125,-2.056439962757424e-08
-116.8125,-2.061287807777064e-08
-118.8125,-2.0625593736838548e-08
-120.8125,-2.156098940702153e-08
-122.8125,-2.0124914661039668e-08
-124.8125,-2.040545388922539e-08
-126.8125,-1.979271806789057e-08
-128.8125,-2.047300582802365e-08
-130.8125,-1.965999837636928e-08
-132.8125,-1.9462110932124965e-08
-134.8125,-1.843532146239139e-08
-136.8125,-1.9146603641502496e-08
-138.8125,-1.8759570768623047e-08
-140.8125,-1.9179982246555754e-08
-142.8125,-1.8445652935384066e-08
-144.8125,-1.872301324880281e-08
-146.8125,-1.8527509990633723e-08
-148.8125,-1.8228692002537884e-08
-150.8125,-1.795292114650263e-08
-152.8125,-1.78122541680639e-08
-154.8125,-1.7744702229265636e-08
-156.8125,-1.733382749563386e-08
-158.75,-1.7497541606133175e-08
-160.75,-1.771132362421238e-08
-162.75,-1.759926687867644e-08
-164.75,-1.704057260838023e-08
-166.75,-1.6487441438926232e-08
-168.75,-1.6639234619049384e-08
-170.75,-1.643498934527111e-08
-172.75,-1.6005835851729217e-08
-174.75,-1.5955767944149327e-08
-176.75,-1.5053750879019605e-08
-178.75,-1.5294553672618112e-08
-180.75,-1.5770596158972917e-08
-182.75,-1.509746095706554e-08
-184.75,-1.551469352023127e-08
-186.75,-1.4878910566835868e-08
-188.75,-1.500606715751495e-08
-190.75,-1.4715991185028297e-08
-192.75,-1.50267301035003e-08
-194.75,-1.4349621258134197e-08
-196.75,-1.4421146840391179e-08
-198.75,-1.4282864048027679e-08
-200.6875,-1.4279685133260703e-08
-202.6875,-1.4692944052967713e-08
-204.6875,-1.464923397492178e-08
-206.6875,-1.4150939085198133e-08
-208.6875,-1.3797284817371942e-08
-210.6875,-1.382668977896648e-08
-212.6875,-1.3496082643200871e-08
-214.6875,-1.350323520142657e-08
-216.6875,-1.3639133807714836e-08
-218.6875,-1.1989277043653772e-08
-220.6875,-1.3124944344156306e-08
-222.6875,-1.3268790237362015e-08
-224.6875,-1.2962819691040478e-08
-226.6875,-1.3140044189299447e-08
-228.6875,-1.2790363564931977e-08
-230.6875,-1.2753011316419997e-08
-232.6875,-1.3007324497778156e-08
-234.6875,-1.2644928214342778e-08
-236.6875,-1.2671154261170338e-08
-238.6875,-1.2354057513164382e-08
-240.6875,-1.275936914595395e-08
-242.625,-1.2410483250278225e-08
-244.625,-1.3036729459372694e-08
-246.625,-1.2656849144718943e-08
-248.625,-1.2360415342698336e-08
-250.625,-1.2358825885314848e-08
-252.625,-1.2164912084529251e-08
-254.625,-1.2114049448257619e-08
-256.625,-1.2081465571896104e-08
-258.625,-1.1834304948763642e-08
-260.625,-1.0942619356626593e-08
-262.625,-1.1791389599409452e-08
-264.625,-1.18748361120426e-08
-266.625,-1.1632443861060602e-08
-268.625,-1.1959077353367489e-08
-270.625,-1.1568070837029318e-08
-272.625,-1.1775495025574567e-08
-274.625,-1.1816820917545268e-08
-276.625,-1.170317471462584e-08
-278.625,-1.1419456571673143e-08
-280.625,-1.1781852855108521e-08
-282.625,-1.151402928599071e-08
-284.625,-1.1414688199522677e-08
-286.5625,-1.2631417826583126e-08
-288.5625,-1.1665027737422117e-08
-290.5625,-1.1479855952245706e-08
-292.5625,-1.1633238589752346e-08
-294.5625,-1.1287531608843598e-08
-296.5625,-1.1598270527315599e-08
-298.5625,-1.1210442925744405e-08
-300.5625,-1.1360646648484068e-08
-302.5625,-1.0273457798177934e-08
-304.5625,-1.1289121066227086e-08
-306.5625,-1.1267663391549992e-08
-308.5625,-1.1122228040960793e-08
-310.5625,-1.1460782463643845e-08
-312.5625,-1.1335215330348252e-08
-314.5625,-1.1266073934166503e-08
-316.5625,-1.1109512381892886e-08
-318.5625,-1.1402767269146514e-08
-320.5625,-1.1169117033773705e-08
-322.5625,-1.1244616259489408e-08
-324.5625,-1.1437735331583261e-08
-326.5625,-1.1093617808058e-08
-328.5,-1.2497108677678347e-08
-330.5,-1.1525950216366873e-08
-332.5,-1.1363825563251046e-08
-334.5,-1.1280379050617899e-08
-336.5,-1.1193753623217775e-08
-338.5,-1.143217223074105e-08
-340.5,-1.135905719110058e-08
-342.5,-1.1061033931696486e-08
-344.5,-1.0139148649273154e-08
-346.5,-1.1212032383127893e-08
-348.5,-1.1292299980994064e-08
-350.5,-1.1466345564486053e-08
-352.5,-1.1174680134615914e-08
-354.5,-1.1460782463643845e-08
-356.5,-1.1348725718107905e-08
-358.5,-1.1173090677232425e-08
-360.5,-1.1519592386832918e-08
-362.5,-1.1366209749326278e-08
-364.5,-1.1203290367518706e-08
-366.5,-1.1533102774592571e-08
-368.5,-1.1277994864542667e-08
-370.4375,-1.2609165423214287e-08
-372.4375,-1.145839827756861e-08
-374.4375,-1.1447272075884192e-08
-376.4375,-1.1484624324396171e-08
-378.4375,-1.1585554868247692e-08
-380.4375,-1.1318526027821624e-08
-382.4375,-1.1464756107102565e-08
-384.4375,-1.0974408504296362e-08
-386.4375,-1.1060239203004741e-08
-388.4375,-1.1502903084306289e-08
-390.4375,-1.139640943961256e-08
-392.4375,-1.1608602000308274e-08
-394.4375,-1.1796952700251663e-08
-396.4375,-1.1510850371223731e-08
-398.4375,-1.165072262097072e-08
-400.4375,-1.1735758590987355e-08
-402.4375,-1.187880975550132e-08
-404.4375,-1.1807284173244338e-08
-406.4375,-1.1758010994356193e-08
-408.4375,-1.183589440614713e-08
-410.4375,-1.1818410374928757e-08
-412.4375,-1.3038318916756183e-08
-414.375,-1.1906625259712368e-08
-416.375,-1.1948745880374814e-08
-418.375,-1.2119612549099829e-08
-420.375,-1.1828741847921433e-08
-422.375,-1.2019476733940052e-08
-424.375,-1.2021860920015285e-08
-426.375,-1.1412304013447445e-08
-428.375,-1.1435351145508029e-08
-430.375,-1.2201469604349486e-08
-432.375,-1.2128354564709016e-08
-434.375,-1.2115638905641107e-08
-436.375,-1.2215774720800882e-08
-438.375,-1.2223722007718325e-08
-440.375,-1.230319487689275e-08
-442.375,-1.2269816271839492e-08
-444.375,-1.230319487689275e-08
-446.375,-1.2376309916533222e-08
-448.375,-1.2434325111030551e-08
-450.375,-1.2278558287448679e-08
-452.375,-1.2444656584023228e-08
-454.375,-1.3834637065883921e-08
-456.3125,-1.2555918600867422e-08
-458.3125,-1.2807052867458606e-08
-460.3125,-1.2601218136296844e-08
-462.3125,-1.2479624646459973e-08
-464.3125,-1.2868246976722913e-08
-466.3125,-1.256307115909312e-08
-468.3125,-1.178900541333422e-08
-470.3125,-1.239458867644334e-08
-472.3125,-1.2732348370434646e-08
-474.3125,-1.295010403197257e-08
-476.3125,-1.2869836434106402e-08
-478.3125,-1.2693406664539178e-08
-480.3125,-1.2934209458137685e-08
-482.3125,-1.3121765429389328e-08
-484.3125,-1.2990635195251528e-08
-486.3125,-1.2884141550557797e-08
-488.3125,-1.3032755815913972e-08
-490.3125,-1.325448512091062e-08
-492.3125,-1.2984277365717574e-08
-494.3125,-1.3176601709119683e-08
-496.3125,-1.4441015057684785e-08
-498.25,-1.3531050705637618e-08
-500.25,-1.3162296592668286e-08
-502.25,-1.3326010703167602e-08
-504.25,-1.3374489153364e-08
-506.25,-1.3579529155834018e-08
-508.25,-1.348654589889994e-08
-510.25,-1.2290479217824842e-08
-512.25,-1.35127719457275e-08
-514.25,-1.3521513961336687e-08
-516.25,-1.3415020316642958e-08
-518.25,-1.364946528070751e-08
-520.25,-1.3899010089915207e-08
-522.25,-1.3786953344379267e-08
-524.25,-1.362323923387995e-08
-526.25,-1.3813179391206827e-08
-528.25,-1.4062724200414521e-08
-530.25,-1.3966562028713467e-08
-532.25,-1.3802847918214152e-08
-534.25,-1.3984840788623586e-08
-536.25,-1.4278890404568958e-08
-538.25,-1.5354953053190674e-08
-540.25,-1.4301937536629542e-08
-542.1875,-1.4059545285647545e-08
-544.1875,-1.4446578158526995e-08
