potential,current
-102.0625,-7.5340279977355e-09
-103.0625,-8.45591328015883e-09
-104.0625,-9.212494994699358e-09
-105.0625,-9.388924764266581e-09
-106.0625,-9.475550191666705e-09
-107.0625,-9.804567870048824e-09
-108.0625,-9.864172521929644e-09
-109.0625,-9.648006317775208e-09
-110.0625,-9.782315466679986e-09
-111.0625,-1.1487008510471405e-08
-112.0625,-1.051585004915993e-08
-113.0625,-9.864172521929644e-09
-114.0625,-1.014948012226583e-08
-115.0625,-1.0082722912159313e-08
-116.0625,-1.0088286013001523e-08
-117.0625,-9.694100581896374e-09
-118.0625,-1.0087491284309779e-08
-119.0625,-8.229415603011719e-09
-120.0625,-1.0019939345511517e-08
-121.0625,-9.589991123277877e-09
-122.0625,-1.0212263688913626e-08
-123.0625,-9.631317015248579e-09
-124.0625,-1.0330678263983519e-08
-125.0625,-9.876888180997552e-09
-126.0625,-9.580454378976946e-09
-127.0625,-9.90629314259209e-09
-128.0625,-1.030842586061468e-08
-129.0625,-9.702047868813817e-09
-130.0625,-9.8633777932379e-09
-131.0625,-9.912650972126044e-09
-132.0625,-1.179456851417643e-08
-133.0625,-9.88960384006546e-09
-134.0625,-9.59793841019532e-09
-135.0625,-9.871325080155342e-09
-136.0625,-9.952387406713255e-09
-137.0625,-9.742579032092773e-09
-138.0625,-9.813309885658011e-09
-139.0625,-8.339088162472426e-09
-140.0625,-8.788109873307928e-09
-141.0625,-9.094080419629465e-09
-142.0625,-9.813309885658011e-09
-143.0625,-9.124280109915746e-09
-144.0625,-9.726684458257889e-09
-145.0625,-9.380182748657395e-09
-146.0625,-9.330114841077506e-09
-147.0625,-9.11553809430656e-09
-148.0625,-9.385745849499605e-09
-149.0625,-9.187858405255286e-09
-150.0625,-9.400050965951e-09
-151.0625,-8.926392665671428e-09
-152.0625,-1.074950028453274e-08
-153.0625,-9.563765076450317e-09
-154.0625,-9.244284142369128e-09
-155.0625,-9.056728171117484e-09
-156.0625,-9.161632358427725e-09
-157.0625,-8.973281658484339e-09
-158.0625,-9.150506156743306e-09
-159.0625,-8.668105840854546e-09
-160.0625,-7.510186136983173e-09
-161.0625,-8.385977155285337e-09
-162.0625,-8.667311112162802e-09
-163.0625,-8.693537158990362e-09
-164.0625,-9.051165070275275e-09
