potential,current
-101.5,-5.82536131048536e-09
-102.5,-8.340677619855915e-09
-103.5,-8.991560418394456e-09
-104.5,-9.322167554160065e-09
-105.5,-9.34918832967937e-09
-106.5,-8.619627390658147e-09
-107.5,-9.206931893857147e-09
-108.5,-9.792646939672661e-09
-109.5,-9.507339339336476e-09
-110.5,-9.98894492653349e-09
-111.5,-9.681384922828465e-09
-112.5,-9.877682909689297e-09
-113.5,-9.93251918941965e-09
-114.5,-9.758473605927658e-09
-115.5,-9.82046244388371e-09
-116.5,-1.0150274850957575e-08
-117.5,-9.547870502615432e-09
-118.5,-9.946029577179303e-09
-119.5,-1.0522207878693884e-08
-120.5,-1.0735989896773087e-08
-121.5,-1.0133585548430945e-08
-122.5,-1.0035039190654658e-08
-123.5,-9.814104614349757e-09
-124.5,-9.926956088577439e-09
-125.5,-9.825230816034176e-09
-126.5,-9.823641358650688e-09
-127.5,-8.385182426593593e-09
-128.5,-9.831588645568129e-09
-129.5,-9.503365695877754e-09
-130.5,-9.586017479819157e-09
-131.5,-9.558996704299852e-09
-132.5,-9.646416860391718e-09
-133.5,-9.547075773923687e-09
-134.5,-9.802978412665336e-09
-135.5,-9.371440733048208e-09
-136.5,-9.580454378976946e-09
-137.5,-9.511312982795196e-09
-138.5,-9.398461508567512e-09
-139.5,-9.39051422165007e-09
-140.5,-1.0717711136862969e-08
-141.5,-9.59793841019532e-09
-142.5,-9.631317015248579e-09
-143.5,-9.313425538550879e-09
-144.5,-9.594759495428343e-09
-145.5,-9.160837629735981e-09
-146.5,-9.400050965951e-09
-147.5,-8.966923828950384e-09
-148.5,-8.006891569323329e-09
-149.5,-8.877914215475028e-09
-150.5,-9.009839178304574e-09
-151.5,-8.985202588860502e-09
-152.5,-8.901756076227356e-09
-153.5,-9.074212202335858e-09
-154.5,-8.861224912948399e-09
-155.5,-8.793672974150139e-09
-156.5,-9.133816854216677e-09
-157.5,-8.779367857698741e-09
-158.5,-8.900961347535612e-09
-159.5,-8.455118551467087e-09
-160.5,-9.138585226367143e-09
-161.5,-1.0049344307106054e-08
-162.5,-8.956592355957709e-09
-163.5,-8.563996382236048e-09
-164.5,-8.810362276676766e-09
-165.4375,-8.619627390658147e-09
-166.4375,-8.662542740012337e-09
-167.4375,-8.481344598294647e-09
-168.4375,-7.835230171906572e-09
-169.4375,-7.96397621996914e-09
-170.4375,-8.405050643887198e-09
-171.4375,-8.196036997958462e-09
-172.4375,-8.579890956070934e-09
-173.4375,-8.129279787851944e-09
-174.4375,-8.473397311377204e-09
-175.4375,-8.084774981114266e-09
-176.4375,-8.673668941696756e-09
-177.4375,-7.994175910255422e-09
-178.4375,-8.469423667918484e-09
-179.4375,-8.166632036363923e-09
-180.4375,-8.151532191220784e-09
-181.4375,-8.47657622614418e-09
-182.4375,-9.272099646580177e-09
-183.4375,-8.389950798744059e-09
-184.4375,-8.336703976397194e-09
-185.4375,-7.917087227156229e-09
-186.4375,-8.141995446919851e-09
-187.4375,-8.15868474944648e-09
-188.4375,-7.94728691744251e-09
-189.4375,-6.682873568877407e-09
-190.4375,-7.96397621996914e-09
-191.4375,-7.77324133395052e-09
-192.4375,-8.040270174376588e-09
-193.4375,-7.785956993018427e-09
-194.4375,-7.929802886224136e-09
-195.4375,-7.595222106999807e-09
-196.4375,-8.072059322046359e-09
-197.4375,-7.77324133395052e-09
-198.4375,-7.807414667695521e-09
-199.4375,-7.628600712053066e-09
-200.4375,-8.01245467016554e-09
-201.4375,-7.527670168201546e-09
-202.4375,-8.867582742482353e-09
-203.4375,-8.198421184033694e-09
-204.4375,-7.956028933051697e-09
-205.4375,-7.809798853770755e-09
-206.4375,-7.871787691726807e-09
-207.4375,-7.70409993776877e-09
-208.4375,-7.631779626820042e-09
-209.4375,-7.851124745741455e-09
-210.4375,-6.2958406959979565e-09
-211.4375,-7.213752334962567e-09
-212.4375,-7.835230171906572e-09
-213.4375,-7.5340279977355e-09
-214.4375,-7.431507996500491e-09
-215.4375,-7.70409993776877e-09
-216.4375,-7.47044970239596e-09
-217.4375,-7.511775594366661e-09
-218.4375,-7.573764432322713e-09
-219.4375,-7.445813112951888e-09
-220.4375,-7.825693427605639e-09
-221.4375,-7.407666135748164e-09
-222.4375,-7.562638230638294e-09
-223.4375,-8.641085065335241e-09
-224.4375,-8.018812499699492e-09
-225.4375,-7.40687140705642e-09
-226.4375,-7.630984898128298e-09
-227.4375,-7.536412183810733e-09
-228.4375,-7.754962574040401e-09
-229.4375,-7.347266755175601e-09
-230.4375,-7.1438162100890726e-09
-231.4375,-6.506443799310183e-09
-232.4375,-7.385413732379325e-09
-233.4375,-7.381440088920604e-09
-234.4375,-7.272562258151641e-09
-235.4375,-7.5340279977355e-09
-236.4375,-7.328193266573739e-09
-237.4375,-7.532438540352011e-09
-238.4375,-7.284483188527805e-09
-239.4375,-7.400513577522465e-09
-240.4375,-7.529259625585035e-09
-241.4375,-7.40130830621421e-09
-242.4375,-7.607143037375971e-09
-243.375,-7.24792566870757e-09
-244.375,-8.947850340348522e-09
-245.375,-7.718405054220166e-09
-246.375,-7.386208461071069e-09
-247.375,-7.488728462306077e-09
-248.375,-7.721583968987144e-09
-249.375,-7.319451250964552e-09
-250.375,-7.479191718005146e-09
-251.375,-6.427765658827502e-09
-252.375,-6.975333727439292e-09
-253.375,-7.480781175388635e-09
-254.375,-7.39018210452979e-09
-255.375,-7.362366600318742e-09
-256.375,-7.29481466152048e-09
-257.375,-7.56184350194655e-09
-258.375,-7.441044740801423e-09
-259.375,-7.386208461071069e-09
-260.375,-7.318656522272808e-09
-261.375,-7.576148618397945e-09
-262.375,-7.47998644669689e-09
-263.375,-7.224878536646986e-09
-264.375,-8.608501188973726e-09
-265.375,-7.839998544057036e-09
-266.375,-7.834435443214826e-09
-267.375,-7.373492802003161e-09
-268.375,-7.526080710818057e-09
-269.375,-7.51336505175015e-09
-270.375,-7.557869858487827e-09
-271.375,-7.507801950907939e-09
-272.375,-6.3983606972329655e-09
-273.375,-7.2669991573094315e-09
-274.375,-7.284483188527805e-09
-275.375,-7.446607841643632e-09
-276.375,-7.552306757645617e-09
-277.375,-7.600785207842017e-09
-278.375,-7.391771561913279e-09
-279.375,-7.65164784411365e-09
-280.375,-7.408460864439908e-09
-281.375,-7.519722881284104e-09
-282.375,-7.570585517555736e-09
-283.375,-7.530849082968523e-09
-284.375,-7.581711719240155e-09
-285.375,-8.863609099023631e-09
-286.375,-8.041859631760076e-09
-287.375,-7.703305209077026e-09
-288.375,-7.736683814130283e-09
-289.375,-7.677079162249466e-09
-290.375,-7.525285982126312e-09
-291.375,-7.791520093860638e-09
-292.375,-7.538796369885966e-09
-293.375,-6.193320694762948e-09
-294.375,-7.699331565618304e-09
-295.375,-7.376671716770138e-09
-296.375,-7.680258077016442e-09
-297.375,-7.62939544074481e-09
-298.375,-7.672310790099e-09
-299.375,-7.646084743271439e-09
-300.375,-7.907550482855298e-09
-301.375,-7.523696524742824e-09
-302.375,-7.892450637712157e-09
-303.375,-7.72873652721284e-09
-304.375,-7.808209396387267e-09
-305.375,-7.74145218628075e-09
-306.375,-9.16799018796168e-09
-307.375,-7.798672652086335e-09
