NF07,,,,
Conc,500 mV/s,1000 mV/s,2000 mV/s,2900 mV/s
239,63.817,75.606,94.385,109.38
0,,,,5.674
0,,,,5.483
0,,,,5.31
,,,,
NF12,,,,
Conc,500 mV/s,1000 mV/s,2000 mV/s,2900 mV/s
239,54.931,62.821,76.656,88.13
0,,,,
0,,,,
0,,,,
,,,,
NF18,,,,
Conc,500 mV/s,1000 mV/s,2000 mV/s,2900 mV/s
239,40.281,50.458,67.242,80.835
0,,,,
0,,,,
0,,,,
