potential,current
-101.5,-5.5845585168868524e-09
-102.5,-8.298556999193469e-09
-103.5,-8.430481962023015e-09
-104.5,-9.405614066793211e-09
-105.5,-9.489060579426358e-09
-106.5,-9.398461508567512e-09
-107.5,-9.475550191666705e-09
-108.5,-9.983381825691282e-09
-109.5,-9.470781819516239e-09
-110.5,-1.0084312369542801e-08
-111.5,-9.690126938437652e-09
-112.5,-1.0124843532821758e-08
-113.5,-1.2110870533490642e-08
-114.5,-1.0359288496886311e-08
-115.5,-9.972255624006861e-09
-116.5,-9.980997639616048e-09
-117.5,-1.0066828338324428e-08
-118.5,-1.0008813143827098e-08
-119.5,-9.774368179762544e-09
-120.5,-1.0295710201546772e-08
-121.5,-7.196268303744193e-09
-122.5,-9.7735734510708e-09
-123.5,-9.505749881952986e-09
-124.5,-1.003742337672989e-08
-125.5,-9.423098098011584e-09
-126.5,-1.015504322310804e-08
-127.5,-9.458066160448332e-09
-128.5,-1.0383925086330384e-08
-129.5,-9.484292207275892e-09
-130.5,-9.75132104770196e-09
-131.5,-9.606680425804507e-09
-132.5,-9.775957637146032e-09
-133.5,-1.0472139971113995e-08
-134.5,-1.1579197038713737e-08
-135.5,-9.5383337583145e-09
-136.5,-9.844304304636038e-09
-137.5,-9.702047868813817e-09
-138.5,-9.501776238494265e-09
-139.5,-9.466013447365774e-09
-140.5,-9.861788335854411e-09
-141.5,-7.171631714300121e-09
-142.5,-8.810362276676766e-09
-143.5,-9.148121970668074e-09
-144.5,-9.653569418617417e-09
-145.5,-9.187858405255286e-09
-146.5,-9.282431119572852e-09
-147.5,-8.918445378753986e-09
-148.5,-9.295941507332505e-09
-149.5,-9.192626777405752e-09
-150.5,-9.26733127442971e-09
-151.5,-9.021760108680737e-09
-152.5,-9.054343985042252e-09
-153.5,-9.038449411207366e-09
-154.5,-1.1492571611313614e-08
-155.5,-9.273689103963665e-09
-156.5,-9.233952669376454e-09
-157.5,-8.957387084649453e-09
-158.5,-9.032091581673414e-09
-159.5,-8.847714525188747e-09
-160.5,-9.075006931027603e-09
-161.5,-8.787315144616184e-09
-162.5,-6.252925346643767e-09
-163.5,-8.285046611433818e-09
-164.5,-8.916061192678752e-09
-165.5,-8.467834210534994e-09
-166.5,-8.733273593577575e-09
-167.5,-8.42571358987255e-09
-168.5,-8.53220723456628e-09
-169.5,-8.480549869602903e-09
-170.5,-8.749168167412459e-09
-171.5,-8.42015048903034e-09
-172.5,-8.513928474656162e-09
-173.5,-8.351803821540334e-09
-174.5,-8.372466767525685e-09
-175.5,-1.0996660907665202e-08
-176.5,-8.729299950118853e-09
-177.5,-8.262794208064978e-09
-178.4375,-8.593401343830587e-09
-179.4375,-8.31921994517882e-09
-180.4375,-8.222263044786022e-09
-181.4375,-8.232594517778697e-09
-182.4375,-6.794930314413347e-09
-183.4375,-6.976128456131036e-09
-184.4375,-8.139611260844619e-09
-185.4375,-7.982254979879257e-09
-186.4375,-8.093516996723453e-09
-187.4375,-7.978281336420536e-09
-188.4375,-8.29696754180998e-09
-189.4375,-7.778804434792729e-09
-190.4375,-8.047422732602286e-09
-191.4375,-7.919471413231461e-09
-192.4375,-8.31921994517882e-09
-193.4375,-7.76767823310831e-09
-194.4375,-7.934571258374603e-09
-195.4375,-1.0018349888128029e-08
-196.4375,-8.582275142146166e-09
-197.4375,-8.221468316094276e-09
-198.4375,-8.006096840631585e-09
-199.4375,-7.77721497740924e-09
-200.4375,-7.985433894646235e-09
-201.4375,-7.871787691726807e-09
-202.4375,-8.101464283640895e-09
-203.4375,-5.125205333058675e-09
-204.4375,-7.757346760115635e-09
-205.4375,-7.619063967752135e-09
-206.4375,-7.747810015814704e-09
-207.4375,-7.623037611210855e-09
-208.4375,-7.660389859722836e-09
-209.4375,-7.778009706100985e-09
-210.4375,-7.8105935824625e-09
-211.4375,-7.3464720264838565e-09
-212.4375,-7.678668619632954e-09
-213.4375,-7.59760629307504e-09
-214.4375,-7.664363503181557e-09
-215.4375,-7.607937766067716e-09
-216.4375,-1.0421277334842365e-08
-217.4375,-7.829667071064361e-09
-218.4375,-7.554690943720851e-09
-219.4375,-7.65164784411365e-09
-220.4375,-7.731915441979819e-09
-221.4375,-7.808209396387267e-09
-222.4375,-7.643700557196207e-09
