potential,current
-101.5,-1.6876858497880915e-08
-102.0,-1.8596651386815475e-08
-102.5,-1.8133324559528576e-08
-103.0,-1.893997418164899e-08
-103.5,-1.8064183163346827e-08
-104.0,-1.9787154967048364e-08
-104.5,-1.85863199138228e-08
-105.0,-1.9181571703939243e-08
-105.5,-1.841624797378953e-08
-106.0,-1.9764902563679522e-08
-106.5,-1.85863199138228e-08
-107.0,-1.9877754037907208e-08
-107.5,-1.937548550472484e-08
-108.0,-1.973629233077673e-08
-108.5,-1.9022625965590393e-08
-109.0,-1.8654666581312806e-08
-109.5,-1.8959842398942597e-08
-110.0,-1.9015473407364694e-08
-110.5,-1.8561683324378728e-08
-111.0,-1.7353695712927465e-08
-111.5,-1.7809869981988665e-08
-112.0,-1.899560519007109e-08
-112.5,-1.8325648902930685e-08
-113.0,-1.864433510832013e-08
-113.5,-1.768509757738482e-08
-114.0,-1.8965405499784807e-08
-114.5,-1.7686687034768308e-08
-115.0,-1.865387185262106e-08
-115.5,-1.7595293235217718e-08
-116.0,-1.856565696783745e-08
-116.5,-1.8043520217361474e-08
-117.0,-1.774708641534087e-08
-117.5,-1.9247534185354015e-08
-118.0,-1.842578471809046e-08
-118.5,-1.7819406726289598e-08
-119.0,-1.7731191841505984e-08
-119.5,-1.7480057574914802e-08
-120.0,-1.8118224714385436e-08
-120.5,-1.7193160517195127e-08
-121.0,-1.765330842971505e-08
-121.5,-1.5502772589855106e-08
-122.0,-1.7425221295184447e-08
-122.5,-1.6733012604675204e-08
-123.0,-1.7170113385134543e-08
-123.5,-1.6671818495410897e-08
-124.0,-1.7170113385134543e-08
-124.5,-1.694520516537092e-08
-125.0,-1.6361079576938895e-08
-125.5,-1.6895931986482776e-08
-126.0,-1.668930252662927e-08
-126.5,-1.621961786980842e-08
-127.0,-1.653194624566391e-08
-127.5,-1.6087692906978874e-08
-128.0,-1.9166471858796103e-08
-128.5,-1.6323727328426917e-08
-129.0,-1.5986762363127355e-08
-129.5,-1.6028882983789798e-08
-130.0,-1.655419864903275e-08
-130.5,-1.5711786235783843e-08
-131.0,-1.584768484207211e-08
-131.5,-1.4587245136965728e-08
-132.0,-1.5506746233313825e-08
-132.5,-1.529058002915939e-08
-133.0,-1.5704633677558145e-08
-133.5,-1.53859474721687e-08
-134.0,-1.5549661582668017e-08
-134.5,-1.5278659098783227e-08
-135.0,-1.5358926696649396e-08
-135.5,-1.4888447311136798e-08
-136.0,-1.542886282152289e-08
-136.5,-1.5016398630507624e-08
-137.0,-1.5001298785364484e-08
-137.5,-1.4763674906532951e-08
-138.0,-1.644770500433902e-08
-138.5,-1.4904341884971684e-08
-139.0,-1.4786722038593535e-08
-139.5,-1.45634032762134e-08
-140.0,-1.5164218167172053e-08
-140.5,-1.4533203585927119e-08
-141.0,-1.4615060641176776e-08
-141.5,-1.4029345595361264e-08
-142.0,-1.3230643260158292e-08
-142.5,-1.368840698660298e-08
-143.0,-1.425107490035791e-08
-143.5,-1.382668977896648e-08
-144.0,-1.4445783429835251e-08
-144.5,-1.4125507767062319e-08
-145.0,-1.367887024230205e-08
-145.5,-1.3506414116193546e-08
-146.0,-1.4241538156056979e-08
-146.5,-1.3436477991320052e-08
-147.0,-1.3808411019056363e-08
-147.5,-1.3457935665997148e-08
-148.0,-1.3531845434329362e-08
-148.5,-1.5161039252405077e-08
-149.0,-1.34229676035604e-08
-149.5,-1.3132096902382005e-08
-150.0,-1.3403099386266793e-08
-150.5,-1.3373694424672256e-08
-151.0,-1.3048650389748858e-08
-151.5,-1.2931825272062453e-08
-152.0,-1.258929720592068e-08
-152.5,-1.2501877049828813e-08
-153.0,-1.2959640776273502e-08
-153.5,-1.2460551157858111e-08
-154.0,-1.31050761268627e-08
-154.5,-1.2388230846909385e-08
-155.0,-1.2803873952691628e-08
-155.5,-1.2807052867458606e-08
-156.0,-1.2792747751007209e-08
-156.5,-1.2408893792894735e-08
-157.0,-1.2272995186606469e-08
-157.5,-1.2566250073860097e-08
-157.9375,-1.2520950538430675e-08
-158.4375,-1.3353031478686906e-08
-158.9375,-1.2647312400418012e-08
-159.4375,-1.2094975959655757e-08
-159.9375,-1.2548766042641723e-08
-160.4375,-1.2056828982452032e-08
-160.9375,-1.230478433427624e-08
-161.4375,-1.1871657197275621e-08
-161.9375,-1.1984508671503305e-08
-162.4375,-1.060009129048482e-08
-162.9375,-1.2030602935624471e-08
-163.4375,-1.1494955797388848e-08
-163.9375,-1.2108486347415408e-08
-164.4375,-1.1676153939106536e-08
-164.9375,-1.1728606032761657e-08
-165.4375,-1.1574428666563273e-08
-165.9375,-1.1893909600644461e-08
-166.4375,-1.144488788980896e-08
-166.9375,-1.1844636421756317e-08
-167.4375,-1.1108717653201142e-08
-167.9375,-1.174609006398003e-08
-168.4375,-1.130660509744546e-08
-168.9375,-1.2760958603337438e-08
-169.4375,-1.1320910213896856e-08
-169.9375,-1.1412304013447445e-08
-170.4375,-1.0904472379422868e-08
-170.9375,-1.1361441377175812e-08
-171.4375,-1.084486772754205e-08
-171.9375,-1.1262895019399525e-08
-172.4375,-1.097202431822113e-08
-172.9375,-9.864172521929644e-09
-173.4375,-1.0642211911147266e-08
-173.9375,-1.1184216878916844e-08
-174.4375,-1.0941824627934849e-08
-174.9375,-1.0518234235235163e-08
-175.4375,-1.1041960443094624e-08
-175.9375,-1.0794005091270418e-08
-176.4375,-1.0595322918334354e-08
-176.9375,-1.0777315788743788e-08
-177.4375,-1.065413284152343e-08
-177.9375,-1.059452818964261e-08
-178.4375,-1.0662874857132616e-08
-178.9375,-1.1253358275098595e-08
-179.4375,-1.0720095322938201e-08
-179.9375,-1.0826588967631933e-08
-180.4375,-1.0391077644556082e-08
-180.9375,-1.0479292529339694e-08
-181.4375,-9.99609748475919e-09
-181.9375,-1.0322730977066076e-08
-182.4375,-1.0320346790990844e-08
-182.9375,-9.044012512049577e-09
-183.4375,-9.928545545960929e-09
-183.9375,-1.0484855630181904e-08
-184.4375,-1.0232131906207232e-08
-184.9375,-1.0125638261513503e-08
-185.4375,-9.844304304636038e-09
-185.9375,-1.0153453765724551e-08
-186.4375,-9.757678877235914e-09
-186.9375,-9.949208491946279e-09
-187.4375,-9.879272367072785e-09
-187.9375,-1.0035833919346403e-08
-188.4375,-9.589196394586133e-09
-188.9375,-9.837946475102083e-09
-189.4375,-1.077016323051809e-08
-189.9375,-9.957155778863722e-09
-190.4375,-9.727479186949633e-09
-190.9375,-9.524028641863105e-09
-191.4375,-9.395282593800536e-09
-191.9375,-9.901524770441623e-09
-192.4375,-9.772778722379055e-09
-192.9375,-9.500981509802521e-09
-193.4375,-8.037885988301356e-09
-193.9375,-9.44296631530519e-09
-194.4375,-9.334883213227973e-09
-194.9375,-9.380977477349139e-09
-195.4375,-9.315014995934367e-09
-195.9375,-9.587606937202645e-09
-196.4375,-9.068649101493649e-09
-196.9375,-9.388130035574837e-09
-197.4375,-9.090106776170743e-09
-197.9375,-9.166400730578192e-09
-198.4375,-9.013812821763296e-09
-198.9375,-9.156069257585517e-09
-199.4375,-9.299915150791226e-09
-199.9375,-1.0218621518447579e-08
-200.4375,-8.967718557642128e-09
-200.9375,-8.947055611656778e-09
-201.4375,-8.916061192678752e-09
-201.9375,-9.103617163930396e-09
-202.4375,-8.827051579203396e-09
-202.9375,-8.920034836137474e-09
-203.4375,-7.572969703630969e-09
-203.9375,-8.961360728108175e-09
-204.4375,-8.499623358204765e-09
-204.9375,-8.962950185491664e-09
-205.4375,-8.366903666683475e-09
-205.9375,-8.874735300708052e-09
-206.4375,-8.751552353487693e-09
-206.9375,-8.465450024459762e-09
-207.4375,-8.486112970445113e-09
-207.9375,-8.798441346300603e-09
-208.4375,-8.585454056913144e-09
-208.9375,-8.54174397886721e-09
-209.4375,-8.21272630048509e-09
-209.9375,-9.609064611879739e-09
-210.4375,-8.522670490265349e-09
-210.9375,-8.335114519013704e-09
-211.4375,-8.180142424123576e-09
-211.9375,-8.698305531140828e-09
-212.4375,-8.129279787851944e-09
-212.9375,-8.272330952365909e-09
-213.4375,-8.203189556184159e-09
-213.9375,-6.99202302996592e-09
-214.4375,-7.950465832209488e-09
-214.9375,-8.293788627043004e-09
-215.4375,-7.911524126314019e-09
-215.9375,-8.540949250175466e-09
-216.4375,-7.886092808178202e-09
-216.9375,-8.058548934286706e-09
-217.4375,-7.803441024236801e-09
-217.9375,-8.15868474944648e-09
-218.4375,-7.709663038610979e-09
-218.9375,-8.047422732602286e-09
-219.4375,-7.716020868144933e-09
-219.9375,-8.169810951130901e-09
-220.4375,-8.703073903291293e-09
-220.9375,-7.987818080721467e-09
-221.4375,-7.721583968987144e-09
-221.9375,-7.638137456353996e-09
-222.4375,-7.86701931957634e-09
-222.9375,-7.76767823310831e-09
-223.4375,-7.415613422665607e-09
-223.9375,-7.3011724910544345e-09
-224.4375,-7.1771948151423315e-09
-224.9375,-7.607143037375971e-09
-225.4375,-7.284483188527805e-09
-225.9375,-7.630190169436554e-09
-226.4375,-7.704894666460514e-09
-226.9375,-7.483960090155613e-09
-227.4375,-7.403692492289443e-09
-227.9375,-7.410845050515141e-09
-228.4375,-7.565022416713526e-09
-228.9375,-7.375876988078394e-09
-229.4375,-7.33773001087467e-09
-229.9375,-7.466476058937239e-09
-230.4375,-8.127690330468456e-09
-230.9375,-7.584095905315388e-09
-231.4375,-7.27971481637734e-09
-231.9375,-7.115205977186279e-09
-232.4375,-7.355214042093043e-09
-232.9375,-7.243952025248848e-09
-233.4375,-7.012685975951271e-09
-233.9375,-7.07229062783209e-09
-234.4375,-6.05344844501596e-09
-234.9375,-7.057190782688949e-09
-235.4375,-6.750425507675669e-09
-235.9375,-7.237594195714894e-09
-236.4375,-7.1311005510211645e-09
-236.9375,-7.034143650628366e-09
-237.4375,-6.958644424912662e-09
-237.9375,-6.790161942262881e-09
-238.4375,-6.911755432099751e-09
-238.9375,-7.150174039623026e-09
-239.4375,-6.767909538894042e-09
-239.9375,-6.896655586956611e-09
-240.4375,-6.783009384037183e-09
-240.9375,-8.157890020754736e-09
-241.4375,-6.911755432099751e-09
-241.9375,-6.840229849842769e-09
-242.4375,-6.722610003464619e-09
-242.9375,-6.772677911044508e-09
-243.4375,-6.519159458378091e-09
-243.9375,-6.887913571347424e-09
-244.4375,-6.538232946979953e-09
-244.9375,-5.650520998301625e-09
-245.4375,-6.434918217053201e-09
-245.9375,-6.771088453661019e-09
-246.4375,-6.395181782465988e-09
-246.9375,-6.731352019073806e-09
-247.4375,-6.450812790888085e-09
-247.9375,-6.7702937249692745e-09
-248.4375,-6.4778335664073905e-09
-248.9375,-6.5000859697762295e-09
-249.4375,-6.438097131820178e-09
-249.9375,-6.461144263880761e-09
-250.4375,-6.279151393471327e-09
-250.9375,-7.34885621255909e-09
-251.4375,-6.752809693750901e-09
-251.9375,-6.378492479939359e-09
-252.4375,-6.156763174942713e-09
-252.9375,-6.493728140242275e-09
-253.4375,-6.190141779995971e-09
-253.9375,-6.458760077805528e-09
-254.4375,-6.206831082522601e-09
-254.9375,-5.018711688364945e-09
-255.4375,-6.207625811214345e-09
-255.9375,-6.142458058491316e-09
-256.4375,-6.264051548328187e-09
-256.9375,-6.022454026037934e-09
-257.4375,-6.1273582133481756e-09
-257.9375,-6.170273562702365e-09
-258.4375,-6.179015578311552e-09
-258.9375,-6.227494028507951e-09
-259.4375,-5.884965962366179e-09
-259.9375,-6.277561936087839e-09
-260.4375,-6.074111391001311e-09
-260.9375,-6.099542709137127e-09
-261.4375,-7.112821791111047e-09
-261.9375,-5.931060226487345e-09
-262.4375,-6.140868601107828e-09
-262.9375,-5.981922862758978e-09
-263.4375,-5.895297435358854e-09
-263.9375,-5.841255884320245e-09
-264.4375,-5.9787439479920004e-09
-264.9375,-6.090005964836195e-09
-265.4375,-4.713535870735153e-09
-265.9375,-5.8778134041404805e-09
-266.4375,-5.600453090721737e-09
-266.9375,-6.022454026037934e-09
-267.4375,-5.690257432888838e-09
-267.9375,-5.755425185611866e-09
-268.4375,-5.835692783478036e-09
-268.9375,-5.9223182108781585e-09
-269.4375,-5.620321308015344e-09
-269.9375,-5.779267046364194e-09
-270.4375,-5.6751575877456966e-09
-270.9375,-5.9223182108781585e-09
-271.4375,-6.011327824353515e-09
-271.9375,-6.391208139007267e-09
-272.4375,-5.6751575877456966e-09
-272.9375,-5.775293402905472e-09
-273.4375,-5.636215881850228e-09
-273.9375,-5.44389153844812e-09
-274.4375,-5.60840037763918e-09
-274.9375,-5.6974099911145355e-09
-275.4375,-4.444917572925596e-09
-275.9375,-5.558332470059292e-09
-276.4375,-5.27381959841485e-09
-276.9375,-5.519390764163824e-09
-277.4375,-5.6632366573695326e-09
-277.9375,-5.388260530026022e-09
-278.4375,-5.473296500042657e-09
-278.9375,-5.668005029519998e-09
-279.4375,-5.2563355671964764e-09
-279.9375,-5.484422701727077e-09
-280.4375,-5.650520998301625e-09
-280.9375,-5.2785879705653154e-09
-281.4375,-5.373955413574626e-09
-281.9375,-6.551743334739605e-09
-282.4375,-5.408923476011373e-09
-282.9375,-5.44389153844812e-09
-283.4375,-5.366802855348927e-09
-283.9375,-5.547206268374872e-09
-284.4375,-5.191962543165192e-09
-284.9375,-5.451044096673818e-09
-285.4375,-5.265077582805663e-09
-285.9375,-4.155636329130689e-09
-286.4375,-5.231698977752404e-09
-286.9375,-5.2118307604587985e-09
-287.4375,-5.107721301840301e-09
-287.9375,-5.42163913507928e-09
-288.4375,-5.123615875675187e-09
-288.9375,-5.360445025814974e-09
-289.4375,-5.191962543165192e-09
-289.9375,-5.2007045587743786e-09
-290.4375,-5.012353858830991e-09
-290.9375,-5.360445025814974e-09
-291.4375,-5.115668588757744e-09
-291.9375,-5.33183479291218e-09
-292.375,-6.190141779995971e-09
-292.875,-5.118847503524721e-09
-293.375,-5.096595100155882e-09
-293.875,-5.136331534743095e-09
-294.375,-5.092621456697161e-09
-294.875,-4.931291532273078e-09
-295.375,-5.169710139796353e-09
-295.875,-4.182657104649993e-09
-296.375,-4.8391030040307445e-09
-296.875,-5.036990448275063e-09
-297.375,-4.878044709926213e-09
-297.875,-5.037785176966807e-09
-298.375,-5.198320372699146e-09
-298.875,-4.9765910677025e-09
-299.375,-4.8716868803922585e-09
-299.875,-5.009969672755759e-09
-300.375,-5.051295564726459e-09
-300.875,-4.947980834799707e-09
-301.375,-5.01394331621448e-09
-301.875,-5.181631070172517e-09
-302.375,-5.838076969553268e-09
-302.875,-5.058448122952158e-09
-303.375,-5.137920992126583e-09
-303.875,-5.005201300605293e-09
-304.375,-4.796187654676555e-09
-304.875,-5.1109002166072785e-09
-305.375,-4.9304968035813336e-09
-305.875,-4.745325018404923e-09
-306.375,-3.907680977306482e-09
-306.875,-4.831155717113302e-09
-307.375,-4.888376182918888e-09
-307.875,-4.924933702739124e-09
-308.375,-4.866123779550049e-09
-308.875,-4.835129360572023e-09
-309.375,-4.731814630645271e-09
-309.875,-4.901091841986796e-09
-310.375,-5.0075854866805255e-09
-310.875,-4.843076647489466e-09
-311.375,-4.656315404929567e-09
-311.875,-4.9742068816272674e-09
-312.375,-4.8867867255354e-09
-312.875,-5.970001932382814e-09
-313.375,-4.619757885109331e-09
