p,rh,t,ts
101.517,53.83,30.079,1550872542.21839
101.514,53.81,30.078,1550872544.68550
101.516,53.88,30.08,1550872547.15260
101.519,53.96,30.087,1550872549.62000
101.519,54.01,30.091,1550872552.08589
101.515,54,30.089,1550872554.55331
101.517,53.92,30.098,1550872557.02045
101.516,53.83,30.108,1550872559.48756
101.515,53.76,30.109,1550872561.95460
101.516,53.72,30.119,1550872564.42163
101.518,53.7,30.123,1550872566.88867
101.517,53.7,30.119,1550872569.35877
101.512,53.71,30.127,1550872571.82157
101.516,53.76,30.13,1550872574.28895
101.515,53.8,30.139,1550872576.75586
101.512,53.79,30.14,1550872579.21963
101.513,53.77,30.146,1550872581.68599
101.515,53.76,30.151,1550872584.15491
101.513,53.76,30.161,1550872586.62172
101.513,53.77,30.171,1550872589.08463
101.511,53.78,30.174,1550872591.55191
101.515,53.82,30.187,1550872594.02111
101.51,53.84,30.194,1550872596.49081
101.512,53.84,30.2,1550872598.95169
101.51,53.78,30.207,1550872601.42215
101.512,53.72,30.214,1550872603.88978
101.513,53.7,30.222,1550872606.35572
101.517,53.74,30.23,1550872608.82344
101.513,53.79,30.237,1550872611.28381
101.51,53.82,30.233,1550872613.75195
101.513,53.81,30.242,1550872616.21911
101.511,53.79,30.241,1550872618.68679
101.515,53.75,30.245,1550872621.15398
101.514,53.7,30.243,1550872623.62130
101.515,53.66,30.245,1550872626.08160
101.518,53.62,30.243,1550872628.54905
101.518,53.6,30.248,1550872631.01648
101.513,53.6,30.245,1550872633.48416
101.514,53.59,30.246,1550872635.95134
101.515,53.59,30.248,1550872638.41839
101.514,53.59,30.245,1550872640.88551
101.511,53.56,30.248,1550872643.35276
101.514,53.5,30.248,1550872645.82267
101.513,53.41,30.242,1550872648.29009
101.513,53.32,30.237,1550872650.75730
101.516,53.24,30.234,1550872653.22425
101.514,53.15,30.222,1550872655.69144
101.514,53.09,30.216,1550872658.15844
101.513,52.98,30.211,1550872660.62575
101.514,52.94,30.207,1550872663.09419
101.512,52.86,30.197,1550872665.56133
101.518,52.8,30.192,1550872668.02836
101.511,52.78,30.188,1550872670.49541
101.512,52.54,30.181,1550872672.96249
101.516,52.06,30.169,1550872675.42943
101.515,51.77,30.153,1550872677.89647
101.517,51.74,30.148,1550872680.36381
101.515,51.75,30.14,1550872682.82559
101.513,51.75,30.127,1550872685.29584
101.513,51.77,30.116,1550872687.76536
101.515,51.79,30.108,1550872690.23562
101.514,51.8,30.106,1550872692.70331
101.514,51.76,30.099,1550872695.16700
101.509,51.72,30.091,1550872697.63432
101.517,51.67,30.098,1550872700.10171
101.513,51.53,30.087,1550872702.56950
101.508,51.39,30.078,1550872705.03168
101.512,51.35,30.075,1550872707.49185
101.512,51.27,30.064,1550872709.95177
101.511,51.19,30.062,1550872712.41892
101.514,51.13,30.056,1550872714.88145
101.511,51.04,30.042,1550872717.34890
101.514,50.94,30.03,1550872719.81607
101.511,50.8,30.016,1550872722.28298
101.512,50.72,30.002,1550872724.75003
101.51,50.67,29.981,1550872727.21730
101.51,50.61,29.964,1550872729.68454
101.512,50.62,29.951,1550872732.15457
101.512,50.66,29.939,1550872734.62186
101.511,50.71,29.926,1550872737.08273
101.51,50.73,29.911,1550872739.55176
101.513,50.78,29.903,1550872742.02090
101.51,50.88,29.894,1550872744.48811
101.511,50.96,29.882,1550872746.95528
101.513,51.06,29.871,1550872749.42241
101.511,51.13,29.859,1550872751.89024
101.509,51.2,29.853,1550872754.35758
101.514,51.26,29.844,1550872756.82302
101.514,51.31,29.836,1550872759.28991
101.514,51.36,29.828,1550872761.75715
101.513,51.39,29.824,1550872764.22414
101.511,51.45,29.814,1550872766.69132
101.511,51.5,29.81,1550872769.15950
101.513,51.56,29.809,1550872771.62155
101.51,51.66,29.809,1550872774.07877
101.508,51.79,29.809,1550872776.54599
101.509,51.92,29.81,1550872779.01393
101.511,52.01,29.812,1550872781.48206
101.511,52.06,29.818,1550872783.95005
101.511,52.09,29.823,1550872786.40886
101.511,52.06,29.83,1550872788.87139
101.513,52.06,29.838,1550872791.33185
101.51,52.06,29.839,1550872793.79924
101.512,52.09,29.845,1550872796.26671
101.513,52.14,29.853,1550872798.73366
101.517,52.21,29.861,1550872801.19161
101.509,52.26,29.869,1550872803.65912
101.517,52.26,29.88,1550872806.12218
101.512,52.14,29.889,1550872808.58972
101.514,52.07,29.895,1550872811.05684
101.511,52.03,29.895,1550872813.52450
101.514,51.99,29.897,1550872815.99210
101.515,51.95,29.906,1550872818.45190
101.511,51.93,29.908,1550872820.91534
101.512,51.91,29.907,1550872823.38177
101.51,51.94,29.913,1550872825.84290
101.51,51.95,29.916,1550872828.31024
101.51,52,29.923,1550872830.77848
101.511,52.04,29.936,1550872833.23927
101.512,52.08,29.942,1550872835.70645
101.511,52.16,29.95,1550872838.17403
101.51,52.21,29.962,1550872840.64143
101.509,52.24,29.968,1550872843.10238
101.511,52.29,29.988,1550872845.57369
101.511,52.33,30.003,1550872848.04108
101.511,52.35,30.015,1550872850.50839
101.509,52.36,30.029,1550872852.97140
101.513,52.33,30.041,1550872855.43872
101.511,52.31,30.05,1550872857.90585
101.51,52.29,30.066,1550872860.37307
101.508,52.26,30.081,1550872862.84045
101.507,52.24,30.095,1550872865.30749
101.51,52.23,30.11,1550872867.77473
101.511,52.28,30.122,1550872870.24159
101.513,52.33,30.134,1550872872.70909
101.512,52.32,30.154,1550872875.17651
101.51,52.29,30.168,1550872877.64373
101.511,52.24,30.183,1550872880.10948
101.509,52.2,30.194,1550872882.57670
101.512,52.18,30.203,1550872885.04380
101.51,52.13,30.213,1550872887.51073
101.509,52.12,30.226,1550872889.97780
101.509,52.17,30.24,1550872892.44144
101.511,52.24,30.253,1550872894.90853
101.514,52.24,30.265,1550872897.37548
101.512,52.19,30.273,1550872899.84254
101.508,52.17,30.284,1550872902.30947
101.511,52.2,30.294,1550872904.77663
101.51,52.24,30.308,1550872907.24369
101.51,52.26,30.32,1550872909.71077
101.512,52.3,30.33,1550872912.17792
101.509,52.37,30.344,1550872914.64501
101.505,52.45,30.353,1550872917.11227
101.508,52.51,30.366,1550872919.57260
101.511,52.49,30.378,1550872922.03506
101.508,52.43,30.389,1550872924.50177
101.509,52.46,30.394,1550872926.96950
101.509,52.46,30.404,1550872929.43723
101.511,52.41,30.411,1550872931.89635
101.505,52.31,30.415,1550872934.36168
101.51,52.23,30.417,1550872936.82976
101.506,52.21,30.425,1550872939.29770
101.507,52.22,30.43,1550872941.76457
101.508,52.22,30.436,1550872944.23168
101.509,52.2,30.442,1550872946.69910
101.509,52.18,30.447,1550872949.16609
101.509,52.14,30.45,1550872951.63372
101.509,52.11,30.457,1550872954.10200
101.509,52.13,30.465,1550872956.56917
101.511,52.11,30.473,1550872959.03143
101.509,52.04,30.475,1550872961.49873
101.514,51.98,30.486,1550872963.96579
101.509,51.95,30.486,1550872966.43319
101.51,51.92,30.495,1550872968.89264
101.51,51.89,30.502,1550872971.35321
101.507,51.87,30.508,1550872973.82289
101.509,51.92,30.516,1550872976.28240
101.51,51.94,30.52,1550872978.74274
101.508,51.88,30.525,1550872981.21005
101.51,51.83,30.532,1550872983.67229
101.508,51.78,30.538,1550872986.14020
101.51,51.77,30.552,1550872988.60190
101.507,51.78,30.549,1550872991.06393
101.508,51.8,30.561,1550872993.53288
101.509,51.86,30.568,1550872996.00144
101.508,51.87,30.581,1550872998.46208
101.51,51.82,30.586,1550873000.92966
101.509,51.8,30.596,1550873003.39736
101.51,51.79,30.604,1550873005.86164
101.505,51.79,30.612,1550873008.32147
101.509,51.82,30.621,1550873010.78876
101.506,51.82,30.623,1550873013.25590
101.509,51.8,30.622,1550873015.72514
101.508,51.78,30.631,1550873018.19319
101.508,51.78,30.637,1550873020.66260
101.508,51.78,30.64,1550873023.12964
101.509,51.73,30.643,1550873025.59687
101.51,51.68,30.65,1550873028.06410
101.507,51.69,30.652,1550873030.53237
101.509,51.75,30.656,1550873032.99453
101.509,51.83,30.662,1550873035.46485
101.506,51.86,30.664,1550873037.93139
101.508,51.83,30.671,1550873040.39840
101.509,51.81,30.678,1550873042.86573
101.508,51.85,30.683,1550873045.33505
101.51,51.92,30.689,1550873047.80245
101.507,52,30.696,1550873050.26146
101.508,52.03,30.704,1550873052.72404
