"","ts","depth","p","dt","Toptode","O2Concentration","AirSaturation","SNoptode","Tec","Conductivity","Salinity","SNec","Chlorophyll","Turbidity","pW"
"1",2018-07-18 14:13:24,0.0204077500000012,104.552,"2018-07-19T00:13:24.259261","35.022","242.085","111.626","829","34.721","0.007","0.016","1413","1939","4130",0.205000000000013
"2",2018-07-18 14:13:31,0.0204077500000012,104.552,"2018-07-19T00:13:31.142523","34.964","249.129","114.767","829","34.662","0.006","0.016","1413","1930","4130",0.205000000000013
"3",2018-07-18 14:13:38,0.0204077500000012,104.552,"2018-07-19T00:13:38.023107","34.786","253.263","116.332","829","34.598","0.007","0.016","1413","56","466",0.205000000000013
"4",2018-07-18 14:13:44,0.0204077500000012,104.552,"2018-07-19T00:13:44.907798","34.577","255.922","117.152","829","34.528","0.007","0.015","1413","54","257",0.205000000000013
"5",2018-07-18 14:13:51,0.0204077500000012,104.552,"2018-07-19T00:13:51.792746","33.749","255.025","115.163","829","34.17","0.113","0.051","1413","72","375",0.205000000000013
"6",2018-07-18 14:13:58,0.0204077500000012,104.552,"2018-07-19T00:13:58.672648","32.939","250.492","111.606","829","33.479","0.019","0.019","1413","50","87",0.205000000000013
"7",2018-07-18 14:14:05,0.0204077500000012,104.552,"2018-07-19T00:14:05.593086","32.519","250.215","110.704","829","32.929","0.018","0.018","1413","50","50",0.205000000000013
"8",2018-07-18 14:14:12,0.0204077500000012,104.552,"2018-07-19T00:14:12.483579","31.713","247.387","107.978","829","32.246","62.072","35.854","1413","238","607",0.205000000000013
"9",2018-07-18 14:14:19,0.0151316000000001,104.499,"2018-07-19T00:14:19.362788","30.9","261.2","112.442","829","31.481","62.096","36.427","1413","251","603",0.152000000000001
"10",2018-07-18 14:14:26,0.270676450000001,107.066,"2018-07-19T00:14:26.238654","30.28","269.471","114.778","829","30.862","62.038","36.851","1413","254","579",2.71900000000001
"11",2018-07-18 14:14:33,0.2584318,106.943,"2018-07-19T00:14:33.112365","29.777","278.766","117.711","829","30.372","62.029","37.216","1413","265","561",2.596
"12",2018-07-18 14:14:39,0.898737400000001,113.375,"2018-07-19T00:14:39.988327","29.461","285.12","119.736","829","30.012","62.031","37.496","1413","268","562",9.02800000000001
"13",2018-07-18 14:14:46,0.97509225,114.142,"2018-07-19T00:14:46.863225","29.251","289.197","121.004","829","29.745","62.043","37.712","1413","288","561",9.795
"14",2018-07-18 14:14:53,1.15308765,115.93,"2018-07-19T00:14:53.735233","29.095","291.61","121.682","829","29.547","62.031","37.859","1413","303","572",11.583
"15",2018-07-18 14:15:00,1.1219285,115.617,"2018-07-19T00:15:00.609007","28.981","293.004","122.02","829","29.41","62.007","37.951","1413","313","567",11.27
"16",2018-07-18 14:15:07,1.4416831,118.829,"2018-07-19T00:15:07.482186","28.912","294.402","122.456","829","29.289","61.976","38.026","1413","310","565",14.482
"17",2018-07-18 14:15:14,1.66557105,121.078,"2018-07-19T00:15:14.358072","28.856","294.833","122.514","829","29.21","61.774","37.948","1413","317","568",16.731
"18",2018-07-18 14:15:21,2.0630742,125.071,"2018-07-19T00:15:21.231878","28.765","294.675","122.253","829","29.101","61.534","37.868","1413","335","574",20.724
"19",2018-07-18 14:15:28,2.3836252,128.291,"2018-07-19T00:15:28.108819","28.657","296.916","122.951","829","28.992","61.52","37.945","1413","367","566",23.944
"20",2018-07-18 14:15:34,2.7981514,132.455,"2018-07-19T00:15:34.986316","28.565","295.882","122.324","829","28.883","61.402","37.949","1413","370","565",28.108
"21",2018-07-18 14:15:41,3.082068,135.307,"2018-07-19T00:15:41.856627","28.476","294.015","121.362","829","28.771","61.34","37.995","1413","390","567",30.96
"22",2018-07-18 14:15:48,3.17893015,136.28,"2018-07-19T00:15:48.730692","28.379","289.84","119.434","829","28.665","61.34","38.08","1413","410","580",31.933
"23",2018-07-18 14:15:55,3.6604535,141.117,"2018-07-19T00:15:55.603448","28.294","284.668","117.127","829","28.573","61.243","38.086","1413","407","579",36.77
"24",2018-07-18 14:16:02,3.7367088,141.883,"2018-07-19T00:16:02.527430","28.223","276.72","113.715","829","28.499","61.315","38.196","1413","430","590",37.536
"25",2018-07-18 14:16:09,3.97791845,144.306,"2018-07-19T00:16:09.401239","28.167","265.614","109.042","829","28.425","61.282","38.233","1413","421","576",39.959
"26",2018-07-18 14:16:16,3.7016672,141.531,"2018-07-19T00:16:16.267314","28.11","256.392","105.151","829","28.354","61.254","38.27","1413","411","581",37.184
"27",2018-07-18 14:16:23,3.62770155,140.788,"2018-07-19T00:16:23.136052","28.063","250.177","102.515","829","28.33","61.235","38.277","1413","387","596",36.441
"28",2018-07-18 14:16:30,4.2083767,146.621,"2018-07-19T00:16:30.003929","28.029","246.454","100.931","829","28.234","61.304","38.403","1413","409","579",42.274
"29",2018-07-18 14:16:36,4.6179254,150.735,"2018-07-19T00:16:36.864936","27.973","217.233","88.875","829","28.193","61.267","38.41","1413","428","569",46.388
"30",2018-07-18 14:16:43,4.7666531,152.229,"2018-07-19T00:16:43.725956","27.907","187.0","76.416","829","28.104","61.253","38.473","1413","452","560",47.882
"31",2018-07-18 14:16:50,4.86291795,153.196,"2018-07-19T00:16:50.584720","27.846","158.541","64.716","829","28.054","61.254","38.515","1413","436","563",48.849
"32",2018-07-18 14:16:57,5.1170691,155.749,"2018-07-19T00:16:57.450802","27.789","136.51","55.667","829","27.993","61.198","38.525","1413","484","594",51.402
"33",2018-07-18 14:17:04,5.1515134,156.095,"2018-07-19T00:17:04.381061","27.733","103.092","41.998","829","27.936","61.206","38.578","1413","468","589",51.748
"34",2018-07-18 14:17:11,5.02598085,154.834,"2018-07-19T00:17:11.243435","27.688","84.101","34.234","829","27.872","61.22","38.64","1413","492","585",50.487
"35",2018-07-18 14:17:18,4.822202,152.787,"2018-07-19T00:17:18.099385","27.648","74.63","30.357","829","27.84","61.178","38.636","1413","451","590",48.44
"36",2018-07-18 14:17:24,4.4034947,148.581,"2018-07-19T00:17:24.952248","27.613","66.155","26.893","829","27.798","61.213","38.697","1413","422","573",44.234
"37",2018-07-18 14:17:31,4.9219511,153.789,"2018-07-19T00:17:31.803265","27.595","63.323","25.733","829","27.758","61.199","38.719","1413","442","572",49.442
"38",2018-07-18 14:17:38,5.3647495,158.237,"2018-07-19T00:17:38.660194","27.568","54.222","22.024","829","27.732","61.166","38.717","1413","476","602",53.89
"39",2018-07-18 14:17:45,5.85841795,163.196,"2018-07-19T00:17:45.511191","27.536","40.823","16.572","829","27.695","67.74","43.515","1413","508","654",58.849
"40",2018-07-18 14:17:52,6.2204813,166.833,"2018-07-19T00:17:52.362170","27.403","28.845","11.682","829","27.606","78.432","51.58","1413","1322","2214",62.486
