"","ts","depth","p","dt","Toptode","O2Concentration","AirSaturation","SNoptode","Tec","Conductivity","Salinity","SNec","Chlorophyll","Turbidity","pW"
"1",2018-07-17 12:14:56,0.0106518499999999,103.902,2018-07-17 22:14:56,27.894,258.737,105.707,829,27.137,0.019,0.018,1413,50,50,0.106999999999999
"2",2018-07-17 12:15:03,0.00826264999999984,103.878,2018-07-17 22:15:03,27.898,258.855,105.762,829,27.118,0.018,0.017,1413,50,50,0.0829999999999984
"3",2018-07-17 12:15:10,0.0133397,103.929,2018-07-17 22:15:10,27.913,258.811,105.773,829,27.113,0.018,0.017,1413,50,50,0.134
"4",2018-07-17 12:15:16,0.00736669999999981,103.869,2018-07-17 22:15:16,27.935,259.252,105.994,829,27.093,0.018,0.017,1413,50,50,0.0739999999999981
"5",2018-07-17 12:15:23,0.0120455499999995,103.916,2018-07-17 22:15:23,27.953,258.684,105.796,829,27.088,0.018,0.017,1413,50,50,0.120999999999995
"6",2018-07-17 12:15:30,0.0110500500000004,103.906,2018-07-17 22:15:30,27.97,259.42,106.128,829,27.075,0.018,0.017,1413,50,50,0.111000000000004
"7",2018-07-17 12:15:37,0.01184645,103.914,2018-07-17 22:15:37,27.978,258.821,105.898,829,27.051,0.017,0.017,1413,50,50,0.119
"8",2018-07-17 12:15:44,0.0120455499999995,103.916,2018-07-17 22:15:44,27.987,258.983,105.982,829,27.033,0.018,0.017,1413,50,50,0.120999999999995
"9",2018-07-17 12:15:51,0.0107514000000004,103.903,2018-07-17 22:15:51,27.994,259.161,106.067,829,27.018,0.017,0.017,1413,50,50,0.108000000000004
"10",2018-07-17 12:15:57,0.0070680499999998,103.866,2018-07-17 22:15:57,28.009,259.187,106.107,829,26.993,0.017,0.017,1413,50,50,0.070999999999998
"11",2018-07-17 12:16:04,0.00836220000000032,103.879,2018-07-17 22:16:04,28.023,259.852,106.406,829,27.005,0.017,0.017,1413,50,50,0.0840000000000032
"12",2018-07-17 12:16:11,0.0132401499999996,103.928,2018-07-17 22:16:11,28.028,259.694,106.35,829,26.995,0.017,0.017,1413,50,50,0.132999999999996
"13",2018-07-17 12:16:18,0.0137379000000005,103.933,2018-07-17 22:16:18,28.035,259.607,106.328,829,27.01,0.018,0.017,1413,50,50,0.138000000000005
"14",2018-07-17 12:16:25,0.0145343000000001,103.941,2018-07-17 22:16:25,28.042,259.161,106.158,829,27.008,0.017,0.017,1413,50,50,0.146000000000001
"15",2018-07-17 12:16:32,0.01244375,103.92,2018-07-17 22:16:32,28.051,259.253,106.212,829,27.016,0.018,0.017,1413,50,50,0.125
"16",2018-07-17 12:16:38,0.0123441999999995,103.919,2018-07-17 22:16:38,28.052,259.822,106.448,829,27.016,0.017,0.017,1413,50,50,0.123999999999995
"17",2018-07-17 12:16:45,0.0167243999999992,103.963,2018-07-17 22:16:45,28.048,260.178,106.586,829,27.016,0.017,0.017,1413,50,50,0.167999999999992
"18",2018-07-17 12:16:52,0.01124915,103.908,2018-07-17 22:16:52,28.054,259.155,106.178,829,27.016,0.017,0.017,1413,50,50,0.113
"19",2018-07-17 12:16:59,0.0125433000000005,103.921,2018-07-17 22:16:59,28.069,259.271,106.254,829,27.028,0.017,0.017,1413,50,50,0.126000000000005
"20",2018-07-17 12:17:06,0.0146338499999991,103.942,2018-07-17 22:17:06,28.084,259.283,106.286,829,27.046,0.018,0.017,1413,50,50,0.146999999999991
"21",2018-07-17 12:17:12,0.0122446500000005,103.918,2018-07-17 22:17:12,28.093,259.437,106.367,829,27.07,0.017,0.017,1413,50,50,0.123000000000005
"22",2018-07-17 12:17:19,0.0129414999999995,103.925,2018-07-17 22:17:19,28.107,259.125,106.266,829,27.109,0.018,0.017,1413,50,50,0.129999999999995
"23",2018-07-17 12:17:26,0.0080635500000003,103.876,2018-07-17 22:17:26,28.115,259.329,106.364,829,27.122,0.018,0.017,1413,50,50,0.0810000000000031
"24",2018-07-17 12:17:33,0.00895950000000034,103.885,2018-07-17 22:17:33,28.115,259.553,106.456,829,27.132,0.018,0.017,1413,50,50,0.0900000000000034
"25",2018-07-17 12:17:40,0.0104527500000004,103.9,2018-07-17 22:17:40,28.116,259.839,106.576,829,27.145,0.018,0.017,1413,50,50,0.105000000000004
"26",2018-07-17 12:17:47,0.00786444999999935,103.874,2018-07-17 22:17:47,28.124,259.306,106.371,829,27.149,0.018,0.017,1413,54,700,0.0789999999999935
"27",2018-07-17 12:17:53,0.0110500500000004,103.906,2018-07-17 22:17:53,28.172,267.407,109.788,829,27.264,62.007,39.717,1413,256,491,0.111000000000004
"28",2018-07-17 12:18:00,0.112989250000001,104.93,2018-07-17 22:18:00,28.271,276.533,113.734,829,27.539,61.983,39.466,1413,242,724,1.13500000000001
"29",2018-07-17 12:18:07,0.179986399999999,105.603,2018-07-17 22:18:07,28.338,281.112,115.753,829,27.778,61.941,39.235,1413,261,755,1.80799999999999
"30",2018-07-17 12:18:14,0.4491696,108.307,2018-07-17 22:18:14,28.372,284.664,117.286,829,27.945,61.926,39.084,1413,280,745,4.512
"31",2018-07-17 12:18:21,0.581372,109.635,2018-07-17 22:18:21,28.389,287.628,118.543,829,28.065,61.913,38.976,1413,283,752,5.84
"32",2018-07-17 12:18:28,0.72104065,111.038,2018-07-17 22:18:28,28.396,289.538,119.345,829,28.162,61.929,38.906,1413,319,757,7.24299999999999
"33",2018-07-17 12:18:34,0.7362718,111.191,2018-07-17 22:18:34,28.405,291.373,120.121,829,28.215,61.973,38.895,1413,315,760,7.396
