"","ts","depth","p","dt","Toptode","O2Concentration","AirSaturation","SNoptode","Tec","Conductivity","Salinity","SNec","Chlorophyll","Turbidity","pW"
"1",2018-07-17 15:27:43,0.00985545000000037,103.834,2018-07-18 01:27:43,27.551,258.189,104.842,829,26.814,0.045,0.028,1413,58,766,0.0990000000000038
"2",2018-07-17 15:27:50,0.0154302500000001,103.89,2018-07-18 01:27:50,27.503,258.989,105.076,829,26.754,0.043,0.027,1413,50,50,0.155000000000001
"3",2018-07-17 15:27:57,0.0080635500000003,103.816,2018-07-18 01:27:57,27.458,258.799,104.914,829,26.668,0.042,0.026,1413,58,771,0.0810000000000031
"4",2018-07-17 15:28:04,0.0090590499999994,103.826,2018-07-18 01:28:04,27.418,259.171,104.99,829,26.591,0.04,0.026,1413,58,773,0.090999999999994
"5",2018-07-17 15:28:11,0.0114482499999995,103.85,2018-07-18 01:28:11,27.378,259.437,105.023,829,26.526,0.04,0.026,1413,59,773,0.114999999999995
"6",2018-07-17 15:28:18,0.0179190000000007,103.915,2018-07-18 01:28:18,27.349,259.006,104.795,829,26.458,0.041,0.026,1413,57,774,0.180000000000007
"7",2018-07-17 15:28:24,0.0174212499999997,103.91,2018-07-18 01:28:24,27.327,258.918,104.718,829,26.407,0.039,0.025,1413,57,775,0.174999999999997
"8",2018-07-17 15:28:31,0.0139370000000001,103.875,2018-07-18 01:28:31,27.305,258.939,104.686,829,26.371,0.04,0.026,1413,58,774,0.140000000000001
"9",2018-07-17 15:28:38,0.01363835,103.872,2018-07-18 01:28:38,27.294,257.999,104.285,829,26.339,0.04,0.026,1413,58,779,0.137
"10",2018-07-17 15:28:45,0.0140365500000005,103.876,2018-07-18 01:28:45,27.281,258.254,104.363,829,26.306,0.041,0.026,1413,59,775,0.141000000000005
"11",2018-07-17 15:28:52,0.0137379000000005,103.873,2018-07-18 01:28:52,27.269,258.514,104.446,829,26.301,0.041,0.026,1413,58,779,0.138000000000005
"12",2018-07-17 15:28:59,0.0123441999999995,103.859,2018-07-18 01:28:59,27.234,259.077,104.607,829,26.258,0.041,0.026,1413,57,779,0.123999999999995
