"","ts","depth","p","dt","Toptode","O2Concentration","AirSaturation","SNoptode","Tec","Conductivity","Salinity","SNec","Chlorophyll","Turbidity","pW"
"1",2018-07-19 05:50:09,0.00666985000000072,104.2,"2018-07-19T15:50:09.096096","24.68","258.203","99.513","829","24.709","0.012","0.015","1413","1501","4130",0.0670000000000073
"2",2018-07-19 05:50:15,0.00915859999999988,104.225,"2018-07-19T15:50:15.914784","24.684","258.688","99.707","829","24.71","0.013","0.015","1413","1489","4130",0.0919999999999987
"3",2018-07-19 05:50:22,0.0139370000000001,104.273,"2018-07-19T15:50:22.737791","24.658","259.715","100.056","829","24.709","0.012","0.015","1413","49","361",0.140000000000001
"4",2018-07-19 05:50:29,0.00885994999999986,104.222,"2018-07-19T15:50:29.559879","24.619","260.143","100.148","829","24.718","0.013","0.015","1413","49","374",0.0889999999999986
"5",2018-07-19 05:50:36,0.0113487000000004,104.247,"2018-07-19T15:50:36.376541","24.585","260.213","100.11","829","24.713","0.012","0.015","1413","49","375",0.114000000000004
"6",2018-07-19 05:50:43,0.00328515000000012,104.166,"2018-07-19T15:50:43.189668","24.554","260.66","100.225","829","24.72","0.013","0.015","1413","51","404",0.0330000000000013
"7",2018-07-19 05:50:50,0.00766534999999982,104.21,"2018-07-19T15:50:50.005837","24.522","261.115","100.34","829","24.733","0.012","0.015","1413","53","398",0.0769999999999982
"8",2018-07-19 05:50:56,0.0841197499999999,104.978,"2018-07-19T15:50:56.825798","24.779","278.241","107.434","829","24.827","61.15","41.242","1413","191","551",0.844999999999999
"9",2018-07-19 05:51:03,0.0647075000000006,104.783,"2018-07-19T15:51:03.702920","25.506","262.408","102.687","829","25.409","61.123","40.691","1413","271","597",0.650000000000006
"10",2018-07-19 05:51:10,0.111296900000001,105.251,"2018-07-19T15:51:10.533640","26.14","253.777","100.466","829","25.939","61.191","40.269","1413","272","559",1.11800000000001
"11",2018-07-19 05:51:17,0.124337950000001,105.382,"2018-07-19T15:51:17.357510","26.663","249.659","99.776","829","26.366","61.227","39.921","1413","275","553",1.24900000000001
"12",2018-07-19 05:51:24,0.1347907,105.487,"2018-07-19T15:51:24.187636","27.071","244.44","98.41","829","26.746","61.245","39.607","1413","268","553",1.354
"13",2018-07-19 05:51:31,0.15081825,105.648,"2018-07-19T15:51:31.014363","27.335","242.627","98.144","829","27.021","61.266","39.386","1413","273","551",1.515
"14",2018-07-19 05:51:37,0.138573600000001,105.525,"2018-07-19T15:51:37.843491","27.549","240.015","97.458","829","27.225","61.232","39.188","1413","266","561",1.39200000000001
"15",2018-07-19 05:51:44,0.161071900000001,105.751,"2018-07-19T15:51:44.672306","27.678","238.821","97.197","829","27.384","61.288","39.095","1413","277","555",1.61800000000001
"16",2018-07-19 05:51:51,0.161271,105.753,"2018-07-19T15:51:51.500185","27.77","237.523","96.827","829","27.513","61.284","38.984","1413","271","554",1.62
