"","ts","depth","p","dt","Toptode","O2Concentration","AirSaturation","SNoptode","Tec","Conductivity","Salinity","SNec","Chlorophyll","Turbidity","pW","station","SA","rho","Z","O2Comp","lat","lon"
"28","17.07.2018 10:28",1.76332915,121.89,"17.07.2018 20:28",27.911,254.545,104.026,829,27.996,61.081,38.439,1413,"639","911",17.713,1,38.62049056,1024.991799,1.762348078,205.517161422323,21.88778333,-159.5262
"29","17.07.2018 10:28",1.76611655,121.918,"17.07.2018 20:28",27.943,257.217,105.177,829,28.037,61.056,38.388,1413,"686","890",17.741,1,38.56924975,1024.939823,1.765132786,207.743523487499,21.88778333,-159.5262
"30","17.07.2018 10:28",1.7713927,121.971,"17.07.2018 20:28",27.956,258.794,105.846,829,28.062,61.062,38.372,1413,"635","880",17.794,1,38.5531742,1024.919509,1.770404026,209.039945935394,21.88778333,-159.5262
"31","17.07.2018 10:28",1.7863252,122.121,"17.07.2018 20:28",27.913,254.865,104.161,829,27.996,61.07,38.431,1413,"674","895",17.944,1,38.61245275,1024.985874,1.785322295,205.785464975826,21.88778333,-159.5262
"32","17.07.2018 10:29",1.923306,123.497,"17.07.2018 20:29",27.91,254.023,103.81,829,27.981,61.066,38.44,1413,"689","918",19.32,1,38.62149504,1024.998207,1.922168601,205.095306780942,21.88778333,-159.5262
"33","17.07.2018 10:42",0.0752598,104.887,"17.07.2018 20:42",27.795,264.811,107.999,829,27.212,61.267,39.225,1413,"362","885",0.756,2,39.41020425,1025.834704,0.07512344,212.822645950732,21.88765,-159.5269167
"34","17.07.2018 10:42",0.07655395,104.9,"17.07.2018 20:42",27.863,266.447,108.796,829,27.39,61.275,39.081,1413,"361","863",0.769,2,39.26552434,1025.667917,0.07641535,214.331752897029,21.88765,-159.5269167
"35","17.07.2018 10:43",0.13648305,105.502,"17.07.2018 20:43",27.923,268.332,109.683,829,27.526,61.274,38.966,1413,"364","854",1.371,2,39.14998127,1025.536874,0.136249409,216.006604444485,21.88765,-159.5269167
"36","17.07.2018 10:43",0.1634611,105.773,"17.07.2018 20:43",27.965,269.118,110.087,829,27.657,61.261,38.848,1413,"365","852",1.642,2,39.03142408,1025.404982,0.163188127,216.795764759059,21.88765,-159.5269167
"37","17.07.2018 10:43",0.17033005,105.842,"17.07.2018 20:43",27.993,270.092,110.541,829,27.749,61.264,38.774,1413,"400","851",1.711,2,38.95707467,1025.318934,0.170047792,217.679345538238,21.88765,-159.5269167
