"";"ts";"depth";"p";"dt";"Toptode";"O2Concentration";"AirSaturation";"SNoptode";"Tec";"Conductivity";"Salinity";"SNec";"Chlorophyll";"Turbidity";"pW";"station"
"35";"2018-07-17 10:29:43";1.71932805;121.448;2018-07-17 20:29:43;"27.891";"249.363";"101.871";"829";"27.958";"61.047";"38.446";"1413";"830";"2984";17.271;1
"36";"2018-07-17 10:29:49";0.975191799999999;113.973;2018-07-17 20:29:49;"27.893";"251.136";"102.6";"829";"27.949";"61.175";"38.545";"1413";"529";"900";9.79599999999999;1
"37";"2018-07-17 10:29:56";1.14970295;115.726;2018-07-17 20:29:56;"27.907";"254.055";"103.818";"829";"27.97";"61.168";"38.522";"1413";"545";"924";11.549;1
"38";"2018-07-17 10:30:03";0.251363749999999;106.702;2018-07-17 20:30:03;"27.93";"258.097";"105.513";"829";"27.985";"61.324";"38.622";"1413";"415";"895";2.52499999999999;1
"39";"2018-07-17 10:42:46";0.0752598;104.887;2018-07-17 20:42:46;"27.795";"264.811";"107.999";"829";"27.212";"61.267";"39.225";"1413";"362";"885";0.756;2
"40";"2018-07-17 10:42:53";0.0765539500000005;104.9;2018-07-17 20:42:53;"27.863";"266.447";"108.796";"829";"27.39";"61.275";"39.081";"1413";"361";"863";0.769000000000005;2
"41";"2018-07-17 10:43:00";0.136483049999999;105.502;2018-07-17 20:43:00;"27.923";"268.332";"109.683";"829";"27.526";"61.274";"38.966";"1413";"364";"854";1.371;2
"42";"2018-07-17 10:43:07";0.1634611;105.773;2018-07-17 20:43:07;"27.965";"269.118";"110.087";"829";"27.657";"61.261";"38.848";"1413";"365";"852";1.642;2
"43";"2018-07-17 10:43:14";0.17033005;105.842;2018-07-17 20:43:14;"27.993";"270.092";"110.541";"829";"27.749";"61.264";"38.774";"1413";"400";"851";1.711;2
"44";"2018-07-17 10:43:21";0.63204295;110.48;2018-07-17 20:43:21;"28.013";"271.016";"110.957";"829";"27.826";"61.247";"38.698";"1413";"412";"870";6.349;2
"45";"2018-07-17 10:43:27";0.708895549999999;111.252;2018-07-17 20:43:27;"28.02";"273.269";"111.893";"829";"27.873";"61.245";"38.657";"1413";"454";"863";7.121;2
"46";"2018-07-17 10:43:34";0.721239750000001;111.376;2018-07-17 20:43:34;"28.025";"274.245";"112.302";"829";"27.931";"61.244";"38.609";"1413";"459";"861";7.245;2
"47";"2018-07-17 10:43:41";0.734977649999999;111.514;2018-07-17 20:43:41;"28.029";"274.725";"112.507";"829";"27.939";"61.251";"38.608";"1413";"451";"855";7.383;2
"48";"2018-07-17 10:43:48";1.2316326;116.503;2018-07-17 20:43:48;"28.031";"275.638";"112.886";"829";"27.977";"61.24";"38.569";"1413";"465";"860";12.372;2
"49";"2018-07-17 10:43:55";1.15726875;115.756;2018-07-17 20:43:55;"28.029";"276.575";"113.265";"829";"27.985";"61.23";"38.555";"1413";"504";"858";11.625;2
"50";"2018-07-17 10:44:02";0.95558045;113.73;2018-07-17 20:44:02;"28.025";"278.231";"113.936";"829";"27.988";"61.245";"38.563";"1413";"461";"857";9.599;2
"51";"2018-07-17 10:44:08";1.17538685;115.938;2018-07-17 20:44:08;"28.022";"279.731";"114.543";"829";"28.004";"61.248";"38.551";"1413";"508";"855";11.807;2
"52";"2018-07-17 10:44:15";1.2330263;116.517;2018-07-17 20:44:15;"28.021";"280.125";"114.702";"829";"27.993";"61.243";"38.557";"1413";"550";"854";12.386;2
"53";"2018-07-17 10:44:22";1.4100262;118.295;2018-07-17 20:44:22;"28.018";"279.786";"114.557";"829";"27.995";"61.09";"38.447";"1413";"570";"867";14.164;2
