"","ts","depth","p","dt","Toptode","O2Concentration","AirSaturation","SNoptode","Tec","Conductivity","Salinity","SNec","Chlorophyll","Turbidity","pW"
"1",2018-07-17 16:31:50,0.00258829999999963,103.773,2018-07-18 02:31:50,26.59,259.315,103.498,829,25.14,0.011,0.014,1413,47,443,0.0259999999999962
"2",2018-07-17 16:31:56,0.00895950000000034,103.837,2018-07-18 02:31:56,26.576,259.788,103.661,829,25.119,0.012,0.015,1413,50,441,0.0900000000000034
"3",2018-07-17 16:32:03,0.00617209999999976,103.809,2018-07-18 02:32:03,26.565,259.918,103.693,829,25.114,0.011,0.014,1413,50,440,0.0619999999999976
"4",2018-07-17 16:32:10,0,103.747,2018-07-18 02:32:10,26.555,259.783,103.62,829,25.095,0.012,0.015,1413,50,435,0
"5",2018-07-17 16:32:17,0.00318559999999965,103.779,2018-07-18 02:32:17,26.543,260.347,103.821,829,25.087,0.011,0.014,1413,50,433,0.0319999999999965
"6",2018-07-17 16:32:24,0.00278740000000058,103.775,2018-07-18 02:32:24,26.528,260.45,103.835,829,25.056,0.012,0.015,1413,49,432,0.0280000000000058
"7",2018-07-17 16:32:31,0.00328515000000012,103.78,2018-07-18 02:32:31,26.517,260.322,103.763,829,25.03,0.011,0.014,1413,50,431,0.0330000000000013
"8",2018-07-17 16:32:37,0.00617209999999976,103.809,2018-07-18 02:32:37,26.507,260.458,103.799,829,25.012,0.012,0.015,1413,49,432,0.0619999999999976
"9",2018-07-17 16:32:44,0.00766534999999982,103.824,2018-07-18 02:32:44,26.498,260.498,103.798,829,25.001,0.011,0.014,1413,49,434,0.0769999999999982
"10",2018-07-17 16:32:51,0.00159280000000053,103.763,2018-07-18 02:32:51,26.489,259.999,103.582,829,25,0.012,0.015,1413,49,431,0.0160000000000053
"11",2018-07-17 16:32:58,0.00348424999999966,103.782,2018-07-18 02:32:58,26.483,259.412,103.337,829,24.996,0.011,0.014,1413,49,439,0.0349999999999966
"12",2018-07-17 16:33:05,0.00149325000000006,103.762,2018-07-18 02:33:05,26.473,259.728,103.444,829,25.003,0.012,0.015,1413,47,440,0.0150000000000006
"13",2018-07-17 16:33:12,0.000199099999999536,103.749,2018-07-18 02:33:12,26.463,260.346,103.672,829,24.991,0.012,0.015,1413,50,282,0.00199999999999534
"14",2018-07-17 16:33:18,0.12334245,104.986,2018-07-18 02:33:18,26.862,287.964,115.499,829,25.398,62.322,41.609,1413,327,645,1.239
"15",2018-07-17 16:33:25,0.20835815,105.84,2018-07-18 02:33:25,27.303,292.45,118.229,829,26.102,62.268,40.929,1413,353,657,2.093
"16",2018-07-17 16:33:32,0.2956635,106.717,2018-07-18 02:33:32,27.712,301.452,122.761,829,26.654,62.453,40.574,1413,363,664,2.97
"17",2018-07-17 16:33:39,0.6397083,110.173,2018-07-18 02:33:39,28.069,309.87,126.991,829,27.199,62.447,40.094,1413,393,667,6.426
"18",2018-07-17 16:33:46,0.6399074,110.175,2018-07-18 02:33:46,28.315,315.459,129.844,829,27.608,62.472,39.761,1413,373,670,6.428
"19",2018-07-17 16:33:53,0.62507445,110.026,2018-07-18 02:33:53,28.495,319.121,131.769,829,27.937,62.474,39.484,1413,360,673,6.279
"20",2018-07-17 16:33:59,0.6046667,109.821,2018-07-18 02:33:59,28.621,321.408,133.007,829,28.147,62.492,39.32,1413,368,673,6.074
"21",2018-07-17 16:34:06,0.545334899999999,109.225,2018-07-18 02:34:06,28.719,324.914,134.689,829,28.343,62.507,39.168,1413,379,673,5.47799999999999
"22",2018-07-17 16:34:13,0.57748955,109.548,2018-07-18 02:34:13,28.78,327.72,135.999,829,28.463,62.495,39.06,1413,371,673,5.801
"23",2018-07-17 16:34:20,1.08519455,114.648,2018-07-18 02:34:20,28.825,329.025,136.647,829,28.56,62.536,39.009,1413,387,673,10.901
"24",2018-07-17 16:34:27,1.10789195,114.876,2018-07-18 02:34:27,28.849,330.516,137.325,829,28.627,62.498,38.926,1413,402,676,11.129
"25",2018-07-17 16:34:34,1.15906065,115.39,2018-07-18 02:34:34,28.867,330.86,137.511,829,28.677,62.498,38.886,1413,405,672,11.643
"26",2018-07-17 16:34:41,1.2023649,115.825,2018-07-18 02:34:41,28.879,331.536,137.821,829,28.713,62.475,38.84,1413,419,675,12.078
"27",2018-07-17 16:34:47,1.18753195,115.676,2018-07-18 02:34:47,28.885,331.075,137.645,829,28.743,62.49,38.826,1413,415,674,11.929
"28",2018-07-17 16:34:54,1.6113163,119.933,2018-07-18 02:34:54,28.89,331.663,137.901,829,28.767,62.494,38.809,1413,428,674,16.186
"29",2018-07-17 16:35:01,1.64367005,120.258,2018-07-18 02:35:01,28.894,331.162,137.703,829,28.79,62.486,38.784,1413,435,676,16.511
"30",2018-07-17 16:35:08,1.66736295,120.496,2018-07-18 02:35:08,28.898,331.826,137.987,829,28.81,62.502,38.779,1413,429,680,16.749
"31",2018-07-17 16:35:15,1.58473645,119.666,2018-07-18 02:35:15,28.902,331.455,137.843,829,28.815,62.508,38.779,1413,429,678,15.919
"32",2018-07-17 16:35:22,1.6360047,120.181,2018-07-18 02:35:22,28.908,331.596,137.915,829,28.83,62.513,38.771,1413,413,677,16.434
"33",2018-07-17 16:35:28,1.9195231,123.029,2018-07-18 02:35:28,28.912,331.762,137.995,829,28.85,62.481,38.732,1413,434,676,19.282
"34",2018-07-17 16:35:35,2.1437097,125.281,2018-07-18 02:35:35,28.911,330.907,137.637,829,28.858,62.443,38.699,1413,459,677,21.534
"35",2018-07-17 16:35:42,2.5036825,128.897,2018-07-18 02:35:42,28.893,327.845,136.321,829,28.85,62.25,38.57,1413,487,676,25.15
"36",2018-07-17 16:35:51,2.626129,130.127,2018-07-18 02:35:51,28.845,326.671,135.717,829,28.81,62.31,38.644,1413,493,671,26.38
"37",2018-07-17 16:36:01,2.5638107,129.501,2018-07-18 02:36:01,28.821,329.199,136.71,829,28.764,62.352,38.711,1413,476,672,25.754
"38",2018-07-17 16:36:08,2.93264345,133.206,2018-07-18 02:36:08,28.791,324.019,134.489,829,28.762,61.845,38.356,1413,553,674,29.459
"39",2018-07-17 16:36:15,2.85240615,132.4,2018-07-18 02:36:15,28.685,322.464,133.596,829,28.659,61.556,38.237,1413,558,682,28.653
"40",2018-07-17 16:36:22,3.05867375,134.472,2018-07-18 02:36:22,28.537,323.057,133.492,829,28.532,61.472,38.28,1413,560,686,30.725
"41",2018-07-17 16:36:28,3.094014,134.827,2018-07-18 02:36:28,28.387,320.376,132.036,829,28.413,61.421,38.34,1413,556,685,31.08
"42",2018-07-17 16:36:35,3.4197416,138.099,2018-07-18 02:36:35,28.271,316.694,130.25,829,28.331,61.407,38.397,1413,579,679,34.352
"43",2018-07-17 16:36:42,3.6469147,140.381,2018-07-18 02:36:42,28.191,314.854,129.312,829,28.226,61.401,38.479,1413,604,679,36.634
"44",2018-07-17 16:36:49,3.9708504,143.635,2018-07-18 02:36:49,28.127,310.193,127.254,829,28.172,61.405,38.526,1413,592,679,39.888
"45",2018-07-17 16:36:56,3.9105231,143.029,2018-07-18 02:36:56,28.074,304.022,124.606,829,28.132,61.452,38.592,1413,687,694,39.282
"46",2018-07-17 16:37:03,4.3083249,147.025,2018-07-18 02:37:03,28.028,286.272,117.234,829,28.093,61.527,38.677,1413,647,690,43.278
"47",2018-07-17 16:37:09,4.38667075,147.812,2018-07-18 02:37:09,27.978,257.972,105.551,829,28.039,61.522,38.718,1413,673,691,44.065
"48",2018-07-17 16:37:16,4.4224092,148.171,2018-07-18 02:37:16,27.935,244.738,100.06,829,27.986,61.502,38.747,1413,613,691,44.424
"49",2018-07-17 16:37:23,4.39025455,147.848,2018-07-18 02:37:23,27.902,228.561,93.392,829,27.954,61.48,38.759,1413,627,690,44.101
"50",2018-07-17 16:37:30,4.45058185,148.454,2018-07-18 02:37:30,27.846,197.87,80.771,829,27.898,61.458,38.789,1413,595,692,44.707
"51",2018-07-17 16:37:37,4.67616215,150.72,2018-07-18 02:37:37,27.795,168.471,68.707,829,27.84,61.428,38.815,1413,583,707,46.973
"52",2018-07-17 16:37:44,4.6890041,150.849,2018-07-18 02:37:44,27.745,144.643,58.938,829,27.791,61.39,38.829,1413,629,713,47.102
"53",2018-07-17 16:37:51,4.96007875,153.572,2018-07-18 02:37:51,27.697,109.008,44.38,829,27.754,61.358,38.837,1413,598,743,49.825
"54",2018-07-17 16:37:57,4.9253358,153.223,2018-07-18 02:37:57,27.65,81.086,32.984,829,27.708,61.374,38.887,1413,631,771,49.476
"55",2018-07-17 16:38:04,4.97540945,153.726,2018-07-18 02:38:04,27.615,70.388,28.615,829,27.67,60.706,38.439,1413,390,3723,49.979
"56",2018-07-17 16:38:11,4.9780973,153.753,2018-07-18 02:38:11,27.595,63.497,25.804,829,27.644,60.127,38.045,1413,430,3879,50.006
"57",2018-07-17 16:38:18,4.91946235,153.164,2018-07-18 02:38:18,27.579,57.326,23.29,829,27.636,61.162,38.794,1413,75,858,49.417
"58",2018-07-17 16:38:25,4.7782009,151.745,2018-07-18 02:38:25,27.564,47.656,19.356,829,27.623,61.537,39.075,1413,95,1621,47.998
"59",2018-07-17 16:38:32,2.7706756,131.579,2018-07-18 02:38:32,27.659,111.463,45.348,829,27.67,62.133,39.464,1413,553,741,27.832
"60",2018-07-17 16:38:39,1.7930946,121.759,2018-07-18 02:38:39,27.919,185.249,75.717,829,27.86,62.438,39.522,1413,433,667,18.012
"61",2018-07-17 16:38:45,1.31834065,116.99,2018-07-18 02:38:45,28.194,228.575,93.882,829,28.103,62.514,39.373,1413,426,671,13.243
"62",2018-07-17 16:38:52,0.436825400000001,108.135,2018-07-18 02:38:52,28.463,268.883,110.963,829,28.343,0.583,0.264,1413,335,676,4.38800000000001
"63",2018-07-17 16:38:59,0.0128419500000005,103.876,2018-07-18 02:38:59,28.463,254.807,105.153,829,28.397,0.256,0.117,1413,51,240,0.129000000000005
"64",2018-07-17 16:39:06,0.0131406000000005,103.879,2018-07-18 02:39:06,28.393,254.9,105.061,829,28.339,0.211,0.097,1413,53,472,0.132000000000005
