"","ts","depth","p","dt","Toptode","O2Concentration","AirSaturation","SNoptode","Tec","Conductivity","Salinity","SNec","Chlorophyll","Turbidity","pW"
"1",2018-07-17 11:20:16,0.00676939999999978,104.12,2018-07-17 21:20:16,27.868,260.747,106.479,829,26.943,0.018,0.017,1413,50,273,0.0679999999999978
"2",2018-07-17 11:20:23,0.0298649999999997,104.352,2018-07-17 21:20:23,27.887,261.129,106.67,829,26.971,61.314,39.464,1413,103,192,0.299999999999997
"3",2018-07-17 11:20:30,0.102536499999999,105.082,2018-07-17 21:20:30,27.933,265.431,108.517,829,27.163,61.349,39.326,1413,275,762,1.02999999999999
"4",2018-07-17 11:20:36,0.120057299999999,105.258,2018-07-17 21:20:36,27.969,268.287,109.755,829,27.381,61.361,39.151,1413,274,758,1.20599999999999
"5",2018-07-17 11:20:43,0.111794649999999,105.175,2018-07-17 21:20:43,27.992,270.306,110.625,829,27.546,61.376,39.023,1413,270,760,1.12299999999999
"6",2018-07-17 11:20:50,0.575996299999999,109.838,2018-07-17 21:20:50,28.007,273.148,111.818,829,27.668,61.396,38.935,1413,273,751,5.78599999999999
"7",2018-07-17 11:20:57,0.51576855,109.233,2018-07-17 21:20:57,28.016,274.636,112.446,829,27.752,61.393,38.864,1413,294,748,5.181
"8",2018-07-17 11:21:04,0.560964249999999,109.687,2018-07-17 21:21:04,28.025,275.376,112.767,829,27.827,61.399,38.805,1413,294,747,5.63499999999999
"9",2018-07-17 11:21:10,0.8111334,112.2,2018-07-17 21:21:10,28.033,276.331,113.173,829,27.881,61.405,38.765,1413,282,752,8.148
"10",2018-07-17 11:21:17,0.96553545,113.751,2018-07-17 21:21:17,28.038,277.91,113.829,829,27.927,61.401,38.724,1413,290,707,9.699
"11",2018-07-17 11:21:24,0.887786899999999,112.97,2018-07-17 21:21:24,28.037,279.326,114.408,829,27.937,61.385,38.704,1413,50,50,8.91799999999999
"12",2018-07-17 11:21:31,1.00973565,114.195,2018-07-17 21:21:31,28.037,279.37,114.426,829,27.968,61.38,38.675,1413,50,50,10.143
"13",2018-07-17 11:21:38,1.316051,117.272,2018-07-17 21:21:38,28.037,279.387,114.434,829,27.993,61.38,38.655,1413,309,749,13.22
