alx,b,Deg.C,depth_m,dt,g,kPa,r,w,wlx,ts
2117.5,917.4,22.144,0,2016-11-03T07:17:24.368197,1471.1,103.784,1313.5,3991.6,4275.2,1550775640.13190
2074.7,883.9,22.133,0.00447975,2016-11-03T07:17:25.812594,1405.4,103.829,1247.8,3821.3,4125.5,1550775641.57628
1953.4,842.9,22.128,0.00089595,2016-11-03T07:17:27.213516,1345,103.793,1186.9,3648.1,3838,1550775642.97721
3642.2,1477.6,22.125,0.00209055,2016-11-03T07:17:28.609957,2591,103.805,2458.4,6506.9,7544.5,1550775644.37365
2956.7,1239,22.126,0.0033847,2016-11-03T07:17:30.015776,2148.8,103.818,2004.1,5527.9,4240.8,1550775645.77947
2445.5,843.4,22.123,0,2016-11-03T07:17:31.431224,1349.8,103.783,1185.2,3618.2,4326.8,1550775647.19492
1707,749,22.116,0.00228965,2016-11-03T07:17:32.830348,1170.1,103.806,1010,3158.1,3247.3,1550775648.59404
1547,696.4,22.111,0.0033847,2016-11-03T07:17:34.227867,1061.8,103.817,892.7,2820.8,2858.2,1550775649.99155
1643.2,726.1,22.099,0.0023892,2016-11-03T07:17:35.625495,1118.2,103.807,951.1,2986.4,3057.9,1550775651.38919
1627.9,728.4,22.094,0.0023892,2016-11-03T07:17:37.026344,1125.8,103.807,957.1,3001.3,3079.2,1550775652.79003
1755.5,1102.1,22.085,0,2016-11-03T07:17:38.421338,1901.4,103.764,1737.3,4917.3,4559.1,1550775654.18503
4172.1,1611,22.09,0.00388245,2016-11-03T07:17:39.821212,2833.2,103.803,2655.5,6869.4,8351.9,1550775655.58490
3678.4,1478.6,22.097,0.00209055,2016-11-03T07:17:41.221571,2566.1,103.785,2395.5,6372.3,7634.5,1550775656.98526
5509.4,2088.2,22.105,0,2016-11-03T07:17:42.622883,3733.7,103.759,3565.6,8444.6,11317.5,1550775658.38657
5565.5,2085.2,22.115,0.00348425,2016-11-03T07:17:44.030154,3662.2,103.794,3473.9,8314.8,11232.5,1550775659.79385
5399.9,2078.6,22.12,0.00567435,2016-11-03T07:17:45.431174,3600.8,103.816,3392.1,8217.1,11025,1550775661.19486
5875.7,2195.9,22.127,0.00248875,2016-11-03T07:17:46.832526,3825.8,103.784,3612.9,8565.9,11881,1550775662.59621
6298.3,2307.9,22.134,0.00328515,2016-11-03T07:17:48.235636,4091.6,103.792,3835.9,8904.2,12838.8,1550775663.99932
8293,3076.8,22.149,0.0065703,2016-11-03T07:17:49.637629,5355.5,103.825,5099,10681.8,17638.7,1550775665.40131
8234.2,2788.6,22.166,0,2016-11-03T07:17:51.045979,4903.2,103.759,4637.5,10036.5,16905.4,1550775666.80967
2267.2,960.9,22.165,0.00527615,2016-11-03T07:17:52.449647,1571.7,103.812,1400.1,4173.9,4561.6,1550775668.21333
2146.9,906.6,22.149,0.0035838,2016-11-03T07:17:53.853454,1448.4,103.795,1294.6,3968,4287.5,1550775669.61715
2183.1,923.2,22.141,0.00627165,2016-11-03T07:17:55.255458,1478.1,103.822,1327.9,4059.3,4405.7,1550775671.01915
2303.6,968.7,22.133,0.0081631,2016-11-03T07:17:56.657737,1579.5,103.841,1427.3,4300.2,4688.3,1550775672.42142
2424.8,1001.9,22.132,0.003982,2016-11-03T07:17:58.063927,1622.6,103.799,1473.1,4450.7,4958.2,1550775673.82761
2276.3,946.1,22.121,0.00328515,2016-11-03T07:17:59.465237,1525.4,103.792,1379.5,4199.5,4616.2,1550775675.22893
1993.8,860.5,22.119,0.00527615,2016-11-03T07:18:00.874308,1359.1,103.812,1213.9,3768.9,4049.7,1550775676.63800
1996,898.7,22.111,0.00029865,2016-11-03T07:18:02.272205,1435.8,103.762,1263.2,3860,4096.2,1550775678.03590
1733.4,778.7,22.103,0.0097559,2016-11-03T07:18:03.668712,1200,103.857,1037.2,3260.3,3337.8,1550775679.43241
2374.4,974.5,22.081,0.0043802,2016-11-03T07:18:09.910788,1597.4,103.849,1386.8,4139.1,4571.5,1550775685.67448
2135.6,914.6,22.08,0,2016-11-03T07:18:11.308253,1477.4,103.787,1272.7,3857.2,4186.8,1550775687.07195
1676.2,765.4,22.075,0,2016-11-03T07:18:12.707047,1182.6,103.787,1020.8,3229.3,3268.7,1550775688.47073
