p_int,rh_int,t_int,ts
105.809,12.62,25.822,1550774169.9951708
105.815,12.59,25.86,1550774180.6094718
105.821,12.55,25.888,1550774191.1294985
105.826,12.52,25.929,1550774201.665877
105.83,12.49,25.961,1550774212.2005396
105.841,12.48,25.987,1550774222.7359273
105.846,12.45,26.014,1550774233.2846484
105.852,12.43,26.032,1550774243.8183618
105.857,12.4,26.056,1550774254.351173
105.86,12.38,26.08,1550774264.882312
105.866,12.36,26.097,1550774275.3950138
105.871,12.34,26.122,1550774285.9173179
105.877,12.32,26.145,1550774296.4514892
105.884,12.3,26.163,1550774306.9605393
105.888,12.28,26.191,1550774317.4931395
105.891,12.27,26.201,1550774327.9890392
105.898,12.25,26.223,1550774338.479273
105.906,12.23,26.26,1550774349.014715
105.907,12.22,26.266,1550774359.5239043
105.914,12.2,26.303,1550774370.0686297
105.92,12.18,26.312,1550774380.570486
105.925,12.17,26.333,1550774391.0941186
105.925,12.15,26.368,1550774401.6263936
105.935,12.14,26.38,1550774412.1378813
105.94,12.12,26.413,1550774422.6669447
105.942,12.11,26.42,1550774433.1915214
105.947,12.09,26.442,1550774443.7043738
105.949,12.07,26.456,1550774454.2200768
105.955,12.07,26.478,1550774464.764229
105.961,12.05,26.503,1550774475.267819
105.925,12.31,24.366,1550775726.8642693
105.933,12.32,24.402,1550775737.4011173
105.933,12.3,24.442,1550775747.9000735
105.944,12.31,24.482,1550775758.43303
105.949,12.31,24.514,1550775768.9617355
105.954,12.31,24.544,1550775779.4826252
105.965,12.31,24.591,1550775790.0229297
105.972,12.32,24.619,1550775800.5641232
105.975,12.32,24.656,1550775811.1033113
105.985,12.32,24.695,1550775821.6342847
105.994,12.33,24.726,1550775832.1616685
105.999,12.33,24.754,1550775842.7290037
106.003,12.33,24.779,1550775853.2754533
106.01,12.33,24.822,1550775863.8035898
106.017,12.33,24.858,1550775874.2945752
106.026,12.33,24.906,1550775884.8118296
106.032,12.34,24.941,1550775895.3434393
106.042,12.33,24.977,1550775905.892596
106.046,12.34,25.025,1550775916.4324105
106.053,12.34,25.064,1550775926.9835155
106.057,12.33,25.09,1550775937.4904332
106.069,12.33,25.145,1550775948.0265877
106.075,12.33,25.189,1550775958.5576837
106.08,12.33,25.212,1550775969.0660906
106.086,12.33,25.256,1550775979.5865662
106.09,12.32,25.291,1550775990.103299
106.096,12.33,25.326,1550776000.6114583
106.103,12.32,25.374,1550776011.148121
106.108,12.32,25.416,1550776021.6806831
106.115,12.31,25.458,1550776032.211388
106.118,12.31,25.48,1550776042.7079597
106.126,12.31,25.523,1550776053.248826
106.132,12.27,25.578,1550776063.7749252
106.135,12.25,25.616,1550776074.3025138
106.143,12.25,25.648,1550776084.8223891
106.145,12.24,25.686,1550776095.3593116
106.147,12.24,25.717,1550776105.8927207
106.156,12.23,25.755,1550776116.424343
106.164,12.23,25.793,1550776126.9208717
106.166,12.22,25.823,1550776137.4325364
106.176,12.21,25.878,1550776147.9637947
106.177,12.21,25.899,1550776158.492664
106.183,12.21,25.939,1550776169.034467
106.186,12.19,25.976,1550776179.53615
106.192,12.19,26.014,1550776190.0676057
106.193,12.18,26.049,1550776200.6106071
106.199,12.18,26.086,1550776211.131976
106.209,12.17,26.132,1550776221.6787636
106.211,12.15,26.15,1550776232.1904504
106.215,12.15,26.189,1550776242.719335
106.225,12.13,26.232,1550776253.2481587
106.225,12.13,26.257,1550776263.7795541
106.234,12.11,26.289,1550776274.301906
106.237,12.1,26.314,1550776284.8200576
106.244,12.09,26.349,1550776295.3328497
106.246,12.07,26.383,1550776305.8522568
106.251,12.06,26.421,1550776316.346616
106.253,12.05,26.453,1550776326.876614
106.263,12.04,26.494,1550776337.432283
106.265,12.04,26.522,1550776347.9233527
106.27,12.02,26.554,1550776358.4595165
106.275,12.01,26.595,1550776368.9978077
106.278,12.0,26.615,1550776379.5054832
106.28,11.99,26.642,1550776390.0288255
106.29,11.98,26.673,1550776400.536909
106.288,11.97,26.705,1550776411.0425975
106.295,11.96,26.733,1550776421.5714185
106.297,11.95,26.763,1550776432.0882795
106.304,11.93,26.803,1550776442.6689901
106.313,11.92,26.854,1550776453.207512
106.313,11.91,26.871,1550776463.7177176
106.316,11.9,26.897,1550776474.2464685
106.32,11.89,26.921,1550776484.7743163
106.325,11.87,26.956,1550776495.2666283
106.328,11.86,26.976,1550776505.78246
106.333,11.85,27.006,1550776516.2949858
106.335,11.84,27.032,1550776526.827373
106.34,11.83,27.053,1550776537.3561044
106.343,11.82,27.084,1550776547.8900876
106.343,11.8,27.106,1550776558.4081128
106.352,11.79,27.137,1550776568.9363813
106.352,11.79,27.158,1550776579.447488
106.357,11.78,27.178,1550776589.9799113
106.363,11.76,27.214,1550776600.4913135
106.362,11.75,27.236,1550776611.0068727
106.369,11.74,27.259,1550776621.533684
106.372,11.72,27.299,1550776632.07231
106.374,11.72,27.312,1550776642.6007028
106.38,11.7,27.336,1550776653.1285946
106.379,11.69,27.357,1550776663.6553714
106.383,11.68,27.392,1550776674.1434891
106.388,11.67,27.409,1550776684.662289
106.392,11.66,27.435,1550776695.169772
106.392,11.65,27.446,1550776705.6962574
106.398,11.64,27.47,1550776716.2282693
106.4,11.63,27.502,1550776726.7676759
106.404,11.62,27.528,1550776737.300005
106.407,11.61,27.547,1550776747.820678
106.41,11.6,27.568,1550776758.329487
106.41,11.59,27.589,1550776768.844586
106.417,11.57,27.611,1550776779.3476841
106.419,11.56,27.633,1550776789.8266394
106.421,11.54,27.657,1550776800.3208303
106.421,11.54,27.669,1550776810.8148012
106.427,11.53,27.679,1550776821.3424523
106.432,11.52,27.705,1550776831.877684
106.433,11.51,27.728,1550776842.3960834
106.438,11.5,27.764,1550776852.9129183
106.439,11.49,27.782,1550776863.43464
106.443,11.48,27.805,1550776873.9466968
106.45,11.47,27.826,1550776884.4397058
106.448,11.46,27.834,1550776894.9633317
106.449,11.45,27.86,1550776905.4953496
106.456,11.44,27.879,1550776916.0116906
106.454,11.44,27.9,1550776926.5340197
106.456,11.42,27.924,1550776937.0473735
106.459,11.42,27.936,1550776947.575991
106.462,11.4,27.95,1550776958.1095965
106.466,11.39,27.983,1550776968.6033652
106.468,11.38,27.992,1550776979.1201415
106.475,11.37,28.005,1550776989.6584644
106.474,11.36,28.02,1550777000.1909256
106.477,11.35,28.034,1550777010.7187738
106.481,11.34,28.056,1550777021.236886
106.482,11.32,28.081,1550777031.7506423
106.483,11.32,28.103,1550777042.299177
106.489,11.3,28.118,1550777052.8290222
106.49,11.28,28.132,1550777063.3513052
106.49,11.27,28.151,1550777073.8642573
106.492,11.27,28.16,1550777084.403862
106.499,11.25,28.178,1550777094.9496078
106.497,11.24,28.198,1550777105.4721525
106.502,11.22,28.229,1550777116.0205994
106.501,11.15,28.246,1550777126.5495517
106.504,11.15,28.268,1550777137.057061
106.505,11.14,28.284,1550777147.5887258
106.506,11.14,28.296,1550777158.113053
106.509,11.13,28.317,1550777168.6223505
106.51,11.12,28.336,1550777179.1066146
106.513,11.12,28.34,1550777189.6425788
106.518,11.11,28.353,1550777200.1714802
106.521,11.1,28.366,1550777210.7038946
106.523,11.09,28.378,1550777221.25123
106.53,11.09,28.415,1550777231.7904499
106.532,11.09,28.423,1550777242.2977645
106.536,11.07,28.438,1550777252.816071
106.542,11.06,28.458,1550777263.3153696
106.545,11.05,28.467,1550777273.8204396
106.548,11.05,28.478,1550777284.3605149
106.555,11.04,28.492,1550777294.8915582
106.557,11.03,28.513,1550777305.4194694
106.564,11.03,28.544,1550777315.9142387
106.57,11.02,28.562,1550777326.4145567
106.572,11.01,28.57,1550777336.9209745
106.577,11.01,28.581,1550777347.4277773
106.587,10.99,28.603,1550777357.9313433
106.59,10.99,28.616,1550777368.4663174
106.595,10.98,28.625,1550777378.997771
106.599,10.97,28.639,1550777389.5217257
106.608,10.97,28.655,1550777400.0561373
106.613,10.97,28.673,1550777410.5655668
106.622,10.96,28.682,1550777421.1040666
106.628,10.99,28.713,1550777431.6145477
106.634,10.99,28.75,1550777442.1377587
106.64,11.04,28.756,1550777452.668775
106.642,11.19,28.767,1550777463.203319
106.706,11.2,28.733,1550777473.7467473
106.712,11.2,28.71,1550777484.2393742
106.722,11.18,28.67,1550777494.746561
106.719,11.16,28.652,1550777505.2623942
106.734,11.15,28.639,1550777515.7621684
106.739,11.12,28.624,1550777526.3062735
106.75,11.11,28.598,1550777536.8522615
106.758,11.09,28.583,1550777547.3689954
106.773,11.08,28.575,1550777557.8913846
106.782,11.07,28.563,1550777568.408257
106.794,11.05,28.544,1550777578.9367957
106.801,11.04,28.543,1550777589.470764
106.815,11.03,28.55,1550777599.9642754
106.822,11.02,28.545,1550777610.5121315
106.834,11.02,28.542,1550777621.0557086
106.84,11.0,28.529,1550777631.5793302
106.852,11.0,28.525,1550777642.0985098
106.861,11.0,28.532,1550777652.6467285
106.872,10.99,28.544,1550777663.1432564
106.883,10.99,28.534,1550777673.634446
106.892,10.99,28.518,1550777684.167341
106.902,10.99,28.523,1550777694.680901
106.913,10.99,28.519,1550777705.2046304
106.924,10.99,28.527,1550777715.7653494
106.929,10.99,28.535,1550777726.260951
106.936,10.98,28.523,1550777736.789659
106.956,10.99,28.531,1550777747.3038838
106.956,10.99,28.538,1550777757.8242729
106.964,11.0,28.547,1550777768.3179436
106.971,11.0,28.538,1550777778.8336544
106.977,11.0,28.537,1550777789.3648765
106.982,11.01,28.547,1550777799.8833466
106.992,11.01,28.547,1550777810.4246233
106.999,11.01,28.556,1550777820.9564893
107.004,11.01,28.572,1550777831.4878168
107.018,11.02,28.576,1550777841.9899213
107.014,11.02,28.574,1550777852.5143542
107.026,11.03,28.581,1550777863.0439415
107.024,11.03,28.59,1550777873.5568964
107.033,11.04,28.585,1550777884.084504
107.041,11.04,28.593,1550777894.6300967
107.045,11.05,28.595,1550777905.1384397
107.049,11.06,28.598,1550777915.680506
107.057,11.06,28.602,1550777926.2004466
107.067,11.07,28.608,1550777936.7264233
107.078,11.08,28.611,1550777947.2566292
107.081,11.08,28.617,1550777957.7757018
107.1,11.09,28.639,1550777968.2616594
107.099,11.09,28.647,1550777978.8018093
107.107,11.1,28.655,1550777989.3331904
107.108,11.1,28.671,1550777999.8637362
107.112,11.11,28.678,1550778010.3890061
107.124,11.11,28.694,1550778020.9104292
107.131,11.12,28.72,1550778031.4215899
107.132,11.12,28.739,1550778041.9527986
107.141,11.13,28.759,1550778052.473563
107.143,11.14,28.766,1550778063.0180788
107.148,11.14,28.786,1550778073.5525336
107.153,11.15,28.79,1550778084.0793352
107.154,11.15,28.804,1550778094.6081367
107.156,11.16,28.816,1550778105.1206968
107.166,11.17,28.826,1550778115.6216588
107.177,11.17,28.829,1550778126.1500483
107.174,11.18,28.848,1550778136.6698563
107.178,11.18,28.863,1550778147.174601
107.184,11.19,28.872,1550778157.705727
107.183,11.19,28.885,1550778168.2358637
107.181,11.2,28.898,1550778178.729283
107.178,11.2,28.905,1550778189.2876954
107.181,11.2,28.927,1550778199.8250139
107.178,11.21,28.935,1550778210.351462
107.173,11.21,28.938,1550778220.8802702
107.171,11.21,28.958,1550778231.3768485
107.167,11.22,28.965,1550778241.8696659
107.165,11.23,28.977,1550778252.3864162
107.161,11.23,28.987,1550778262.8944082
107.155,11.24,28.996,1550778273.4259973
107.148,11.24,29.0,1550778283.9449103
107.143,11.25,29.002,1550778294.467924
107.138,11.24,29.004,1550778305.0086076
107.138,11.26,29.024,1550778315.5812469
107.129,11.25,29.013,1550778326.1033275
107.12,11.26,29.024,1550778336.6147819
107.114,11.26,29.031,1550778347.1221633
107.115,11.27,29.033,1550778357.644982
107.105,11.27,29.031,1550778368.1593258
107.1,11.27,29.049,1550778378.664307
107.097,11.27,29.046,1550778389.175989
107.089,11.28,29.049,1550778399.6760275
107.086,11.28,29.05,1550778410.1696868
107.079,11.28,29.052,1550778420.7013042
107.076,11.28,29.047,1550778431.236025
107.069,11.28,29.052,1550778441.775332
107.062,11.29,29.07,1550778452.3147302
107.06,11.29,29.067,1550778462.8505573
107.055,11.29,29.069,1550778473.372508
107.049,11.3,29.062,1550778483.8855612
107.042,11.3,29.052,1550778494.4166236
107.041,11.29,29.054,1550778504.9381309
107.033,11.3,29.044,1550778515.4736202
107.028,11.3,29.049,1550778525.9854517
107.02,11.3,29.036,1550778536.5049741
107.018,11.3,29.038,1550778547.0268586
107.012,11.31,29.048,1550778557.527511
107.011,11.31,29.03,1550778568.0476456
106.991,11.32,29.023,1550778578.5934527
106.988,11.31,29.023,1550778589.117018
106.986,11.32,29.016,1550778599.6481848
106.988,11.32,29.004,1550778610.184154
106.982,11.32,29.017,1550778620.6763341
106.978,11.32,28.997,1550778631.218727
106.973,11.34,28.997,1550778641.76846
106.973,11.34,28.992,1550778652.294481
106.969,11.34,28.977,1550778662.8374631
106.96,11.34,28.972,1550778673.3673213
106.956,11.35,28.974,1550778683.888525
106.951,11.35,28.954,1550778694.4128308
106.949,11.35,28.955,1550778704.9425137
106.945,11.36,28.952,1550778715.4544969
106.941,11.36,28.952,1550778725.9989352
106.937,11.37,28.948,1550778736.5435908
106.93,11.37,28.938,1550778747.0767784
106.935,11.37,28.93,1550778757.601441
106.922,11.37,28.928,1550778768.1295822
106.926,11.38,28.922,1550778778.6561136
106.922,11.38,28.92,1550778789.156058
106.913,11.39,28.912,1550778799.6784577
106.91,11.39,28.907,1550778810.188293
106.906,11.39,28.908,1550778820.6770444
106.907,11.4,28.893,1550778831.2054825
106.904,11.4,28.873,1550778841.7461255
106.905,11.4,28.874,1550778852.282548
106.903,11.41,28.863,1550778862.8194628
106.894,11.41,28.856,1550778873.321747
106.892,11.41,28.852,1550778883.8554165
106.89,11.42,28.855,1550778894.3542557
106.887,11.43,28.832,1550778904.890571
106.881,11.42,28.818,1550778915.4394248
106.889,11.43,28.804,1550778925.969901
106.882,11.44,28.812,1550778936.5153024
106.875,11.44,28.803,1550778947.0323775
106.873,11.45,28.791,1550778957.5720627
106.872,11.45,28.788,1550778968.1027489
106.871,11.45,28.78,1550778978.635827
106.872,11.46,28.776,1550778989.1404908
106.869,11.46,28.761,1550778999.6753755
106.864,11.47,28.764,1550779010.176045
106.857,11.46,28.751,1550779020.7064242
106.851,11.47,28.734,1550779031.2320309
106.849,11.48,28.715,1550779041.773993
106.848,11.48,28.707,1550779052.3160307
106.845,11.49,28.697,1550779062.8328466
106.85,11.5,28.688,1550779073.3583872
106.844,11.5,28.679,1550779083.8880749
106.848,11.5,28.69,1550779094.4745986
106.845,11.51,28.682,1550779104.9726264
106.842,11.52,28.679,1550779115.4656475
106.842,11.52,28.657,1550779126.0021248
106.838,11.53,28.652,1550779136.5137334
106.838,11.53,28.644,1550779147.0519726
106.848,11.53,28.643,1550779157.571992
106.837,11.55,28.635,1550779168.101866
106.835,11.55,28.634,1550779178.6203165
106.835,11.55,28.627,1550779189.155566
106.831,11.55,28.627,1550779199.661458
106.836,11.56,28.608,1550779210.200709
106.832,11.56,28.612,1550779220.7162697
106.827,11.57,28.594,1550779231.251308
106.827,11.57,28.59,1550779241.7856748
106.82,11.58,28.59,1550779252.292897
106.817,11.58,28.578,1550779262.8912404
106.824,11.58,28.587,1550779273.4176369
106.821,11.58,28.569,1550779283.9467084
106.821,11.59,28.556,1550779294.48049
106.821,11.6,28.554,1550779305.020078
106.818,11.6,28.548,1550779315.541818
106.817,11.6,28.537,1550779326.0605433
106.815,11.6,28.53,1550779336.59489
106.813,11.61,28.545,1550779347.0760808
106.812,11.62,28.523,1550779357.6024542
106.814,11.62,28.514,1550779368.1209655
106.814,11.62,28.503,1550779378.6504636
106.811,11.62,28.501,1550779389.1829295
106.809,11.63,28.5,1550779399.713504
106.805,11.63,28.496,1550779410.238477
106.808,11.63,28.494,1550779420.7509763
106.799,11.65,28.488,1550779431.2753804
106.802,11.65,28.468,1550779441.844141
106.798,11.65,28.472,1550779452.456291
106.804,11.65,28.467,1550779462.9680166
106.802,11.66,28.454,1550779473.4758465
106.806,11.66,28.454,1550779484.004201
106.798,11.67,28.452,1550779494.5263188
106.796,11.67,28.443,1550779505.0805776
106.794,11.67,28.445,1550779515.6672983
106.798,11.67,28.447,1550779526.156598
106.797,11.68,28.453,1550779536.6560977
106.797,11.69,28.436,1550779547.1885254
106.798,11.69,28.435,1550779557.7382383
106.795,11.7,28.432,1550779568.266738
106.791,11.7,28.422,1550779578.814409
106.788,11.7,28.415,1550779589.354243
106.797,11.7,28.411,1550779599.8856764
106.79,11.7,28.415,1550779610.3738556
106.789,11.7,28.407,1550779620.867315
106.787,11.7,28.39,1550779631.398455
106.786,11.71,28.392,1550779641.9120493
106.785,11.72,28.393,1550779652.46491
106.786,11.72,28.382,1550779662.998786
106.783,11.72,28.375,1550779673.5068464
106.786,11.75,28.359,1550779684.062461
106.783,11.73,28.369,1550779694.5960763
106.783,11.73,28.349,1550779705.1243825
106.784,11.74,28.34,1550779715.6486926
106.783,11.74,28.335,1550779726.1821587
106.782,11.74,28.345,1550779736.7153766
106.782,11.75,28.337,1550779747.252953
106.778,11.75,28.345,1550779757.7847466
106.782,11.75,28.339,1550779768.3200407
106.774,11.75,28.335,1550779778.8587492
106.779,11.75,28.329,1550779789.3926191
106.775,11.76,28.317,1550779799.9097848
106.779,11.76,28.314,1550779810.4385407
106.782,11.76,28.317,1550779820.9573128
106.778,11.77,28.313,1550779831.4960601
106.777,11.76,28.319,1550779842.0224729
106.776,11.77,28.314,1550779852.5412006
106.776,11.78,28.3,1550779863.14723
106.774,11.78,28.316,1550779873.6722617
106.774,11.78,28.3,1550779884.2145238
106.77,11.78,28.295,1550779894.7277105
106.767,11.78,28.29,1550779905.2508214
