Conductivity,Density,Salinity,SN,Soundspeed,Temperature,ts
-0.009,997.816,0.013,1719,1487.93,21.85,1550774225.503221
-0.01,997.816,0.013,1719,1487.926,21.849,1550774226.2834246
-0.009,997.815,0.013,1719,1487.944,21.855,1550774227.0217767
-0.01,997.814,0.013,1719,1487.949,21.857,1550774227.735876
-0.009,997.816,0.013,1719,1487.93,21.85,1550774228.4492924
-0.01,997.816,0.013,1719,1487.925,21.849,1550774229.160791
-0.01,997.815,0.013,1719,1487.94,21.854,1550774229.8759317
-0.01,997.814,0.013,1719,1487.954,21.858,1550774230.5949297
-0.01,997.815,0.013,1719,1487.939,21.854,1550774231.3111622
-0.009,997.814,0.013,1719,1487.948,21.857,1550774232.0328565
-0.01,997.814,0.013,1719,1487.958,21.86,1550774232.7492406
-0.01,997.814,0.013,1719,1487.953,21.858,1550774233.4646869
-0.01,997.814,0.013,1719,1487.949,21.857,1550774234.1831217
-0.01,997.812,0.013,1719,1487.982,21.868,1550774234.8987653
-0.009,997.81,0.013,1719,1488.0,21.874,1550774239.9454687
-0.009,997.807,0.013,1719,1488.042,21.889,1550774240.6614459
-0.009,997.809,0.013,1719,1488.009,21.878,1550774241.378744
-0.009,997.808,0.013,1719,1488.033,21.886,1550774242.094802
-0.01,997.807,0.013,1719,1488.042,21.889,1550774242.810775
-0.009,997.809,0.013,1719,1488.014,21.879,1550774243.5277379
-0.009,997.805,0.013,1719,1488.061,21.895,1550774244.247682
-0.009,997.804,0.013,1719,1488.084,21.903,1550774244.964072
-0.009,997.805,0.013,1719,1488.061,21.895,1550774245.68139
-0.009,997.805,0.013,1719,1488.07,21.898,1550774246.3988392
-0.009,997.803,0.013,1719,1488.098,21.908,1550774247.1170106
-0.009,997.808,0.013,1719,1488.033,21.886,1550774247.8318558
-0.009,997.806,0.013,1719,1488.061,21.895,1550774248.5426874
-0.009,997.803,0.013,1719,1488.089,21.905,1550774249.2587388
-0.009,997.805,0.013,1719,1488.07,21.898,1550774249.9947386
-0.009,997.805,0.013,1719,1488.065,21.897,1550774250.7145348
-0.009,997.802,0.013,1719,1488.098,21.908,1550774251.4296944
-0.009,997.802,0.013,1719,1488.107,21.911,1550774252.1438184
-0.01,997.802,0.013,1719,1488.112,21.913,1550774252.854853
-0.01,997.801,0.013,1719,1488.122,21.916,1550774253.565633
-0.009,997.801,0.013,1719,1488.122,21.916,1550774254.286205
-0.009,997.8,0.013,1719,1488.131,21.919,1550774255.006874
-0.01,997.802,0.013,1719,1488.108,21.911,1550774255.7227955
-0.01,997.8,0.013,1719,1488.136,21.921,1550774256.4464462
-0.01,997.8,0.013,1719,1488.131,21.919,1550774257.1638596
-0.009,997.799,0.013,1719,1488.149,21.926,1550774257.8904061
-0.009,997.797,0.013,1719,1488.163,21.93,1550774258.607014
-0.009,997.799,0.013,1719,1488.145,21.924,1550774259.3386555
-0.009,997.795,0.013,1719,1488.191,21.94,1550774260.054688
-0.008,997.795,0.013,1719,1488.196,21.942,1550774260.771754
-0.009,997.797,0.013,1719,1488.168,21.932,1550774261.4876904
-0.009,997.798,0.013,1719,1488.154,21.927,1550774262.199275
-0.009,997.796,0.013,1719,1488.187,21.938,1550774262.9184673
-0.009,997.796,0.013,1719,1488.182,21.937,1550774263.6327772
-0.009,997.795,0.013,1719,1488.196,21.942,1550774264.3608859
-0.009,997.793,0.013,1719,1488.219,21.95,1550774265.0792377
-0.01,997.796,0.013,1719,1488.192,21.94,1550774265.7927434
-0.008,997.791,0.013,1719,1488.242,21.958,1550774266.5057352
-0.01,997.793,0.013,1719,1488.22,21.95,1550774267.2216768
-0.01,997.79,0.013,1719,1488.262,21.964,1550774267.937799
-0.009,997.794,0.013,1719,1488.205,21.945,1550774268.6541553
-0.009,997.79,0.013,1719,1488.257,21.962,1550774269.3847563
-0.01,997.794,0.013,1719,1488.215,21.948,1550774270.1042316
-0.01,997.79,0.013,1719,1488.262,21.964,1550774270.8197737
-0.009,997.79,0.013,1719,1488.257,21.962,1550774271.535004
-0.009,997.791,0.013,1719,1488.247,21.959,1550774272.2517753
-0.009,997.787,0.013,1719,1488.299,21.977,1550774272.9679399
-0.01,997.788,0.013,1719,1488.294,21.975,1550774273.6837225
-0.009,997.791,0.013,1719,1488.243,21.958,1550774274.4044228
-0.01,997.79,0.013,1719,1488.257,21.962,1550774275.1231878
-0.008,997.787,0.013,1719,1488.299,21.977,1550774275.84794
-0.009,997.787,0.013,1719,1488.299,21.977,1550774276.5638278
-0.009,997.787,0.013,1719,1488.294,21.975,1550774277.293177
-0.01,997.784,0.013,1719,1488.336,21.99,1550774278.0046957
-0.009,997.785,0.013,1719,1488.332,21.988,1550774278.7212303
-0.009,997.787,0.013,1719,1488.294,21.975,1550774279.436649
-0.01,997.785,0.013,1719,1488.332,21.988,1550774280.152596
-0.01,997.782,0.013,1719,1488.369,22.001,1550774280.8676906
-0.009,997.786,0.013,1719,1488.313,21.982,1550774281.583767
-0.009,997.784,0.013,1719,1488.341,21.991,1550774282.3629985
-0.009,997.783,0.013,1719,1488.35,21.994,1550774283.1467981
-0.009,997.783,0.013,1719,1488.355,21.996,1550774283.9388788
-0.008,997.781,0.013,1719,1488.368,22.001,1550774284.6775594
-0.009,997.78,0.013,1719,1488.387,22.007,1550774285.424782
-0.01,997.784,0.013,1719,1488.345,21.993,1550774286.1688766
-0.01,997.783,0.013,1719,1488.355,21.996,1550774286.9012382
-0.009,997.782,0.013,1719,1488.369,22.001,1550774287.6264548
-0.008,997.779,0.013,1719,1488.396,22.011,1550774288.3466792
-0.009,997.779,0.013,1719,1488.401,22.012,1550774289.0719457
-0.009,997.778,0.013,1719,1488.411,22.015,1550774289.7832499
-0.009,997.781,0.013,1719,1488.373,22.002,1550774290.5006418
-0.01,997.777,0.013,1719,1488.425,22.02,1550774291.2164087
-0.009,997.779,0.013,1719,1488.401,22.012,1550774291.933153
-0.009,997.779,0.013,1719,1488.397,22.011,1550774292.6485598
-0.01,997.777,0.013,1719,1488.434,22.023,1550774293.366569
-0.009,997.779,0.013,1719,1488.396,22.011,1550774294.0931516
-0.009,997.78,0.013,1719,1488.392,22.009,1550774294.8096385
-0.009,997.78,0.013,1719,1488.387,22.007,1550774295.537159
-0.01,997.779,0.013,1719,1488.406,22.014,1550774296.2509813
-0.009,997.776,0.013,1719,1488.438,22.025,1550774296.9677117
-0.009,997.776,0.013,1719,1488.448,22.028,1550774297.6836762
-0.01,997.778,0.013,1719,1488.416,22.017,1550774298.3987324
-0.009,997.775,0.013,1719,1488.448,22.028,1550774299.1146355
-0.01,997.778,0.013,1719,1488.416,22.017,1550774299.83241
-0.01,997.775,0.013,1719,1488.457,22.031,1550774300.5624325
-0.009,997.773,0.013,1719,1488.476,22.038,1550774301.2800186
-0.009,997.776,0.013,1719,1488.439,22.025,1550774302.0052676
-0.01,997.777,0.013,1719,1488.434,22.023,1550774302.7206361
-0.009,997.776,0.013,1719,1488.443,22.027,1550774303.4356158
-0.01,997.774,0.013,1719,1488.462,22.033,1550774304.1516974
-0.009,997.774,0.013,1719,1488.462,22.033,1550774304.866617
-0.01,997.775,0.013,1719,1488.453,22.03,1550774305.5863824
-0.01,997.774,0.013,1719,1488.471,22.036,1550774306.3047187
-0.01,997.773,0.013,1719,1488.476,22.038,1550774307.0320415
-0.009,997.775,0.013,1719,1488.457,22.031,1550774307.749585
-0.009,997.773,0.013,1719,1488.48,22.039,1550774308.4645894
-0.009,997.775,0.013,1719,1488.452,22.03,1550774309.182621
-0.01,997.772,0.013,1719,1488.499,22.046,1550774309.8989594
-0.009,997.772,0.013,1719,1488.485,22.041,1550774310.6148808
