p,rh,t,ts
101.343,49.84,32.641,1550796621.23665
101.341,49.8,32.636,1550796623.70643
101.342,49.76,32.631,1550796626.17890
101.345,49.73,32.637,1550796628.63783
101.338,49.73,32.62,1550796631.10907
101.339,49.72,32.616,1550796633.58176
101.342,49.68,32.616,1550796636.04960
101.342,49.62,32.61,1550796638.51734
101.339,49.58,32.605,1550796640.98344
101.342,49.54,32.599,1550796643.45364
101.338,49.5,32.594,1550796645.91960
101.339,49.45,32.593,1550796648.37927
101.337,49.41,32.587,1550796650.84805
101.336,49.38,32.578,1550796653.31818
101.341,49.33,32.577,1550796655.77814
101.34,49.33,32.57,1550796658.24547
101.34,49.37,32.57,1550796660.71353
101.339,49.37,32.569,1550796663.18097
101.341,49.37,32.57,1550796665.65287
101.339,49.38,32.573,1550796668.12195
101.339,49.38,32.571,1550796670.58972
101.336,49.46,32.577,1550796673.05936
101.341,49.64,32.582,1550796675.52639
101.337,49.82,32.588,1550796677.98843
101.339,49.93,32.594,1550796680.45600
101.337,50.02,32.604,1550796682.92395
101.34,50.08,32.611,1550796685.38797
101.339,50.18,32.618,1550796687.85511
101.338,50.26,32.622,1550796690.32237
101.339,50.23,32.63,1550796692.78945
101.337,50.14,32.637,1550796695.25663
101.337,50.05,32.642,1550796697.72383
101.338,50,32.648,1550796700.19111
101.336,49.95,32.652,1550796702.65932
101.339,49.95,32.66,1550796705.12653
101.341,50.06,32.668,1550796707.59380
101.337,50.16,32.672,1550796710.06079
101.34,50.16,32.675,1550796712.52869
101.338,50.11,32.681,1550796714.99595
101.341,50.06,32.693,1550796717.46290
101.339,49.99,32.705,1550796719.93145
101.342,49.96,32.708,1550796722.40577
101.341,49.96,32.715,1550796724.87277
101.338,49.96,32.715,1550796727.33859
101.341,49.93,32.724,1550796729.80563
101.338,49.91,32.733,1550796732.27273
101.338,49.87,32.731,1550796734.73986
101.34,49.77,32.736,1550796737.20694
101.339,49.71,32.739,1550796739.67395
101.336,49.67,32.74,1550796742.14111
101.337,49.64,32.748,1550796744.60789
101.34,49.64,32.753,1550796747.06971
101.338,49.68,32.754,1550796749.53756
101.34,49.71,32.759,1550796752.00461
101.342,49.72,32.764,1550796754.47170
101.338,49.66,32.766,1550796756.93897
101.335,49.6,32.773,1550796759.40622
101.337,49.54,32.77,1550796761.86854
101.339,49.51,32.781,1550796764.33945
101.337,49.5,32.78,1550796766.80710
101.338,49.58,32.784,1550796769.27671
101.338,49.66,32.785,1550796771.74531
101.339,49.72,32.795,1550796774.21425
101.34,49.76,32.798,1550796776.68292
101.337,49.76,32.8,1550796779.15194
101.336,49.77,32.811,1550796781.62016
101.337,49.72,32.82,1550796784.08948
101.338,49.65,32.827,1550796786.55678
101.339,49.58,32.833,1550796789.02391
101.338,49.61,32.842,1550796791.49132
101.341,49.71,32.847,1550796793.95846
101.336,49.79,32.86,1550796796.41795
101.338,49.83,32.869,1550796798.88510
101.339,49.89,32.866,1550796801.34817
101.34,49.92,32.873,1550796803.80800
101.338,49.94,32.872,1550796806.27551
101.338,49.98,32.872,1550796808.74284
101.339,50.03,32.875,1550796811.21013
101.337,50.08,32.876,1550796813.67431
101.337,50.11,32.875,1550796816.14387
101.336,50.11,32.875,1550796818.61255
101.338,50.02,32.877,1550796821.07836
101.337,50.16,32.881,1550796823.54556
101.336,50.37,32.876,1550796826.01670
101.335,50.42,32.885,1550796828.48541
101.335,50.31,32.885,1550796830.95381
101.336,50.15,32.889,1550796833.42309
101.337,50.01,32.89,1550796835.89265
101.337,49.92,32.892,1550796838.36202
101.333,49.91,32.893,1550796840.83061
101.338,49.95,32.891,1550796843.29982
101.337,50.05,32.896,1550796845.77366
101.338,50.14,32.894,1550796848.24102
101.338,50.2,32.893,1550796850.70806
101.337,50.18,32.893,1550796853.17596
101.336,50.08,32.896,1550796855.64126
101.335,50.03,32.896,1550796858.10874
101.336,49.99,32.903,1550796860.57593
101.337,49.99,32.9,1550796863.04329
101.334,49.96,32.9,1550796865.51062
101.335,49.94,32.902,1550796867.97786
101.334,49.9,32.911,1550796870.43779
101.335,49.86,32.92,1550796872.90573
101.337,49.85,32.923,1550796875.37528
101.338,49.8,32.924,1550796877.83434
101.338,49.72,32.93,1550796880.30191
101.336,49.67,32.939,1550796882.76950
101.334,49.61,32.941,1550796885.23695
101.338,49.54,32.95,1550796887.70840
101.336,49.44,32.956,1550796890.17720
101.335,49.37,32.956,1550796892.64453
101.337,49.3,32.96,1550796895.10518
101.336,49.26,32.958,1550796897.57486
101.336,49.18,32.958,1550796900.04417
101.335,49.08,32.957,1550796902.51143
101.338,48.98,32.966,1550796904.97889
101.337,48.9,32.971,1550796907.44649
101.337,48.85,32.973,1550796909.91376
101.335,48.82,32.971,1550796912.38104
101.333,48.77,32.976,1550796914.83857
101.333,48.67,32.975,1550796917.30625
101.334,48.59,32.971,1550796919.76795
101.334,48.51,32.968,1550796922.23524
101.336,48.48,32.97,1550796924.70201
101.334,48.44,32.973,1550796927.16969
101.333,48.38,32.966,1550796929.64728
101.336,48.32,32.975,1550796932.11498
101.333,48.31,32.982,1550796934.58503
101.33,48.27,32.981,1550796937.04844
101.336,48.23,32.986,1550796939.50816
