Chlorophyll,date,Thermistor,time,ts,Turbidity
50,02/21/19,529,14:50:09,1550796620.7473197,50
50,02/21/19,529,14:50:11,1550796621.8173292,50
50,02/21/19,529,14:50:12,1550796622.887325,50
50,02/21/19,529,14:50:13,1550796623.9573402,50
50,02/21/19,529,14:50:14,1550796625.028064,50
50,02/21/19,529,14:50:15,1550796626.0974116,50
50,02/21/19,528,14:50:16,1550796627.176682,50
50,02/21/19,528,14:50:17,1550796628.2473185,50
50,02/21/19,528,14:50:18,1550796629.3127823,50
50,02/21/19,529,14:50:19,1550796630.3832939,50
50,02/21/19,529,14:50:20,1550796631.4528563,50
50,02/21/19,528,14:50:21,1550796632.5226712,50
50,02/21/19,529,14:50:22,1550796633.5925703,50
50,02/21/19,529,14:50:23,1550796634.6625476,50
50,02/21/19,529,14:50:24,1550796635.7325606,50
50,02/21/19,528,14:50:26,1550796636.8025472,50
50,02/21/19,528,14:50:27,1550796637.8723676,50
50,02/21/19,528,14:50:28,1550796638.9462593,50
50,02/21/19,529,14:50:29,1550796640.012419,50
50,02/21/19,529,14:50:30,1550796641.0824084,50
50,02/21/19,528,14:50:31,1550796642.1522024,50
50,02/21/19,528,14:50:32,1550796643.2222018,50
50,02/21/19,529,14:50:33,1550796644.2921562,50
50,02/21/19,528,14:50:34,1550796645.3620896,50
50,02/21/19,528,14:50:35,1550796646.431997,50
50,02/21/19,528,14:50:36,1550796647.5021179,50
50,02/21/19,528,14:50:37,1550796648.5719388,50
50,02/21/19,529,14:50:38,1550796649.641955,50
50,02/21/19,528,14:50:39,1550796650.711889,50
50,02/21/19,529,14:50:40,1550796651.788493,50
50,02/21/19,528,14:50:42,1550796652.8614838,50
50,02/21/19,528,14:50:43,1550796653.9278433,50
50,02/21/19,528,14:50:44,1550796654.997314,50
50,02/21/19,528,14:50:45,1550796656.0671961,50
50,02/21/19,528,14:50:46,1550796657.1372225,50
50,02/21/19,528,14:50:47,1550796658.237675,50
50,02/21/19,529,14:50:49,1550796660.3539503,50
50,02/21/19,528,14:50:50,1550796661.429774,50
50,02/21/19,528,14:50:52,1550796663.5656981,50
50,02/21/19,528,14:50:54,1550796665.7017038,50
50,02/21/19,528,14:50:57,1550796667.8314366,50
50,02/21/19,528,14:50:58,1550796668.9014113,50
50,02/21/19,528,14:50:59,1550796669.981531,50
50,02/21/19,528,14:51:01,1550796672.1086946,50
50,02/21/19,528,14:51:02,1550796673.1784027,50
50,02/21/19,528,14:51:03,1550796674.2481227,50
50,02/21/19,528,14:51:04,1550796675.3239853,50
50,02/21/19,528,14:51:05,1550796676.3937094,50
50,02/21/19,528,14:51:06,1550796677.463358,50
50,02/21/19,528,14:51:07,1550796678.5358224,50
50,02/21/19,528,14:51:08,1550796679.602746,50
50,02/21/19,528,14:51:09,1550796680.6739984,50
50,02/21/19,528,14:51:10,1550796681.7422829,50
50,02/21/19,528,14:51:12,1550796682.8295827,50
50,02/21/19,528,14:51:14,1550796684.950713,50
50,02/21/19,528,14:51:15,1550796686.021734,50
50,02/21/19,528,14:51:16,1550796687.0906007,50
50,02/21/19,528,14:51:17,1550796688.1605392,50
50,02/21/19,528,14:51:18,1550796689.2412267,50
50,02/21/19,528,14:51:19,1550796690.300396,50
50,02/21/19,528,14:51:20,1550796691.375258,50
50,02/21/19,528,14:51:21,1550796692.440266,50
50,02/21/19,528,14:51:22,1550796693.5103261,50
50,02/21/19,528,14:51:23,1550796694.5802064,50
50,02/21/19,528,14:51:24,1550796695.6500957,50
50,02/21/19,528,14:51:25,1550796696.7200577,50
50,02/21/19,528,14:51:26,1550796697.789973,50
50,02/21/19,528,14:51:28,1550796698.869527,50
50,02/21/19,528,14:51:29,1550796699.936137,50
50,02/21/19,528,14:51:30,1550796701.0139768,50
50,02/21/19,528,14:51:32,1550796703.1471043,50
50,02/21/19,528,14:51:33,1550796704.214869,50
50,02/21/19,528,14:51:34,1550796705.291475,50
50,02/21/19,528,14:51:35,1550796706.3549519,50
50,02/21/19,528,14:51:36,1550796707.424571,50
50,02/21/19,528,14:51:37,1550796708.4945352,50
50,02/21/19,528,14:51:38,1550796709.5648081,50
