AirSaturation,O2Concentration,SN,Temperature,ts
100.677,256.783,831,25.61,1550796620.6979942
100.692,256.782,831,25.618,1550796621.9894614
100.845,257.136,831,25.626,1550796623.276278
100.5,256.221,831,25.634,1550796624.5684173
100.745,256.806,831,25.642,1550796625.8609493
100.447,256.006,831,25.65,1550796627.1522925
101.08,257.582,831,25.659,1550796628.4477675
100.645,256.432,831,25.667,1550796629.7406852
100.617,256.32,831,25.676,1550796631.0285017
100.598,256.233,831,25.684,1550796632.3205256
100.451,255.816,831,25.693,1550796633.616868
100.965,257.083,831,25.702,1550796634.908788
100.942,256.984,831,25.711,1550796636.200659
100.825,256.644,831,25.719,1550796637.4888465
100.677,256.227,831,25.728,1550796638.787127
100.996,256.998,831,25.737,1550796640.0807102
101.07,257.145,831,25.746,1550796641.3718505
100.836,256.507,831,25.755,1550796642.6638935
100.608,255.887,831,25.763,1550796643.9568565
100.871,256.515,831,25.772,1550796645.2467036
100.909,256.571,831,25.781,1550796646.5457458
100.725,256.063,831,25.79,1550796647.8339624
101.027,256.789,831,25.799,1550796649.1244793
100.612,255.694,831,25.807,1550796650.419085
100.952,256.515,831,25.816,1550796651.7135494
100.828,256.158,831,25.825,1550796653.0103312
100.752,255.926,831,25.834,1550796654.3021486
100.964,256.421,831,25.843,1550796655.5894074
100.845,256.077,831,25.852,1550796656.8800874
100.625,255.48,831,25.86,1550796658.193798
100.873,256.066,831,25.869,1550796659.4872916
100.873,256.026,831,25.878,1550796660.790638
100.953,256.187,831,25.887,1550796662.1057422
100.818,255.801,831,25.896,1550796663.43833
101.231,256.806,831,25.905,1550796664.7657495
100.609,255.186,831,25.914,1550796666.0925455
100.799,255.623,831,25.924,1550796667.3935294
101.135,256.436,831,25.933,1550796668.681531
100.678,255.233,831,25.942,1550796669.988194
100.82,255.55,831,25.951,1550796671.300045
100.887,255.677,831,25.96,1550796672.5907307
100.716,255.2,831,25.97,1550796673.8826396
100.949,255.748,831,25.979,1550796675.1746602
100.877,255.52,831,25.988,1550796676.4621959
101.164,256.202,831,25.998,1550796677.754764
101.038,255.841,831,26.007,1550796679.0471334
100.929,255.519,831,26.017,1550796680.3347692
100.997,255.646,831,26.027,1550796681.626781
101.143,255.969,831,26.037,1550796682.9187963
