Conductivity,Density,Salinity,SN,Soundspeed,Temperature,ts
-0.008,997.223,0.013,1719,1494.963,24.343,1550796620.865216
-0.008,997.223,0.013,1719,1494.958,24.342,1550796621.5750978
-0.008,997.221,0.013,1719,1494.985,24.351,1550796622.2917812
-0.008,997.221,0.013,1719,1494.98,24.35,1550796623.0070465
-0.007,997.218,0.013,1719,1495.02,24.364,1550796623.7272792
-0.008,997.218,0.013,1719,1495.02,24.364,1550796624.4424229
-0.007,997.218,0.013,1719,1495.011,24.361,1550796625.1572235
-0.007,997.217,0.013,1719,1495.02,24.364,1550796625.890831
-0.008,997.216,0.013,1719,1495.033,24.369,1550796626.6021
-0.009,997.215,0.013,1719,1495.046,24.374,1550796627.3175654
-0.009,997.215,0.013,1719,1495.055,24.377,1550796628.039347
-0.007,997.212,0.013,1719,1495.077,24.385,1550796628.7737656
-0.008,997.212,0.013,1719,1495.085,24.388,1550796629.4840672
-0.007,997.213,0.013,1719,1495.072,24.383,1550796630.2070096
-0.008,997.212,0.013,1719,1495.085,24.388,1550796630.9170232
-0.007,997.207,0.013,1719,1495.129,24.404,1550796631.6340344
-0.007,997.211,0.013,1719,1495.085,24.388,1550796632.35382
-0.008,997.206,0.013,1719,1495.147,24.411,1550796633.0703208
-0.007,997.209,0.013,1719,1495.111,24.398,1550796633.7861001
-0.008,997.207,0.013,1719,1495.138,24.407,1550796634.5009124
-0.008,997.208,0.013,1719,1495.125,24.403,1550796635.2198842
-0.007,997.205,0.013,1719,1495.159,24.415,1550796635.9349892
-0.008,997.204,0.013,1719,1495.173,24.42,1550796636.6489255
-0.008,997.207,0.013,1719,1495.133,24.406,1550796637.3589673
-0.008,997.203,0.013,1719,1495.182,24.423,1550796638.071983
-0.008,997.205,0.013,1719,1495.16,24.415,1550796638.8085778
-0.007,997.205,0.013,1719,1495.159,24.415,1550796639.5257275
-0.008,997.203,0.013,1719,1495.177,24.422,1550796640.239919
-0.007,997.204,0.013,1719,1495.164,24.417,1550796640.9500332
-0.008,997.201,0.013,1719,1495.203,24.431,1550796641.663924
-0.008,997.202,0.013,1719,1495.195,24.428,1550796642.3830726
-0.008,997.196,0.013,1719,1495.251,24.449,1550796643.1026893
-0.008,997.198,0.013,1719,1495.229,24.441,1550796643.8246799
-0.008,997.197,0.013,1719,1495.247,24.448,1550796644.5407672
-0.008,997.194,0.013,1719,1495.277,24.459,1550796645.2743652
-0.007,997.197,0.013,1719,1495.242,24.446,1550796645.9840345
-0.008,997.197,0.013,1719,1495.238,24.444,1550796646.694002
-0.007,997.197,0.013,1719,1495.242,24.446,1550796647.4079082
-0.008,997.194,0.013,1719,1495.277,24.459,1550796648.1295936
-0.007,997.196,0.013,1719,1495.255,24.451,1550796648.8489401
-0.008,997.197,0.013,1719,1495.247,24.448,1550796649.5653834
-0.007,997.191,0.013,1719,1495.308,24.47,1550796650.286369
-0.008,997.191,0.013,1719,1495.312,24.472,1550796651.0008786
-0.008,997.193,0.013,1719,1495.291,24.464,1550796651.7376287
-0.008,997.195,0.013,1719,1495.269,24.456,1550796652.450374
-0.008,997.194,0.013,1719,1495.277,24.459,1550796653.1669402
-0.007,997.192,0.013,1719,1495.299,24.467,1550796653.8876934
-0.008,997.19,0.013,1719,1495.321,24.475,1550796654.6030614
-0.007,997.191,0.013,1719,1495.303,24.468,1550796655.3209813
-0.008,997.187,0.013,1719,1495.356,24.488,1550796656.035927
-0.007,997.186,0.013,1719,1495.36,24.489,1550796656.7499397
-0.008,997.188,0.013,1719,1495.338,24.481,1550796657.4647474
-0.007,997.185,0.013,1719,1495.369,24.493,1550796658.2166884
-0.008,997.185,0.013,1719,1495.378,24.496,1550796658.9372942
-0.009,997.183,0.014,1719,1495.395,24.502,1550796659.6508865
-0.008,997.185,0.013,1719,1495.369,24.493,1550796660.3799477
-0.008,997.185,0.013,1719,1495.373,24.494,1550796661.0963535
-0.007,997.18,0.013,1719,1495.421,24.512,1550796661.8418088
-0.008,997.185,0.013,1719,1495.378,24.496,1550796662.601897
-0.008,997.181,0.013,1719,1495.412,24.509,1550796663.3737838
-0.008,997.184,0.013,1719,1495.382,24.497,1550796664.12304
-0.008,997.178,0.013,1719,1495.447,24.521,1550796664.863542
