id,time,vlt_file,p,p_water,depth,t,oxygen_conc,oxygen_sat,H2S_conc,mean_depth,mean_oxygen_conc,sd_oxygen_conc,mean_oxygen_sat,sd_oxygen_sat,FeS_current
107,1550943381,20190223_watercolumn-voltammetry_NF07-107,167.537,65.556,6.46,21.647535,1.93,1.419787032,,,,,,,
114,1550943495,20190223_watercolumn-voltammetry_NF07-114,167.538,65.557,6.46,21.65,-0.05,-0.038670119,1.4,,,,,,
115,1550943512,20190223_watercolumn-voltammetry_NF07-115,167.59,65.609,6.46,21.652865,-0.30,-0.223634772,5.8,,,,,,
116,1550943529,20190223_watercolumn-voltammetry_NF07-116,167.802,65.821,6.48,21.650067,-0.02,-0.014041048,7.7,,,,,,
117,1550943546,20190223_watercolumn-voltammetry_NF07-117,167.818,65.837,6.48,21.649401,-0.07,-0.053138066,3.9,6.49,0.3,0.462025054,0.2,0.341416837,
110,1550943431,20190223_watercolumn-voltammetry_NF07-110,167.961,65.98,6.50,21.651133,-0.06,-0.044947016,32.4,,,,,,
109,1550943414,20190223_watercolumn-voltammetry_NF07-109,167.986,66.005,6.50,21.649601,1.06,0.783064351,34.1,,,,,,
108,1550943398,20190223_watercolumn-voltammetry_NF07-108,167.996,66.015,6.50,21.649534,0.65,0.478250231,0.2,,,,,,0.451
118,1550943563,20190223_watercolumn-voltammetry_NF07-118,168.156,66.175,6.52,21.649334,-0.0859166,-0.063554117,2.6,,,,,,2.335
119,1550943578,20190223_watercolumn-voltammetry_NF07-119,168.358,66.377,6.54,21.653398,-0.54,-0.400139515,3.9,6.53,-0.1,0.308380033,-0.1,0.228414214,5.717
120,1550943595,20190223_watercolumn-voltammetry_NF07-120,168.379,66.398,6.54,21.650733,0.21,0.155208013,0.8,,,,,,2.628
123,1550943643,20190223_watercolumn-voltammetry_NF07-123,168.668,66.687,6.57,21.659994,0.2457721,0.182390449,33.3,,,,,,1.177
122,1550943627,20190223_watercolumn-voltammetry_NF07-122,168.694,66.713,6.57,21.655331,0.7084639,0.525796944,11.6,6.57,0.2,0.374377729,0.2,0.277852448,
121,1550943611,20190223_watercolumn-voltammetry_NF07-121,168.709,66.728,6.57,21.652532,-0.21,-0.154790285,32.4,,,,,,
137,1550943929,20190223_watercolumn-voltammetry_NF07-137,169.015,67.034,6.60,21.741802,,,161.5,,,,,,
138,1550943952,20190223_watercolumn-voltammetry_NF07-138,169.024,67.043,6.60,21.735208,,,167,,,,,,
124,1550943660,20190223_watercolumn-voltammetry_NF07-124,169.069,67.088,6.61,21.659728,0.56,0.415043664,58,6.63,0.6,0,0.4,0,
125,1550943676,20190223_watercolumn-voltammetry_NF07-125,169.223,67.242,6.62,21.661127,,,180.8,,,,,,17.206
126,1550943692,20190223_watercolumn-voltammetry_NF07-126,169.238,67.257,6.62,21.670654,,,183.6,,,,,,
135,1550943883,20190223_watercolumn-voltammetry_NF07-135,169.483,67.502,6.65,21.747731,,,172.6,,,,,,
133,1550943835,20190223_watercolumn-voltammetry_NF07-133,169.539,67.558,6.65,21.731544,,,265.1,,,,,,
134,1550943859,20190223_watercolumn-voltammetry_NF07-134,169.542,67.561,6.65,21.741336,,,237.2,,,,,,
131,1550943788,20190223_watercolumn-voltammetry_NF07-131,169.545,67.564,6.65,21.712225,,,227,,,,,,
130,1550943765,20190223_watercolumn-voltammetry_NF07-130,169.546,67.565,6.65,21.697769,,,193.1,,,,,,
136,1550943906,20190223_watercolumn-voltammetry_NF07-136,169.546,67.565,6.65,21.746865,,,162.6,,,,,,
132,1550943812,20190223_watercolumn-voltammetry_NF07-132,169.571,67.59,6.66,21.718487,,,311.1,,,,,,
128,1550943725,20190223_watercolumn-voltammetry_NF07-128,169.572,67.591,6.66,21.679848,,,232.1,,,,,,
129,1550943743,20190223_watercolumn-voltammetry_NF07-129,169.603,67.622,6.66,21.688509,,,258.6,,,,,,
127,1550943709,20190223_watercolumn-voltammetry_NF07-127,169.616,67.635,6.66,21.675451,,,207.7,,,,,,
