id,time,vlt_file,p,p_water,depth,t,oxygen_peak_current,oxygen_conc,oxygen_sat,h2s_conc,mean_depth,mean_oxygen_conc,sd_oxygen_conc,mean_oxygen_sat,sd_oxygen_sat
92,1550893542,20190222_watercolumn-voltammetry_NF18-2-92,154.706,52.123,5.133576603,21.695771,24.95,21.267745,14.48579943,,,,,,
206,1550895559,20190222_watercolumn-voltammetry_NF18-2-206,154.72,52.137,5.134955458,22.036262,,,,,,,,,
142,1550894351,20190222_watercolumn-voltammetry_NF18-2-142,154.725,52.142,5.135447906,21.651333,25.993,24.8088343,16.88638063,,,,,,
208,1550895591,20190222_watercolumn-voltammetry_NF18-2-208,154.812,52.229,5.144016507,21.940129,,,,,,,,,
142,1550894409,20190222_watercolumn-voltammetry_NF18-2-142,154.818,52.235,5.144607445,21.662193,25.954,24.6764254,16.80960662,,5.14,18.3275884,9.072399662,12.48076981,6.176266674
207,1550895575,20190222_watercolumn-voltammetry_NF18-2-207,154.849,52.266,5.147660624,21.984403,,,,,,,,,
211,1550895638,20190222_watercolumn-voltammetry_NF18-2-211,154.877,52.294,5.150418335,21.862621,,,,,,,,,
143,1550894426,20190222_watercolumn-voltammetry_NF18-2-143,154.878,52.295,5.150516824,21.66166,20.305,5.4975055,3.74632219,,,,,,
209,1550895607,20190222_watercolumn-voltammetry_NF18-2-209,154.882,52.299,5.150910783,21.914361,,,,,,,,,
210,1550895622,20190222_watercolumn-voltammetry_NF18-2-210,154.915,52.332,5.154160942,21.883264,,,,,,,,,
144,1550894442,20190222_watercolumn-voltammetry_NF18-2-144,157.419,54.836,5.400779053,21.66206,19.537,2.8900687,2.001788244,,,,,,
97,1550893624,20190222_watercolumn-voltammetry_NF18-2-97,158.367,55.784,5.494147252,21.681647,24.789,20.7211339,14.4438416,,,,,,
102,1550893703,20190222_watercolumn-voltammetry_NF18-2-102,158.443,55.86,5.501632466,21.669588,,,,,,,,,
103,1550893719,20190222_watercolumn-voltammetry_NF18-2-103,158.457,55.874,5.503011321,21.670521,24.044,18.1917844,12.68542669,,5.49,16.10436375,6.094354052,11.2278065,4.254295731
98,1550893640,20190222_watercolumn-voltammetry_NF18-2-98,158.46,55.877,5.50330679,21.678383,24.71,20.452921,14.26442361,,,,,,
101,1550893687,20190222_watercolumn-voltammetry_NF18-2-101,158.478,55.895,5.505079604,21.672586,23.986,17.9948686,12.55023923,,,,,,
104,1550893734,20190222_watercolumn-voltammetry_NF18-2-104,158.49,55.907,5.50626148,21.670055,23.509,16.3754059,11.42111963,,,,,,
99,1550893655,20190222_watercolumn-voltammetry_NF18-2-99,158.508,55.925,5.508034294,21.676983,,,,,,,,,
100,1550893670,20190222_watercolumn-voltammetry_NF18-2-100,158.515,55.932,5.508723722,21.674252,,,,,,,,,
107,1550893784,20190222_watercolumn-voltammetry_NF18-2-107,159.911,57.328,5.646215289,21.665991,23.606,16.7047306,11.75441666,,,,,,
105,1550893752,20190222_watercolumn-voltammetry_NF18-2-105,159.918,57.335,5.646904716,21.66679,24.143,18.5278993,13.03806031,,,,,,
106,1550893769,20190222_watercolumn-voltammetry_NF18-2-106,159.959,57.376,5.650942792,21.665991,23.588,16.6436188,11.71493023,,,,,,
108,1550893800,20190222_watercolumn-voltammetry_NF18-2-108,161.335,58.752,5.786464566,21.661194,24.986,21.3899686,15.18395302,,5.70,17.77215004,2.040330929,12.55286647,1.462038027
109,1550893816,20190222_watercolumn-voltammetry_NF18-2-109,161.372,58.789,5.790108683,21.663459,23.279,15.5945329,11.07297214,,,,,,
111,1550893849,20190222_watercolumn-voltammetry_NF18-2-111,163.217,60.634,5.971822108,21.655597,20.222,5.2157122,3.745258226,,,,,,
110,1550893832,20190222_watercolumn-voltammetry_NF18-2-110,163.235,60.652,5.973594922,21.659461,22.245,12.0839995,8.678739835,,5.98,8.7047433,2.805040761,6.253123227,2.014924944
112,1550893865,20190222_watercolumn-voltammetry_NF18-2-112,163.37,60.787,5.986891026,21.655397,21.282,8.8145182,6.335371621,,,,,,
114,1550893897,20190222_watercolumn-voltammetry_NF18-2-114,165.119,62.536,6.159149443,21.649201,20.276,5.3990476,3.921637206,0.80,,,,,
113,1550893880,20190222_watercolumn-voltammetry_NF18-2-113,165.125,62.542,6.159740381,21.65,,,,,,,,,
116,1550893929,20190222_watercolumn-voltammetry_NF18-2-116,165.186,62.603,6.165748251,21.649467,18.903,0.7375753,0.535963075,0.20,6.18,1.8975678,2.522466132,1.378060358,1.832479534
117,1550893946,20190222_watercolumn-voltammetry_NF18-2-117,165.478,62.895,6.194507232,21.648002,,,,,,,,,
115,1550893913,20190222_watercolumn-voltammetry_NF18-2-115,165.496,62.913,6.196280046,21.649268,,,,1.09,,,,,
