p,rh,t,ts
101.394,46.69,33.562,1550792623.2069979
101.392,46.67,33.556,1550792625.674098
101.394,46.65,33.559,1550792628.1437619
101.392,46.6,33.557,1550792630.6158102
101.393,46.55,33.56,1550792633.0847504
101.391,46.51,33.562,1550792635.5558274
101.39,46.48,33.565,1550792638.0253918
101.394,46.49,33.569,1550792640.4948282
101.395,46.52,33.578,1550792642.9620366
101.393,46.6,33.576,1550792645.4292707
101.396,46.79,33.582,1550792647.891877
101.395,46.92,33.586,1550792650.35901
101.394,46.91,33.583,1550792652.8262339
101.395,46.9,33.59,1550792655.294068
101.395,46.88,33.59,1550792657.7628498
101.39,46.81,33.585,1550792660.230192
101.395,46.73,33.594,1550792662.6997592
101.393,46.68,33.596,1550792665.1648629
101.395,46.61,33.595,1550792667.632508
101.392,46.52,33.592,1550792670.099836
101.392,46.49,33.589,1550792672.5670464
101.396,46.49,33.587,1550792675.0346122
101.394,46.48,33.582,1550792677.5023484
101.392,46.48,33.584,1550792679.9623566
101.394,46.46,33.574,1550792682.4234686
101.391,46.44,33.576,1550792684.8919494
101.392,46.44,33.575,1550792687.3549144
101.39,46.4,33.582,1550792689.8249907
101.392,46.38,33.58,1550792692.2949216
101.393,46.39,33.584,1550792694.763823
101.391,46.37,33.583,1550792697.2321007
101.392,46.39,33.59,1550792699.7020135
101.391,46.42,33.587,1550792702.1705134
101.389,46.46,33.589,1550792704.6398437
101.391,46.51,33.594,1550792707.1025627
101.393,46.57,33.592,1550792709.571362
101.393,46.61,33.59,1550792712.0401564
101.393,46.61,33.585,1550792714.5129237
101.394,46.64,33.584,1550792716.981337
101.395,46.66,33.59,1550792719.4422784
101.395,46.67,33.588,1550792721.9119544
101.391,46.68,33.582,1550792724.3789918
101.393,46.7,33.577,1550792726.8381145
101.393,46.71,33.588,1550792729.305918
101.394,46.69,33.595,1550792731.7746918
101.393,46.69,33.6,1550792734.2436266
101.394,46.68,33.607,1550792736.7124803
101.392,46.66,33.607,1550792739.181722
101.391,46.64,33.615,1550792741.6490002
101.392,46.61,33.619,1550792744.1166067
101.393,46.57,33.622,1550792746.5840428
101.392,46.57,33.628,1550792749.0506063
101.396,46.59,33.63,1550792751.5191865
101.394,46.6,33.628,1550792753.986554
101.392,46.59,33.63,1550792756.4538927
101.393,46.56,33.633,1550792758.912017
101.396,46.57,33.626,1550792761.3790612
101.394,46.63,33.623,1550792763.8462095
101.394,46.65,33.618,1550792766.3137774
101.39,46.66,33.623,1550792768.782833
101.393,46.66,33.62,1550792771.252013
101.394,46.64,33.621,1550792773.7143834
101.392,46.62,33.616,1550792776.1829567
101.391,46.65,33.618,1550792778.641989
101.392,46.69,33.619,1550792781.1111038
101.393,46.72,33.617,1550792783.5747683
101.391,46.72,33.618,1550792786.0356615
101.393,46.68,33.614,1550792788.5052166
101.393,46.66,33.615,1550792790.9739783
101.391,46.62,33.612,1550792793.4421244
101.391,46.61,33.61,1550792795.9092412
101.392,46.64,33.614,1550792798.3761516
101.392,46.64,33.614,1550792800.8432646
101.391,46.66,33.617,1550792803.3022218
101.391,46.67,33.612,1550792805.7692003
101.394,46.7,33.617,1550792808.2403362
101.39,46.75,33.611,1550792810.702871
101.393,46.8,33.609,1550792813.174109
101.394,46.87,33.617,1550792815.641287
101.393,46.89,33.615,1550792818.1086996
101.39,46.9,33.625,1550792820.5759053
101.393,46.91,33.629,1550792823.0422404
101.392,46.91,33.633,1550792825.5020015
101.397,46.92,33.636,1550792827.9692664
101.391,46.93,33.64,1550792830.4365644
101.393,46.93,33.647,1550792832.9040213
101.391,46.93,33.645,1550792835.3716123
101.391,46.93,33.653,1550792837.8323936
101.391,46.92,33.657,1550792840.2921045
101.391,46.88,33.657,1550792842.7522085
101.392,46.86,33.664,1550792845.2196858
101.395,46.84,33.664,1550792847.6878002
101.393,46.79,33.67,1550792850.1549857
101.391,46.73,33.677,1550792852.6222668
101.393,46.71,33.679,1550792855.0896926
101.393,46.68,33.678,1550792857.5566335
101.393,46.64,33.675,1550792860.0299346
101.391,46.59,33.678,1550792862.4988987
101.391,46.56,33.677,1550792864.9664192
101.393,46.54,33.682,1550792867.4320672
101.393,46.56,33.682,1550792869.9003258
101.392,46.62,33.681,1550792872.3674924
101.392,46.65,33.667,1550792874.8357108
101.393,46.68,33.661,1550792877.302692
