Conductivity,Density,Salinity,SN,Soundspeed,Temperature,ts,p_int,rh_int,t_int,Chlorophyll,date,Thermistor,time,Turbidity,AirSaturation,O2Concentration,SN_bottlebone.optode,Temperature_bottlebone.optode,p,rh,t,alt,lat,long,ts_gps,alx,b,Deg.C,depth_m,dt,g,kPa,r,w,wlx,station
55.659,1009.222,25.461,1719,1559.667,44.135,1550793771,113.464,8.77,46.203,103,02/21/19,499,14:02:39,503,90.864,172.773,831,43.398,101.376,44.74,33.794,19.101,21.88546805,-159.5276507,2019-02-22T00:02:48.000Z,2512.2,625.4,36.383,0.1248357,2019-02-21T14:02:46.770869,1786.2,105.46,1812.3,3241.1,3421.3,2
55.315,1009.155,25.321,1719,1559.429,44.052,1550793772,113.464,8.77,46.203,107,02/21/19,499,14:02:41,299,90.864,172.773,831,43.398,101.377,44.77,33.792,19.101,21.88546805,-159.5276507,2019-02-22T00:02:48.000Z,2413.4,607.1,35.949,0.19083735,2019-02-21T14:02:48.171394,1730,106.123,1769.6,3183.2,3313.9,2
54.901,1009.171,25.209,1719,1559.025,43.819,1550793773,113.673,8.95,46.161,107,02/21/19,499,14:02:41,299,95.246,183.825,831,42.422,101.377,44.77,33.792,19.101,21.88546805,-159.5276507,2019-02-22T00:02:48.000Z,2413.4,607.1,35.949,0.19083735,2019-02-21T14:02:48.171394,1730,106.123,1769.6,3183.2,3313.9,2
54.749,1009.335,25.26,1719,1558.687,43.52,1550793773,113.673,8.95,46.161,107,02/21/19,499,14:02:43,287,95.246,183.825,831,42.422,101.377,44.77,33.792,19.101,21.88546805,-159.5276507,2019-02-22T00:02:49.000Z,2230.8,555.5,35.489,0.2819256,2019-02-21T14:02:49.572297,1597.9,107.038,1649.8,3005.8,3093.3,2
54.627,1009.56,25.357,1719,1558.298,43.154,1550793774,113.673,8.95,46.161,107,02/21/19,499,14:02:43,287,102.734,201.024,831,41.527,101.376,44.81,33.788,19.473,21.88547643,-159.5276507,2019-02-22T00:02:50.000Z,2230.8,555.5,35.489,0.2819256,2019-02-21T14:02:49.572297,1597.9,107.038,1649.8,3005.8,3093.3,2
54.89,1009.962,25.673,1719,1558.057,42.746,1550793775,113.673,8.95,46.161,109,02/21/19,499,14:02:44,289,102.734,201.024,831,41.527,101.376,44.81,33.788,19.149,21.88547761,-159.5276598,2019-02-22T00:02:51.000Z,2189.9,551.7,35.083,0.3617647,2019-02-21T14:02:50.971869,1595.4,107.84,1656.8,2995.7,3055.6,2
54.911,1010.273,25.866,1719,1557.691,42.34,1550793776,113.673,8.95,46.161,111,02/21/19,499,14:02:45,288,106.448,210.916,831,40.716,101.376,44.81,33.788,19.149,21.88547761,-159.5276598,2019-02-22T00:02:51.000Z,2189.9,551.7,35.083,0.3617647,2019-02-21T14:02:50.971869,1595.4,107.84,1656.8,2995.7,3055.6,2
54.426,1010.392,25.796,1719,1557.053,41.927,1550793776,113.673,8.95,46.161,111,02/21/19,499,14:02:45,288,106.448,210.916,831,40.716,101.376,44.81,33.788,19.149,21.88547761,-159.5276598,2019-02-22T00:02:52.000Z,2199,543.9,34.731,0.36425345,2019-02-21T14:02:52.371759,1575.5,107.865,1640.2,2981.9,3048.5,2
54.446,1010.703,25.992,1719,1556.669,41.52,1550793777,113.673,8.95,46.161,111,02/21/19,499,14:02:46,277,110.39,221.091,831,40.024,101.374,44.86,33.782,19.522,21.88548599,-159.5276598,2019-02-22T00:02:53.000Z,2199,543.9,34.731,0.36425345,2019-02-21T14:02:52.371759,1575.5,107.865,1640.2,2981.9,3048.5,2
54.424,1011.04,26.193,1719,1556.203,41.058,1550793778,113.673,8.95,46.161,108,02/21/19,499,14:02:47,292,111.189,225.678,831,39.17,101.374,44.86,33.782,18.652,21.88548914,-159.5276564,2019-02-22T00:02:54.000Z,2226.2,559.2,34.403,0.4396128,2019-02-21T14:02:53.776132,1596.4,108.622,1662.3,3026.2,3095.7,2
