alx,b,Deg.C,depth_m,dt,g,kPa,r,w,wlx,ts
1156.1,451.8,22.216,0.0436029,2019-02-21T18:16:11.375016,822.5,103.61,806.1,3076.8,3126.4,1550808974.33246
1160.3,451.3,22.217,0.04031775,2019-02-21T18:16:12.776833,820.7,103.577,806.1,3073.8,3133.5,1550808975.73427
1154,450.5,22.216,0.0436029,2019-02-21T18:16:14.172586,818.7,103.61,804.6,3072.5,3145.3,1550808977.13002
1154,450.3,22.216,0.04429975,2019-02-21T18:16:15.575171,821,103.617,803.4,3072.5,3128.8,1550808978.53261
1151.8,449.8,22.216,0.04828175,2019-02-21T18:16:16.971760,817.2,103.657,803.1,3067,3135.9,1550808979.92920
1149.7,449.2,22.212,0.0428065,2019-02-21T18:16:18.368465,818.2,103.602,802.1,3067,3119.3,1550808981.32590
1149.7,448.7,22.214,0.04230875,2019-02-21T18:16:19.768674,818,103.597,801.6,3063.7,3114.6,1550808982.72611
1145.5,447.7,22.212,0.04569345,2019-02-21T18:16:21.163928,816.2,103.631,799.8,3060.7,3124.1,1550808984.12136
1145.5,446.7,22.21,0.0475849,2019-02-21T18:16:22.559556,815.9,103.65,799.6,3058.2,3109.9,1550808985.51699
1145.5,446.7,22.21,0.0493768,2019-02-21T18:16:23.954950,815.4,103.668,799.1,3056.9,3107.5,1550808986.91238
1143.4,446.7,22.211,0.04091505,2019-02-21T18:16:25.350238,813.7,103.583,798.1,3055.6,3100.4,1550808988.30768
1139.2,446.2,22.207,0.04031775,2019-02-21T18:16:26.750426,814.2,103.577,798.3,3053.1,3114.6,1550808989.70786
1139.2,445.2,22.206,0.0451957,2019-02-21T18:16:28.146736,811.7,103.626,796.6,3051.1,3098.1,1550808991.10418
1141.3,444.7,22.204,0.0408155,2019-02-21T18:16:29.542754,813.4,103.582,795.1,3050.6,3095.7,1550808992.50020
1137.1,444.2,22.204,0.0430056,2019-02-21T18:16:30.937202,811.9,103.604,795.8,3046.8,3095.7,1550808993.89464
1141.3,444.2,22.205,0.0408155,2019-02-21T18:16:32.332702,810.2,103.582,794.6,3045.1,3109.9,1550808995.29015
1137.1,443.2,22.202,0.03872495,2019-02-21T18:16:33.733068,808.1,103.561,792,3042.3,3091,1550808996.69051
1134.9,442.7,22.2,0.0434038,2019-02-21T18:16:35.129728,806.9,103.608,792.5,3040.8,3095.7,1550808998.08717
1130.7,441.7,22.2,0.0430056,2019-02-21T18:16:36.525318,808.6,103.604,792,3039.5,3081.5,1550808999.48276
1130.7,442.2,22.198,0.04449885,2019-02-21T18:16:37.920833,807.1,103.619,791.3,3038.5,3079.2,1550809000.87827
1128.6,441.7,22.196,0.0396209,2019-02-21T18:16:39.317129,807.4,103.57,790.5,3035.8,3072.1,1550809002.27457
1128.6,441.7,22.195,0.04350335,2019-02-21T18:16:40.717692,805.6,103.609,790,3034.8,3083.9,1550809003.67513
1126.5,441.7,22.193,0.05067095,2019-02-21T18:16:42.113047,805.1,103.681,789.5,3034.5,3069.7,1550809005.07048
1128.6,441.2,22.195,0.04250785,2019-02-21T18:16:43.508644,806.1,103.599,788.5,3032.5,3072.1,1550809006.46608
1126.5,441.2,22.191,0.03713215,2019-02-21T18:16:44.905079,805.9,103.545,788,3031.2,3069.7,1550809007.86251
1126.5,441.7,22.19,0.03832675,2019-02-21T18:16:46.300885,802.6,103.557,787.5,3030.7,3093.3,1550809009.25832
1122.3,441.2,22.193,0.0426074,2019-02-21T18:16:47.702138,802.6,103.6,786.5,3028.7,3100.4,1550809010.65957
1126.5,441.2,22.19,0.04549435,2019-02-21T18:16:49.098873,804.1,103.629,787.3,3029,3081.5,1550809012.05631
1122.3,440.9,22.188,0.0453948,2019-02-21T18:16:50.494934,800.8,103.628,788.5,3028,3091,1550809013.45237
1122.3,440.4,22.189,0.0461912,2019-02-21T18:16:51.890891,801.6,103.636,787.5,3027,3072.1,1550809014.84833
1120.2,440.4,22.186,0.0473858,2019-02-21T18:16:53.286603,802.4,103.648,785,3027.2,3086.2,1550809016.24404
1120.2,440.2,22.185,0.04688805,2019-02-21T18:16:54.687042,802.4,103.643,785.5,3025.2,3079.2,1550809017.64448
1122.3,439.9,22.184,0.0420101,2019-02-21T18:16:56.084997,800.6,103.594,786,3024.2,3067.4,1550809019.04244
1122.3,439.7,22.186,0.04549435,2019-02-21T18:16:57.480532,799.8,103.629,785,3025.2,3057.9,1550809020.43797
1124.4,439.2,22.183,0.04350335,2019-02-21T18:16:58.881012,798.8,103.609,784,3024.2,3060.3,1550809021.83846
1116,438.7,22.182,0.04350335,2019-02-21T18:17:00.276760,802.4,103.609,784,3023.4,3057.9,1550809023.23420
1116,439.2,22.184,0.03982,2019-02-21T18:17:01.679233,798.8,103.572,783.5,3024.2,3065,1550809024.63667
1116,438.4,22.186,0.03982,2019-02-21T18:17:03.079308,798.1,103.572,783.5,3024.9,3067.4,1550809026.03674
1113.8,438.2,22.18,0.0447975,2019-02-21T18:17:04.475836,798.6,103.622,783.5,3022.7,3069.7,1550809027.43328
1113.8,437.2,22.181,0.043802,2019-02-21T18:17:05.877391,795.3,103.612,783.5,3024.7,3074.4,1550809028.83483
1111.7,436.7,22.182,0.04429975,2019-02-21T18:17:07.272785,793.5,103.617,782.5,3023.2,3057.9,1550809030.23023
1113.8,436.7,22.179,0.0434038,2019-02-21T18:17:08.674007,793.5,103.608,782,3025.2,3057.9,1550809031.63144
1111.7,437.4,22.179,0.043802,2019-02-21T18:17:10.070081,795.1,103.612,781.5,3022.9,3060.3,1550809033.02752
1111.7,436.7,22.178,0.0445984,2019-02-21T18:17:11.470906,793.8,103.62,780.5,3022.4,3072.1,1550809034.42834
1109.6,436.2,22.18,0.0404173,2019-02-21T18:17:12.871366,796.1,103.578,780.5,3023.4,3062.6,1550809035.82881
1111.7,436.2,22.178,0.0396209,2019-02-21T18:17:14.267021,793.3,103.57,779.5,3022.9,3067.4,1550809037.22445
1107.5,435.7,22.173,0.04131325,2019-02-21T18:17:15.669721,792.3,103.587,779.2,3023.7,3072.1,1550809038.62716
1109.6,435.7,22.173,0.04489705,2019-02-21T18:17:17.066515,792.5,103.623,777.9,3024.9,3060.3,1550809040.02395
1109.6,435.4,22.17,0.0424083,2019-02-21T18:17:18.462325,791,103.598,778.4,3024.4,3057.9,1550809041.41976
1109.6,435.9,22.171,0.0440011,2019-02-21T18:17:19.865110,787.3,103.614,777.7,3024.7,3088.6,1550809042.82255
1107.5,434.4,22.173,0.04708715,2019-02-21T18:17:21.261775,789,103.645,777.7,3024.4,3069.7,1550809044.21921
1105.4,434.7,22.17,0.0374308,2019-02-21T18:17:22.662118,787,103.548,777.4,3025.4,3062.6,1550809045.61956
1105.4,435.7,22.167,0.0440011,2019-02-21T18:17:24.057962,786.5,103.614,777.9,3025.7,3060.3,1550809047.01540
1103.3,435.2,22.166,0.0410146,2019-02-21T18:17:25.457330,787,103.584,776.4,3023.4,3053.2,1550809048.41477
1103.3,435.4,22.166,0.0443993,2019-02-21T18:17:26.858349,785,103.618,777.9,3022.2,3062.6,1550809049.81578
1099.1,433.1,22.167,0.04390155,2019-02-21T18:17:28.253836,785.5,103.613,776.7,3023.4,3065,1550809051.21128
1103.3,433.1,22.166,0.04390155,2019-02-21T18:17:29.654058,783.7,103.613,774.4,3022.7,3079.2,1550809052.61149
1101.2,431.1,22.169,0.0443993,2019-02-21T18:17:31.049425,782.5,103.618,774.2,3023.4,3065,1550809054.00687
1099.1,433.9,22.162,0.04330425,2019-02-21T18:17:32.444789,782.2,103.607,774.4,3023.2,3079.2,1550809055.40223
1097,431.6,22.159,0.04410065,2019-02-21T18:17:33.845411,779.5,103.615,772.7,3022.2,3065,1550809056.80285
1097,432.6,22.157,0.0416119,2019-02-21T18:17:35.240997,780,103.59,772.9,3021.2,3072.1,1550809058.19843
1101.2,430.9,22.16,0.04489705,2019-02-21T18:17:36.642335,782.7,103.623,773.9,3022.2,3079.2,1550809059.59978
1097,432.1,22.16,0.04808265,2019-02-21T18:17:38.038926,779.2,103.655,773.4,3020.4,3060.3,1550809060.99636
1099.1,431.1,22.155,0.04410065,2019-02-21T18:17:39.434430,780,103.615,770.6,3019.4,3079.2,1550809062.39187
1097,429.6,22.153,0.0473858,2019-02-21T18:17:40.835958,777.7,103.648,771.7,3018.6,3069.7,1550809063.79340
1094.9,430.4,22.154,0.0469876,2019-02-21T18:17:42.232253,778.4,103.644,769.6,3019.9,3072.1,1550809065.18970
1092.8,429.1,22.156,0.04131325,2019-02-21T18:17:43.633585,774.9,103.587,769.4,3016.9,3046.1,1550809066.59102
1090.7,428.9,22.153,0.04549435,2019-02-21T18:17:45.031083,778.9,103.629,769.4,3016.9,3062.6,1550809067.98852
1090.7,427.4,22.153,0.0436029,2019-02-21T18:17:46.428060,776.4,103.61,768.9,3016.4,3069.7,1550809069.38549
1097,428.9,22.154,0.04390155,2019-02-21T18:17:47.829122,775.9,103.613,769.6,3015.6,3067.4,1550809070.78656
1090.7,430.9,22.152,0.0414128,2019-02-21T18:17:49.224745,776.4,103.588,768.4,3017.4,3048.5,1550809072.18217
1088.6,429.4,22.151,0.0428065,2019-02-21T18:17:50.625941,773.9,103.602,768.6,3015.4,3050.8,1550809073.58338
1094.9,428.6,22.151,0.03753035,2019-02-21T18:17:52.021285,774.4,103.549,766.9,3014.4,3062.6,1550809074.97872
1090.7,428.1,22.15,0.0424083,2019-02-21T18:17:53.420286,771.7,103.598,765.4,3014.9,3065,1550809076.37773
1086.5,425.1,22.151,0.0467885,2019-02-21T18:17:54.821360,774.2,103.642,765.9,3011.1,3057.9,1550809077.77880
1086.5,434.9,22.147,0.0485804,2019-02-21T18:17:56.218450,791.3,103.66,780,3032.2,3062.6,1550809079.17589
1092.8,427.6,22.148,0.04410065,2019-02-21T18:17:57.619407,774.9,103.615,765.4,3012.9,3046.1,1550809080.57685
1086.5,424.8,22.145,0.04469795,2019-02-21T18:17:59.016782,774.7,103.621,767.9,3012.9,3060.3,1550809081.97422
1090.7,427.1,22.14,0.0449966,2019-02-21T18:18:00.414955,772.4,103.624,765.6,3014.4,3057.9,1550809083.37240
1084.4,426.6,22.144,0.0408155,2019-02-21T18:18:01.815466,773.7,103.582,765.1,3011.1,3055.6,1550809084.77290
1084.4,431.4,22.143,0.04191055,2019-02-21T18:18:03.210877,786.5,103.593,779.5,3031.7,3050.8,1550809086.16831
1084.4,427.1,22.139,0.0412137,2019-02-21T18:18:04.610943,769.4,103.586,764.9,3013.9,3060.3,1550809087.56838
1082.3,428.1,22.139,0.03912315,2019-02-21T18:18:06.007246,772.4,103.565,763.6,3015.6,3072.1,1550809088.96468
1080.2,428.6,22.135,0.0410146,2019-02-21T18:18:07.406358,772.7,103.584,763.3,3014.9,3053.2,1550809090.36380
1082.3,425.6,22.139,0.04091505,2019-02-21T18:18:08.807551,771.9,103.583,763.1,3015.6,3050.8,1550809091.76499
1082.3,424.1,22.135,0.045793,2019-02-21T18:18:10.203060,768.6,103.632,763.8,3016.1,3046.1,1550809093.16050
1080.2,426.1,22.133,0.04151235,2019-02-21T18:18:11.604887,768.9,103.589,762.8,3015.6,3062.6,1550809094.56232
1084.4,425.6,22.134,0.04310515,2019-02-21T18:18:13.001262,768.4,103.605,762.8,3017.1,3074.4,1550809095.95870
1078.1,428.6,22.132,0.0424083,2019-02-21T18:18:14.397513,766.6,103.598,762.8,3016.6,3062.6,1550809097.35495
1078.1,425.1,22.131,0.0394218,2019-02-21T18:18:15.797743,766.6,103.568,761.8,3016.9,3067.4,1550809098.75518
1076,423.6,22.127,0.0436029,2019-02-21T18:18:17.193051,767.4,103.61,762.1,3014.6,3074.4,1550809100.15049
1078.1,424.6,22.124,0.041811,2019-02-21T18:18:18.593994,764.1,103.592,760.8,3015.4,3053.2,1550809101.55144
1080.2,424.6,22.123,0.04031775,2019-02-21T18:18:19.990401,766.1,103.577,761.3,3015.4,3055.6,1550809102.94784
1076,425.8,22.126,0.04449885,2019-02-21T18:18:21.389498,765.9,103.619,760.1,3015.9,3065,1550809104.34694
1078.1,420.8,22.122,0.0386254,2019-02-21T18:18:22.792793,763.6,103.56,760.3,3016.6,3067.4,1550809105.75024
999,421.1,22.121,0.04648985,2019-02-21T18:18:24.188685,763.3,103.639,760.1,3016.9,3053.2,1550809107.14613
997.2,419.8,22.12,0.04410065,2019-02-21T18:18:25.587581,761.6,103.615,759.3,3014.6,3053.2,1550809108.54502
1076,424.8,22.118,0.04708715,2019-02-21T18:18:26.980850,762.3,103.645,760.6,3015.4,3074.4,1550809109.93828
999,421.3,22.116,0.03912315,2019-02-21T18:18:28.376279,761.8,103.565,758.3,3016.1,3072.1,1550809111.33372
997.2,418.8,22.116,0.0440011,2019-02-21T18:18:29.775202,764.1,103.614,760.8,3015.6,3057.9,1550809112.73264
995.3,419,22.112,0.04270695,2019-02-21T18:18:31.169795,763.1,103.601,759.3,3016.1,3057.9,1550809114.12723
997.2,424.6,22.113,0.0453948,2019-02-21T18:18:32.563337,759.8,103.628,758.3,3015.9,3050.8,1550809115.52077
997.2,420.3,22.111,0.0384263,2019-02-21T18:18:33.957953,758.8,103.558,757.8,3016.9,3074.4,1550809116.91539
995.3,418.3,22.108,0.0455939,2019-02-21T18:18:35.351949,759.8,103.63,758.8,3017.1,3046.1,1550809118.30939
997.2,423.1,22.109,0.0467885,2019-02-21T18:18:36.750369,760.8,103.642,758.1,3017.4,3050.8,1550809119.70781
993.5,418.5,22.106,0.04589255,2019-02-21T18:18:38.144727,758.8,103.633,758.1,3019.2,3079.2,1550809121.10217
993.5,421.3,22.109,0.0414128,2019-02-21T18:18:39.538150,760.3,103.588,756.8,3016.1,3062.6,1550809122.49558
993.5,417,22.106,0.0449966,2019-02-21T18:18:40.932342,759.8,103.624,757.3,3017.6,3050.8,1550809123.88978
995.3,418.5,22.105,0.0434038,2019-02-21T18:18:42.326483,755.3,103.608,756.3,3017.4,3046.1,1550809125.28392
991.6,418.5,22.105,0.05027275,2019-02-21T18:18:43.725199,756.3,103.677,756.3,3017.1,3060.3,1550809126.68264
993.5,418,22.107,0.04310515,2019-02-21T18:18:45.119015,757.8,103.605,756.3,3016.9,3072.1,1550809128.07646
991.6,418,22.107,0.0459921,2019-02-21T18:18:46.514659,756,103.634,754.8,3018.4,3048.5,1550809129.47209
991.6,417,22.104,0.04668895,2019-02-21T18:18:47.907466,756.3,103.641,755.8,3019.4,3072.1,1550809130.86491
988,414.8,22.108,0.0430056,2019-02-21T18:18:49.301522,756,103.604,755.8,3020.4,3081.5,1550809132.25897
988,418.5,22.106,0.04728625,2019-02-21T18:18:50.701785,755.8,103.647,755.8,3020.2,3067.4,1550809133.65922
989.8,416,22.106,0.04191055,2019-02-21T18:18:52.097613,753.5,103.593,755.3,3022.9,3081.5,1550809135.05506
989.8,417,22.103,0.0507705,2019-02-21T18:18:53.491027,753.8,103.682,754.3,3022.4,3088.6,1550809136.44846
988,416.5,22.104,0.04788355,2019-02-21T18:18:54.885288,753.5,103.653,754.8,3023.2,3057.9,1550809137.84273
989.8,414.8,22.106,0.04350335,2019-02-21T18:18:56.280291,752.3,103.609,754.3,3023.7,3076.8,1550809139.23773
986.1,412,22.106,0.04609165,2019-02-21T18:18:57.680881,752.8,103.635,754.8,3023.2,3055.6,1550809140.63832
991.6,412.3,22.106,0.04071595,2019-02-21T18:18:59.076510,751.8,103.581,755.3,3025.7,3055.6,1550809142.03395
986.1,413.5,22.103,0.04549435,2019-02-21T18:19:00.470604,752.8,103.629,753.8,3025.2,3072.1,1550809143.42804
984.3,412,22.105,0.04111415,2019-02-21T18:19:01.869551,751.5,103.585,754.3,3025.2,3065,1550809144.82699
984.3,410.5,22.108,0.0424083,2019-02-21T18:19:03.262905,752,103.598,754.3,3027.5,3081.5,1550809146.22034
984.3,410,22.103,0.0428065,2019-02-21T18:19:04.661816,752.5,103.602,754.8,3028.5,3074.4,1550809147.61926
986.1,409.5,22.103,0.0392227,2019-02-21T18:19:06.056827,754.3,103.566,756,3028.7,3072.1,1550809149.01426
984.3,409.5,22.103,0.0453948,2019-02-21T18:19:07.450381,752.3,103.628,755.3,3029.7,3091,1550809150.40781
988,408.7,22.101,0.04410065,2019-02-21T18:19:08.849355,752.5,103.615,753.8,3031,3081.5,1550809151.80679
982.4,409.2,22.1,0.04410065,2019-02-21T18:19:10.243797,753.3,103.615,754.5,3034,3083.9,1550809153.20123
982.4,408.5,22.103,0.0408155,2019-02-21T18:19:11.647476,750.5,103.582,754.3,3032.2,3072.1,1550809154.60491
982.4,408.7,22.102,0.04429975,2019-02-21T18:19:13.041492,751,103.617,755.8,3034.8,3086.2,1550809155.99893
984.3,408.7,22.102,0.0426074,2019-02-21T18:19:14.435833,750.8,103.6,755.8,3037,3083.9,1550809157.39327
