p_int,rh_int,t_int,ts
107.437,9.19,31.816,1550808981.7985623
107.436,9.19,31.815,1550808992.3261151
107.436,9.19,31.822,1550809002.8311412
107.436,9.2,31.821,1550809013.3548348
107.437,9.19,31.813,1550809023.8755617
107.432,9.19,31.803,1550809034.4113517
107.429,9.19,31.8,1550809044.9336264
107.431,9.19,31.8,1550809055.4636438
107.427,9.19,31.798,1550809065.9593325
107.43,9.19,31.79,1550809076.4861875
107.426,9.19,31.774,1550809087.0340908
107.428,9.19,31.789,1550809097.5188274
107.425,9.19,31.788,1550809108.0230472
107.425,9.19,31.789,1550809118.526673
107.422,9.19,31.777,1550809129.0327113
107.42,9.19,31.764,1550809139.567751
107.423,9.19,31.769,1550809150.0736327
107.42,9.18,31.765,1550809160.5995946
107.418,9.18,31.753,1550809171.1365013
107.419,9.19,31.759,1550809181.6664042
107.417,9.18,31.753,1550809192.2133157
107.417,9.18,31.751,1550809202.7586255
107.417,9.18,31.736,1550809213.3220654
107.416,9.18,31.74,1550809223.8324125
107.414,9.19,31.723,1550809234.362623
107.414,9.18,31.731,1550809244.8428426
107.413,9.18,31.739,1550809255.3388376
107.411,9.18,31.716,1550809265.8784845
107.413,9.18,31.728,1550809276.4149973
107.41,9.18,31.726,1550809286.944401
107.409,9.17,31.709,1550809297.4758337
107.411,9.17,31.719,1550809307.979871
107.411,9.17,31.705,1550809318.5163267
107.407,9.18,31.701,1550809329.047077
107.407,9.17,31.707,1550809339.5756578
107.405,9.17,31.71,1550809350.082113
107.402,9.17,31.704,1550809360.5943182
107.403,9.18,31.697,1550809371.1333585
107.401,9.18,31.699,1550809381.6534863
107.402,9.17,31.7,1550809392.1604214
107.401,9.17,31.696,1550809402.6754072
107.397,9.18,31.695,1550809413.2059903
107.398,9.18,31.69,1550809423.7311487
107.402,9.17,31.691,1550809434.2406137
107.398,9.17,31.689,1550809444.7624907
107.397,9.17,31.681,1550809455.306124
107.4,9.17,31.688,1550809465.810586
107.396,9.18,31.674,1550809476.3661318
107.394,9.17,31.676,1550809486.8876624
107.397,9.17,31.673,1550809497.3801494
107.395,9.17,31.669,1550809507.878542
107.395,9.17,31.658,1550809518.4172773
107.393,9.17,31.665,1550809528.934341
107.398,9.17,31.668,1550809539.4518628
107.393,9.17,31.659,1550809549.935548
107.395,9.17,31.664,1550809560.4489956
107.391,9.17,31.651,1550809570.98693
107.395,9.17,31.654,1550809581.5039763
107.389,9.17,31.648,1550809592.0387318
107.392,9.17,31.656,1550809602.5391169
107.392,9.17,31.668,1550809613.180545
104.733,12.75,21.673,1550855276.5988872
104.746,12.72,21.738,1550855304.8323963
104.755,12.7,21.843,1550855315.4384573
104.763,12.69,21.887,1550855325.97606
104.768,12.67,21.934,1550855336.5089312
104.773,12.65,21.988,1550855347.0428083
104.779,12.63,22.036,1550855357.5723813
104.786,12.6,22.084,1550855368.0807402
104.79,12.58,22.129,1550855378.582892
104.793,12.56,22.175,1550855389.1075046
104.799,12.54,22.215,1550855399.6375318
104.803,12.52,22.253,1550855410.1652107
104.812,12.49,22.298,1550855420.6835775
104.815,12.47,22.332,1550855431.1836183
104.821,12.46,22.361,1550855441.6652415
104.826,12.44,22.411,1550855452.1833124
104.83,12.42,22.422,1550855462.7381868
104.835,12.39,22.47,1550855473.2916443
104.84,12.38,22.497,1550855483.7804415
104.842,12.36,22.538,1550855494.308375
104.848,12.33,22.577,1550855504.842473
104.857,12.31,22.615,1550855515.370579
104.859,12.28,22.663,1550855525.8942306
104.862,12.26,22.696,1550855536.4301667
104.868,12.24,22.733,1550855546.9364626
104.872,12.21,22.764,1550855557.4562833
104.878,12.19,22.791,1550855567.9902272
104.88,12.17,22.822,1550855578.5229506
104.888,12.15,22.835,1550855589.008107
