p,rh,t,ts
101.394,54.06,30.292,1550809367.21376
101.398,53.88,30.278,1550809369.68283
101.396,53.78,30.273,1550809372.15667
101.397,53.75,30.261,1550809374.61959
101.398,53.66,30.255,1550809377.08668
101.396,53.53,30.245,1550809379.55386
101.398,53.46,30.24,1550809382.02112
101.395,53.41,30.235,1550809384.48980
101.399,53.33,30.231,1550809386.95827
101.398,53.24,30.218,1550809389.42577
101.396,53.19,30.213,1550809391.89278
101.398,53.2,30.215,1550809394.36041
101.397,53.31,30.21,1550809396.82753
101.399,53.45,30.193,1550809399.29427
101.396,53.54,30.184,1550809401.75220
101.397,53.58,30.158,1550809404.22151
101.398,53.58,30.142,1550809406.68871
101.399,53.55,30.118,1550809409.15569
101.396,53.5,30.104,1550809411.62324
101.396,53.44,30.087,1550809414.08924
101.397,53.41,30.08,1550809416.54983
101.399,53.41,30.072,1550809419.00938
101.396,53.39,30.062,1550809421.47646
101.395,53.34,30.053,1550809423.94357
101.395,53.29,30.05,1550809426.41239
101.394,53.26,30.047,1550809428.87977
101.4,53.26,30.042,1550809431.34758
101.399,53.28,30.042,1550809433.81174
101.399,53.31,30.044,1550809436.27939
101.4,53.32,30.04,1550809438.74952
101.4,53.32,30.037,1550809441.21725
101.4,53.35,30.034,1550809443.68573
101.4,53.4,30.032,1550809446.15785
101.394,53.37,30.023,1550809448.62563
101.397,53.3,30.019,1550809451.09164
101.4,53.23,30.018,1550809453.55988
101.397,53.21,29.998,1550809456.02696
101.4,53.22,29.993,1550809458.49434
101.397,53.22,29.982,1550809460.95949
101.397,53.15,29.972,1550809463.42694
101.397,53.07,29.964,1550809465.89521
101.397,52.96,29.953,1550809468.36265
101.4,52.87,29.932,1550809470.82981
101.398,52.8,29.915,1550809473.29710
101.398,52.77,29.898,1550809475.75941
101.396,52.77,29.875,1550809478.22643
101.397,52.78,29.847,1550809480.69355
101.397,52.8,29.827,1550809483.16070
101.397,52.78,29.8,1550809485.62811
101.398,52.77,29.77,1550809488.09577
101.399,52.76,29.751,1550809490.56281
101.4,52.72,29.73,1550809493.03008
101.403,52.68,29.706,1550809495.48967
101.405,52.64,29.675,1550809497.95681
101.403,52.66,29.656,1550809500.41789
101.402,52.73,29.634,1550809502.88516
101.403,52.76,29.619,1550809505.34950
101.403,52.8,29.598,1550809507.81341
101.4,52.85,29.586,1550809510.27956
101.403,52.89,29.568,1550809512.75041
101.403,52.92,29.562,1550809515.21992
101.405,52.91,29.549,1550809517.68878
101.403,52.9,29.54,1550809520.14985
101.406,52.89,29.53,1550809522.61819
101.405,52.89,29.514,1550809525.09092
101.401,52.9,29.507,1550809527.56171
101.4,52.91,29.505,1550809530.02927
101.401,52.98,29.501,1550809532.49670
101.402,53.05,29.49,1550809534.96342
101.403,53.12,29.484,1550809537.43119
101.402,53.16,29.481,1550809539.89940
101.404,53.2,29.471,1550809542.36655
101.404,53.22,29.467,1550809544.83360
101.402,53.23,29.456,1550809547.30099
101.402,53.24,29.445,1550809549.76915
101.403,53.25,29.428,1550809552.23684
101.401,53.28,29.428,1550809554.70538
101.4,53.36,29.414,1550809557.16943
