Conductivity,Density,Salinity,SN,Soundspeed,Temperature,ts,p_int,rh_int,t_int,Chlorophyll,date,Thermistor,time,Turbidity,AirSaturation,O2Concentration,SN_bottlebone.optode,Temperature_bottlebone.optode,p,rh,t,alt,lat,long,ts_gps,alx,b,Deg.C,depth_m,dt,g,kPa,r,w,wlx
-0.01,997.305,0.013999999999999999,1719,1494.068,24.016,1550808974.9376502,107.43700000000001,9.19,31.816,1919,02/21/19,526,18:16:04,4130,100.12200000000001,258.983,831,24.846,101.385,53.22,30.401999999999997,6.354,21.8846773,-159.5274987,2019-02-22T04:16:12.000Z,1156.1,451.8,22.215999999999998,0.0436029,2019-02-21T18:16:11.375016,822.5,103.61,806.1,3076.8,3126.4
-0.01,997.304,0.013999999999999999,1719,1494.0720000000001,24.017,1550808975.6521394,107.43700000000001,9.19,31.816,1918,02/21/19,526,18:16:05,4130,100.12200000000001,258.983,831,24.846,101.385,53.22,30.401999999999997,6.354,21.8846773,-159.5274987,2019-02-22T04:16:12.000Z,1160.3,451.3,22.217,0.04031775,2019-02-21T18:16:12.776833,820.7,103.57700000000001,806.1,3073.8,3133.5
-0.01,997.298,0.013999999999999999,1719,1494.142,24.043000000000003,1550808976.3688517,107.43700000000001,9.19,31.816,1918,02/21/19,526,18:16:05,4130,100.046,258.788,831,24.846,101.38600000000001,53.22,30.398000000000003,6.354,21.8846773,-159.5274987,2019-02-22T04:16:14.000Z,1160.3,451.3,22.217,0.04031775,2019-02-21T18:16:12.776833,820.7,103.57700000000001,806.1,3073.8,3133.5
-0.01,997.298,0.013999999999999999,1719,1494.142,24.043000000000003,1550808977.086711,107.43700000000001,9.19,31.816,1916,02/21/19,527,18:16:06,4130,100.046,258.788,831,24.846,101.38600000000001,53.22,30.398000000000003,6.354,21.8846773,-159.5274987,2019-02-22T04:16:15.000Z,1154.0,450.5,22.215999999999998,0.0436029,2019-02-21T18:16:14.172586,818.7,103.61,804.6,3072.5,3145.3
-0.01,997.302,0.013999999999999999,1719,1494.098,24.026999999999997,1550808977.8008332,107.43700000000001,9.19,31.816,1917,02/21/19,526,18:16:07,4130,100.166,259.101,831,24.846,101.38600000000001,53.22,30.398000000000003,6.354,21.8846773,-159.5274987,2019-02-22T04:16:15.000Z,1154.0,450.5,22.215999999999998,0.0436029,2019-02-21T18:16:14.172586,818.7,103.61,804.6,3072.5,3145.3
-0.01,997.298,0.013999999999999999,1719,1494.142,24.043000000000003,1550808978.5319242,107.43700000000001,9.19,31.816,1917,02/21/19,526,18:16:07,4130,100.10799999999999,258.953,831,24.845,101.38600000000001,53.22,30.398000000000003,6.354,21.8846773,-159.5274987,2019-02-22T04:16:15.000Z,1154.0,450.3,22.215999999999998,0.04429975,2019-02-21T18:16:15.575171,821.0,103.617,803.4,3072.5,3128.8
-0.009000000000000001,997.304,0.013999999999999999,1719,1494.076,24.019000000000002,1550808979.2468839,107.43700000000001,9.19,31.816,1918,02/21/19,526,18:16:08,4130,100.10799999999999,258.953,831,24.845,101.387,53.29,30.394000000000002,6.354,21.8846773,-159.5274987,2019-02-22T04:16:17.000Z,1151.8,449.8,22.215999999999998,0.04828175,2019-02-21T18:16:16.971760,817.2,103.65700000000001,803.1,3067.0,3135.9
-0.01,997.298,0.013999999999999999,1719,1494.1470000000002,24.045,1550808979.9640124,107.43700000000001,9.19,31.816,1919,02/21/19,526,18:16:09,4130,100.073,258.865,831,24.845,101.387,53.29,30.394000000000002,6.354,21.8846773,-159.5274987,2019-02-22T04:16:18.000Z,1151.8,449.8,22.215999999999998,0.04828175,2019-02-21T18:16:16.971760,817.2,103.65700000000001,803.1,3067.0,3135.9
-0.01,997.301,0.013999999999999999,1719,1494.1070000000002,24.03,1550808980.6803901,107.43700000000001,9.19,31.816,1919,02/21/19,526,18:16:09,4130,100.073,258.865,831,24.845,101.387,53.29,30.394000000000002,6.354,21.8846773,-159.5274987,2019-02-22T04:16:18.000Z,1149.7,449.2,22.212,0.0428065,2019-02-21T18:16:18.368465,818.2,103.602,802.1,3067.0,3119.3
-0.009000000000000001,997.296,0.013999999999999999,1719,1494.16,24.049,1550808981.3948536,107.43700000000001,9.19,31.816,1918,02/21/19,527,18:16:10,4130,100.071,258.862,831,24.844,101.391,53.31,30.395,6.354,21.8846773,-159.5274987,2019-02-22T04:16:18.000Z,1149.7,449.2,22.212,0.0428065,2019-02-21T18:16:18.368465,818.2,103.602,802.1,3067.0,3119.3
-0.01,997.302,0.013999999999999999,1719,1494.094,24.025,1550808982.1087847,107.43700000000001,9.19,31.816,1915,02/21/19,527,18:16:11,4130,100.071,258.862,831,24.844,101.391,53.31,30.395,6.354,21.8846773,-159.5274987,2019-02-22T04:16:20.000Z,1149.7,448.7,22.214000000000002,0.04230875,2019-02-21T18:16:19.768674,818.0,103.59700000000001,801.6,3063.7,3114.6
-0.01,997.303,0.013999999999999999,1719,1494.089,24.024,1550808982.8244858,107.43700000000001,9.19,31.816,1915,02/21/19,527,18:16:11,4130,100.044,258.793,831,24.844,101.391,53.31,30.395,6.354,21.8846773,-159.5274987,2019-02-22T04:16:21.000Z,1149.7,448.7,22.214000000000002,0.04230875,2019-02-21T18:16:19.768674,818.0,103.59700000000001,801.6,3063.7,3114.6
-0.009000000000000001,997.302,0.013999999999999999,1719,1494.089,24.024,1550808983.5437489,107.43700000000001,9.19,31.816,1920,02/21/19,527,18:16:12,4130,100.044,258.793,831,24.844,101.391,53.31,30.395,6.354,21.8846773,-159.5274987,2019-02-22T04:16:21.000Z,1145.5,447.7,22.212,0.04569345,2019-02-21T18:16:21.163928,816.2,103.631,799.8,3060.7,3124.1
-0.01,997.301,0.013999999999999999,1719,1494.111,24.031999999999996,1550808984.2548954,107.43700000000001,9.19,31.816,1916,02/21/19,526,18:16:13,4130,100.22399999999999,259.26,831,24.844,101.385,53.26,30.392,6.354,21.8846773,-159.5274987,2019-02-22T04:16:21.000Z,1145.5,447.7,22.212,0.04569345,2019-02-21T18:16:21.163928,816.2,103.631,799.8,3060.7,3124.1
-0.009000000000000001,997.302,0.013000000000000001,1719,1494.094,24.025,1550808984.9649267,107.43700000000001,9.19,31.816,1916,02/21/19,526,18:16:13,4130,100.22399999999999,259.26,831,24.844,101.385,53.26,30.392,6.354,21.8846773,-159.5274987,2019-02-22T04:16:22.000Z,1145.5,446.7,22.21,0.0475849,2019-02-21T18:16:22.559556,815.9,103.65,799.6,3058.2,3109.9
