Conductivity,Density,Salinity,SN,Soundspeed,Temperature,ts
-0.01,997.305,0.014,1719,1494.068,24.016,1550808974.9376502
-0.01,997.304,0.014,1719,1494.072,24.017,1550808975.6521394
-0.01,997.298,0.014,1719,1494.142,24.043,1550808976.3688514
-0.01,997.298,0.014,1719,1494.142,24.043,1550808977.086711
-0.01,997.302,0.014,1719,1494.098,24.027,1550808977.8008332
-0.01,997.298,0.014,1719,1494.142,24.043,1550808978.5319242
-0.009,997.304,0.014,1719,1494.076,24.019,1550808979.246884
-0.01,997.298,0.014,1719,1494.147,24.045,1550808979.9640124
-0.01,997.301,0.014,1719,1494.107,24.03,1550808980.68039
-0.009,997.296,0.014,1719,1494.16,24.049,1550808981.3948534
-0.01,997.302,0.014,1719,1494.094,24.025,1550808982.1087844
-0.01,997.303,0.014,1719,1494.089,24.024,1550808982.8244858
-0.009,997.302,0.014,1719,1494.089,24.024,1550808983.5437489
-0.01,997.301,0.014,1719,1494.111,24.032,1550808984.2548954
-0.009,997.302,0.013,1719,1494.094,24.025,1550808984.9649267
-0.01,997.302,0.014,1719,1494.094,24.025,1550808985.684372
-0.01,997.303,0.014,1719,1494.09,24.024,1550808986.3991249
-0.009,997.3,0.014,1719,1494.116,24.033,1550808987.1128209
-0.01,997.3,0.014,1719,1494.12,24.035,1550808987.8278995
-0.01,997.303,0.014,1719,1494.09,24.024,1550808988.5679715
-0.01,997.301,0.014,1719,1494.107,24.03,1550808989.2788656
-0.009,997.301,0.014,1719,1494.103,24.029,1550808989.9938617
-0.01,997.303,0.014,1719,1494.089,24.024,1550808990.7093184
-0.01,997.299,0.014,1719,1494.125,24.037,1550808991.429821
-0.01,997.299,0.014,1719,1494.125,24.037,1550808992.145609
-0.01,997.3,0.014,1719,1494.121,24.035,1550808992.8601065
-0.009,997.303,0.014,1719,1494.08,24.021,1550808993.5833657
-0.01,997.306,0.014,1719,1494.054,24.011,1550808994.299131
-0.01,997.301,0.014,1719,1494.112,24.032,1550808995.0153656
-0.01,997.306,0.014,1719,1494.05,24.009,1550808995.727896
-0.01,997.303,0.014,1719,1494.09,24.024,1550808996.4390903
-0.01,997.303,0.014,1719,1494.085,24.022,1550808997.1527426
-0.01,997.305,0.014,1719,1494.063,24.014,1550808997.8766212
-0.01,997.301,0.014,1719,1494.107,24.03,1550808998.63931
-0.009,997.299,0.014,1719,1494.125,24.037,1550808999.350622
-0.01,997.301,0.014,1719,1494.103,24.029,1550809000.0607574
-0.009,997.303,0.014,1719,1494.085,24.022,1550809000.7784326
-0.01,997.302,0.014,1719,1494.103,24.029,1550809001.492745
-0.009,997.305,0.014,1719,1494.058,24.012,1550809002.2066853
-0.01,997.299,0.014,1719,1494.125,24.037,1550809002.9228024
-0.01,997.306,0.014,1719,1494.054,24.011,1550809003.6377838
-0.01,997.304,0.014,1719,1494.076,24.019,1550809004.3630507
-0.01,997.305,0.014,1719,1494.059,24.012,1550809005.0924726
-0.009,997.308,0.014,1719,1494.032,24.003,1550809005.831427
-0.01,997.303,0.014,1719,1494.09,24.024,1550809006.5378423
-0.01,997.307,0.014,1719,1494.037,24.004,1550809007.2497885
-0.01,997.301,0.014,1719,1494.107,24.03,1550809007.9687524
-0.009,997.303,0.014,1719,1494.08,24.021,1550809008.684333
-0.01,997.3,0.014,1719,1494.116,24.033,1550809009.4063182
-0.009,997.304,0.014,1719,1494.072,24.017,1550809010.130529
