Chlorophyll,date,Thermistor,time,ts,Turbidity
1919,02/21/19,526,18:16:04,1550808975.0335763,4130
1918,02/21/19,526,18:16:05,1550808976.107204,4130
1916,02/21/19,527,18:16:06,1550808977.1807966,4130
1917,02/21/19,526,18:16:07,1550808978.2548995,4130
1918,02/21/19,526,18:16:08,1550808979.3280933,4130
1919,02/21/19,526,18:16:09,1550808980.4018662,4130
1918,02/21/19,527,18:16:10,1550808981.4762843,4130
1915,02/21/19,527,18:16:11,1550808982.5496294,4130
1920,02/21/19,527,18:16:12,1550808983.6250067,4130
1916,02/21/19,526,18:16:13,1550808984.6985254,4130
1915,02/21/19,526,18:16:14,1550808985.772384,4130
1917,02/21/19,527,18:16:16,1550808986.8521414,4130
1916,02/21/19,527,18:16:17,1550808987.9257295,4130
1917,02/21/19,527,18:16:18,1550808988.9999123,4130
1919,02/21/19,526,18:16:19,1550808990.0736768,4130
1919,02/21/19,527,18:16:20,1550808991.147511,4130
1917,02/21/19,526,18:16:21,1550808992.2214377,4130
1918,02/21/19,526,18:16:22,1550808993.3014522,4130
1917,02/21/19,526,18:16:23,1550808994.369388,4130
1918,02/21/19,527,18:16:24,1550808995.4431689,4130
1916,02/21/19,526,18:16:25,1550808996.5172288,4130
1918,02/21/19,526,18:16:26,1550808997.5909722,4130
1918,02/21/19,526,18:16:27,1550808998.6656137,4130
1918,02/21/19,527,18:16:28,1550808999.7398362,4130
1917,02/21/19,526,18:16:29,1550809000.8200464,4130
1916,02/21/19,526,18:16:31,1550809001.8866847,4130
1918,02/21/19,527,18:16:32,1550809002.9605982,4130
1917,02/21/19,527,18:16:33,1550809004.0377994,4130
1917,02/21/19,527,18:16:34,1550809005.1352606,4130
1917,02/21/19,527,18:16:36,1550809007.2729397,4130
1918,02/21/19,527,18:16:38,1550809009.4216845,4130
1917,02/21/19,527,18:16:40,1550809011.5654972,4130
1919,02/21/19,527,18:16:42,1550809013.7032523,4130
1917,02/21/19,526,18:16:43,1550809014.7790155,4130
1920,02/21/19,527,18:16:45,1550809015.8603792,4130
1915,02/21/19,526,18:16:46,1550809016.9252832,4130
1917,02/21/19,526,18:16:47,1550809017.9989522,4130
1919,02/21/19,527,18:16:48,1550809019.0729442,4130
1917,02/21/19,526,18:16:49,1550809020.146851,4130
1919,02/21/19,526,18:16:50,1550809021.2208357,4130
1916,02/21/19,526,18:16:51,1550809022.3336654,4130
1917,02/21/19,527,18:16:53,1550809024.4506085,4130
1917,02/21/19,527,18:16:55,1550809026.5977168,4130
1917,02/21/19,527,18:16:57,1550809028.7351232,4130
1918,02/21/19,527,18:16:58,1550809029.8255312,4130
1913,02/21/19,527,18:17:01,1550809031.9548984,4130
1916,02/21/19,527,18:17:02,1550809033.028577,4130
1917,02/21/19,527,18:17:03,1550809034.108735,4130
1916,02/21/19,527,18:17:04,1550809035.182613,4130
1919,02/21/19,526,18:17:05,1550809036.255891,4130
1917,02/21/19,527,18:17:06,1550809037.3296082,4130
1916,02/21/19,527,18:17:07,1550809038.4032762,4130
1916,02/21/19,527,18:17:08,1550809039.4769073,4130
