type,Bottle,S temp,salt,counts,RT,TCO2,TCO2corrected,TCO2mean,TCO2sd,Calfact,blank,TCT,last CRM,cert CRM,CRM sal,cert sal,batch,pip vol,SBE T,date,time,cell ID,B_Salt
SUB6,,22.38,35,191671,10,2036.77,,,,1.008,71.5,22.6,2015.92,2050.56,-9,33.408,174,19.1274,16.27,15.04.2019,17:41,C_Apr15-19_1104,22.38
CRM,,22.2,,190695,10,2028.65,,,,1.008,71.5,23.1,2028.65,2050.56,,33.408,174,19.1274,16.27,15.04.2019,17:57,C_Apr15-19_1104,33.408
NB4,,22.42,35.9,1049612,18,11174.26,11196.17,11253.30333,45.5164859,1.008,71.5,23.6,2028.65,2050.56,-9,33.408,174,19.1275,16.27,15.04.2019,18:15,C_Apr15-19_1104,22.42
NB4,,22.1,35.9,1060152,18,11285.64,11307.55,,,1.008,71.5,26.2,2028.65,2050.56,-9,33.408,174,19.1274,16.27,15.04.2019,18:40,C_Apr15-19_1104,22.1
NB4,,22.29,35.9,1055421,20,11234.28,11256.19,,,1.008,71.5,28.9,2028.65,2050.56,-9,33.408,174,19.1274,16.27,15.04.2019,19:05,C_Apr15-19_1104,22.29
junk,,23.17,,196408,12,2141.4,,,,1.008,71.5,31.5,2028.65,2050.56,-9,33.408,174,19.1276,16.27,15.04.2019,19:34,C_Apr15-19_1104,
junk,,23.15,,190447,10,2077.68,,,,1.008,71.5,32,2028.65,2050.56,-9,33.408,174,19.1276,16.27,15.04.2019,19:50,C_Apr15-19_1104,
junk,,23.22,,189477,8,2068.65,,,,1.008,71.5,32.5,2028.65,2050.56,-9,33.408,174,19.1276,16.27,15.04.2019,20:04,C_Apr15-19_1104,
blank,,,,734,10,,,,,,73.4,32.9,,,,,,,,15.04.2019,20:17,C_Apr15-19_1104,
CRM,,22.59,,191144,14,2030.32,,,,1.008,73.4,32.9,2030.32,2050.56,,33.408,174,19.1275,16.27,15.04.2019,20:30,C_Apr15-19_1104,33.408
