Conductivity,Density,Salinity,SN,Soundspeed,Temperature,ts
-0.013,996.146,0.016,1719,1505.285,28.354,1550879783.4920118
-0.013,996.145,0.016,1719,1505.297,28.359,1550879784.2154222
-0.013,996.145,0.016,1719,1505.297,28.359,1550879784.9430928
-0.012,996.14,0.016,1719,1505.336,28.375,1550879785.6554055
-0.014,996.142,0.016,1719,1505.317,28.367,1550879786.3658485
-0.014,996.141,0.016,1719,1505.325,28.37,1550879787.0853486
-0.013,996.142,0.016,1719,1505.32,28.369,1550879787.7999537
-0.014,996.144,0.016,1719,1505.301,28.361,1550879788.5150802
-0.014,996.141,0.016,1719,1505.329,28.372,1550879789.2288961
-0.013,996.141,0.016,1719,1505.332,28.374,1550879789.9461787
-0.013,996.145,0.016,1719,1505.293,28.357,1550879790.6639361
-0.013,996.145,0.016,1719,1505.297,28.359,1550879791.3840258
-0.012,996.14,0.016,1719,1505.336,28.375,1550879792.1073117
-0.013,996.139,0.016,1719,1505.34,28.377,1550879792.8230133
-0.012,996.142,0.016,1719,1505.316,28.367,1550879793.5372248
-0.013,996.142,0.016,1719,1505.316,28.367,1550879794.2479224
-0.014,996.14,0.016,1719,1505.336,28.375,1550879794.9674923
-0.013,996.141,0.016,1719,1505.328,28.372,1550879795.68057
-0.014,996.14,0.016,1719,1505.336,28.375,1550879796.3968444
-0.013,996.136,0.016,1719,1505.372,28.39,1550879797.111847
-0.013,996.138,0.016,1719,1505.356,28.383,1550879797.8229878
-0.013,996.136,0.016,1719,1505.372,28.39,1550879798.5591962
-0.013,996.137,0.016,1719,1505.364,28.387,1550879799.2712188
-0.013,996.143,0.016,1719,1505.312,28.365,1550879799.991556
-0.013,996.135,0.016,1719,1505.376,28.392,1550879800.711863
-0.014,996.137,0.016,1719,1505.36,28.385,1550879801.4258482
-0.013,996.136,0.016,1719,1505.368,28.388,1550879802.143184
-0.013,996.135,0.016,1719,1505.38,28.393,1550879802.85968
-0.014,996.135,0.016,1719,1505.38,28.393,1550879803.5776
-0.013,996.131,0.016,1719,1505.415,28.408,1550879804.2962909
