p_int,rh_int,t_int,ts
111.208,12.34,36.369,1550879725.2668571
111.238,12.35,36.443,1550879735.7619653
111.267,12.36,36.53,1550879746.2792199
111.299,12.37,36.608,1550879756.796593
111.327,12.38,36.687,1550879767.339877
111.36,12.39,36.79,1550879777.8748393
111.388,12.39,36.852,1550879788.3949697
111.418,12.4,36.934,1550879798.9377687
111.45,12.41,37.014,1550879809.4691956
111.479,12.42,37.09,1550879819.964357
111.508,12.42,37.173,1550879830.4550045
111.535,12.43,37.254,1550879840.9934819
111.569,12.44,37.329,1550879851.4805176
111.599,12.44,37.405,1550879862.0084398
111.63,12.45,37.491,1550879872.5406744
111.659,12.46,37.566,1550879883.074541
111.686,12.47,37.647,1550879893.5988905
111.716,12.47,37.735,1550879904.1422536
111.744,12.48,37.812,1550879914.6855183
111.771,12.49,37.894,1550879925.220659
111.801,12.49,37.965,1550879935.707779
111.828,12.5,38.03,1550879946.2487772
111.859,12.5,38.114,1550879956.7741952
111.882,12.51,38.186,1550879967.2999182
111.911,12.52,38.273,1550879977.840062
111.938,12.53,38.355,1550879988.3668604
111.964,12.53,38.428,1550879998.902199
111.996,12.53,38.51,1550880009.3909757
112.019,12.54,38.568,1550880019.9164896
112.045,12.54,38.648,1550880030.4309561
112.071,12.54,38.734,1550880040.9133472
112.099,12.56,38.807,1550880051.4246435
112.126,12.56,38.886,1550880061.9490526
112.156,12.56,38.975,1550880072.5085418
112.177,12.57,39.039,1550880083.0279088
112.201,12.57,39.115,1550880093.567314
112.231,12.57,39.185,1550880104.100413
112.255,12.57,39.26,1550880114.6310265
112.284,12.58,39.346,1550880125.1528277
112.306,12.58,39.411,1550880135.6877172
112.337,12.58,39.498,1550880146.1979184
112.362,12.59,39.561,1550880156.7381115
112.388,12.59,39.647,1550880167.2623212
112.412,12.59,39.709,1550880177.7959733
112.439,12.59,39.776,1550880188.3309088
112.462,12.6,39.846,1550880198.8580735
112.489,12.6,39.918,1550880209.3879113
112.512,12.6,39.991,1550880219.918188
112.538,12.6,40.065,1550880230.4456859
112.561,12.6,40.151,1550880240.9430723
112.586,12.6,40.209,1550880251.4740338
112.615,12.61,40.275,1550880262.0086682
112.635,12.61,40.341,1550880272.537253
112.661,12.61,40.424,1550880283.038953
112.684,12.61,40.488,1550880293.5644228
112.705,12.61,40.553,1550880304.1397548
112.737,12.61,40.638,1550880314.6724217
112.759,12.61,40.709,1550880325.1678863
112.781,12.62,40.768,1550880335.7044108
112.806,12.61,40.853,1550880346.2246897
112.829,12.62,40.926,1550880356.7443678
112.855,12.62,40.995,1550880367.2730963
112.881,12.61,41.068,1550880377.7781029
112.9,12.61,41.122,1550880388.3043177
112.923,12.61,41.185,1550880398.8332803
112.951,12.61,41.263,1550880409.3349254
112.966,12.62,41.322,1550880419.8500514
112.993,12.61,41.395,1550880430.3569124
113.015,12.61,41.459,1550880440.8509378
113.037,12.61,41.526,1550880451.3477333
113.06,12.61,41.588,1550880461.8718019
113.081,12.61,41.649,1550880472.4046378
113.101,12.62,41.692,1550880482.957219
113.127,12.61,41.782,1550880493.4981778
113.146,12.61,41.84,1550880504.0304632
113.169,12.6,41.927,1550880514.5459576
113.189,12.6,41.983,1550880525.0592895
113.212,12.6,42.043,1550880535.5680513
113.231,12.59,42.107,1550880546.1249337
113.252,12.6,42.173,1550880556.6590714
