alx,b,Deg.C,depth_m,dt,g,kPa,r,ts,w,wlx
20823.3,6513.2,35.794,0.03315014999999984,2016-11-03T09:27:18.105516,10059.6,104.31,9614.4,1478201238.105489,15525.6,58223.8
20788.0,6511.5,35.799,0.03444429999999895,2016-11-03T09:27:19.512976,10066.9,104.323,9601.8,1478201239.5129447,15532.2,58062.4
20776.2,6510.0,35.809,0.03006409999999925,2016-11-03T09:27:20.925297,10071.2,104.279,9599.8,1478201240.925269,15533.4,58223.8
20852.8,6495.9,35.819,0.028172650000000122,2016-11-03T09:27:22.332929,10054.1,104.26,9602.1,1478201242.332899,15528.9,57669.9
20647.3,6543.2,35.832,0.03285149999999983,2016-11-03T09:27:23.740166,10056.1,104.307,9603.1,1478201243.740143,15530.9,57990.9
20659.0,6498.9,35.844,0.03454384999999942,2016-11-03T09:27:25.147434,10043.8,104.324,9586.7,1478201245.1474085,15524.6,57990.9
20758.6,6500.4,35.855,0.030960049999999285,2016-11-03T09:27:26.554090,10057.9,104.288,9606.4,1478201246.5540638,15523.6,57848.0
20770.3,6498.4,35.865,0.029367250000000168,2016-11-03T09:27:27.966128,10064.7,104.272,9604.1,1478201247.9660995,15521.1,57955.1
20858.7,6520.0,35.879,0.02807309999999965,2016-11-03T09:27:29.373328,10057.4,104.259,9595.3,1478201249.3733022,15528.4,58169.9
20635.6,6553.2,35.889,0.030860500000000225,2016-11-03T09:27:30.780722,10040.0,104.287,9601.8,1478201250.7806954,15526.6,58152.0
20758.6,6517.3,35.896,0.02966590000000018,2016-11-03T09:27:32.188396,10049.3,104.275,9586.5,1478201252.1883724,15521.4,57741.1
20758.6,6524.3,35.905,0.02946679999999923,2016-11-03T09:27:33.596123,10056.1,104.273,9601.6,1478201253.5960984,15526.9,58259.7
20947.6,6518.8,35.915,0.0329510500000003,2016-11-03T09:27:35.007447,10057.9,104.308,9624.0,1478201255.0074177,15533.2,57919.4
20717.5,6512.2,35.926,0.03155734999999931,2016-11-03T09:27:36.415803,10059.4,104.294,9598.8,1478201256.4157755,15526.9,58223.8
20917.9,6493.1,35.936,0.02777444999999964,2016-11-03T09:27:37.823248,10070.2,104.256,9602.8,1478201257.8232174,15530.4,58331.6
20929.8,6534.4,35.943,0.03484249999999943,2016-11-03T09:27:39.229695,10066.7,104.327,9608.1,1478201259.2296658,15530.7,57919.4
20882.4,6549.2,35.954,0.03285149999999983,2016-11-03T09:27:40.636242,10055.1,104.307,9601.3,1478201260.6362176,15528.2,58475.7
20746.8,6506.4,35.963,0.03265240000000029,2016-11-03T09:27:42.047713,10067.7,104.305,9594.0,1478201262.04769,15531.2,58205.8
20811.5,6517.3,35.977,0.02867039999999967,2016-11-03T09:27:43.455585,10080.0,104.265,9608.6,1478201263.4555604,15534.7,57901.5
20653.1,6513.0,35.983,0.034643399999999894,2016-11-03T09:27:44.868078,10053.9,104.325,9593.3,1478201264.8680477,15531.9,57973.0
20758.6,6526.6,35.995,0.03115915000000024,2016-11-03T09:27:46.274977,10039.8,104.29,9605.9,1478201266.2749543,15525.4,57598.8
20688.2,6505.7,36.003,0.03016364999999973,2016-11-03T09:27:47.684570,10053.4,104.28,9585.2,1478201267.6845248,15528.9,57848.0
20688.2,6504.4,36.015,0.033647899999999384,2016-11-03T09:27:49.100728,10043.8,104.315,9611.9,1478201269.1006963,15525.4,57830.2
20841.0,6513.5,36.022,0.03484249999999943,2016-11-03T09:27:50.508257,10053.1,104.327,9616.7,1478201270.5082266,15527.6,58044.5
20717.5,6524.8,36.033,0.030960049999999285,2016-11-03T09:27:51.919864,10063.4,104.288,9601.8,1478201271.9198346,15529.2,57723.3
20977.3,6533.4,36.045,0.03384699999999892,2016-11-03T09:27:53.327236,10064.9,104.317,9629.3,1478201273.3272097,15532.7,58385.6
20770.3,6523.3,36.056,0.033548349999998915,2016-11-03T09:27:54.734652,10056.9,104.314,9603.4,1478201274.7346299,15532.2,57865.8
20894.2,6520.5,36.067,0.029864999999999715,2016-11-03T09:27:56.145004,10062.2,104.277,9611.9,1478201276.1449723,15525.4,57883.7
20846.9,6547.5,36.078,0.03305059999999937,2016-11-03T09:27:57.552442,10075.8,104.309,9632.8,1478201277.552413,15531.2,58277.7
20923.9,6539.1,36.088,0.03434474999999988,2016-11-03T09:27:58.963794,10062.4,104.322,9619.0,1478201278.9637716,15537.7,58511.7
20688.2,6518.8,36.101,0.03384699999999892,2016-11-03T09:28:00.370839,10071.2,104.317,9610.7,1478201280.37081,15526.9,57937.3
20694.1,6523.0,36.113,0.02677894999999913,2016-11-03T09:28:01.778168,10046.6,104.246,9604.4,1478201281.7781386,15532.2,58205.8
20776.2,6531.6,36.117,0.036037099999999475,2016-11-03T09:28:03.184309,10057.6,104.339,9597.8,1478201283.1842856,15525.9,57990.9
20653.1,6523.3,36.125,0.03543979999999946,2016-11-03T09:28:04.592634,10061.4,104.333,9581.7,1478201284.5926054,15517.8,57830.2
