p,rh,t,ts
101.347,59.42,27.941,1550888447.16121
101.348,59.41,27.953,1550888449.62901
101.348,59.37,27.963,1550888452.09017
101.346,59.38,27.968,1550888454.55739
101.345,59.38,27.974,1550888457.02477
101.346,59.38,27.983,1550888459.49102
101.345,59.35,27.989,1550888461.95757
101.345,59.35,28,1550888464.42494
101.345,59.36,28.009,1550888466.89302
101.344,59.38,28.024,1550888469.35861
101.345,59.39,28.033,1550888471.82487
101.347,59.37,28.046,1550888474.29203
101.346,59.33,28.056,1550888476.75024
101.348,59.26,28.07,1550888479.21550
101.344,59.2,28.073,1550888481.68307
101.347,59.15,28.089,1550888484.14098
101.349,59.11,28.095,1550888486.60824
101.346,59.05,28.096,1550888489.07459
101.346,59,28.101,1550888491.54151
101.346,58.93,28.103,1550888494.00835
101.344,58.89,28.106,1550888496.47548
101.344,58.88,28.105,1550888498.94260
101.344,58.84,28.107,1550888501.40091
101.348,58.81,28.115,1550888503.86805
101.35,58.81,28.122,1550888506.33622
101.348,58.82,28.124,1550888508.79641
101.352,58.83,28.127,1550888511.26155
101.348,58.9,28.129,1550888513.73030
101.35,58.96,28.138,1550888516.19181
101.347,59,28.142,1550888518.65899
101.349,59.04,28.146,1550888521.12620
101.348,59.06,28.157,1550888523.59356
101.35,59.09,28.16,1550888526.06143
101.35,59.13,28.17,1550888528.52773
101.349,59.18,28.172,1550888530.99470
101.345,59.2,28.222,1550888533.46211
101.347,59.16,28.241,1550888535.93096
101.349,61.85,28.27,1550888538.39795
101.348,62.06,28.291,1550888540.86530
101.344,61.6,28.307,1550888543.33259
101.344,61.34,28.317,1550888545.79509
101.345,61.15,28.325,1550888548.25510
101.344,61.41,28.334,1550888550.72270
101.346,61.64,28.354,1550888553.18977
101.345,61.58,28.367,1550888555.65695
101.346,61.52,28.39,1550888558.12107
101.345,61.25,28.405,1550888560.58920
101.346,60.94,28.424,1550888563.05782
101.348,60.6,28.439,1550888565.52466
101.345,60.33,28.448,1550888567.98496
101.346,60.23,28.463,1550888570.45209
101.345,60.12,28.469,1550888572.92536
101.345,59.95,28.484,1550888575.39179
101.346,60.2,28.502,1550888577.85911
101.348,60.13,28.528,1550888580.32676
101.347,60.19,28.551,1550888582.79163
101.342,60.19,28.588,1550888585.25298
101.344,60.16,28.62,1550888587.71475
101.344,59.97,28.659,1550888590.18271
101.345,59.65,28.689,1550888592.65075
101.343,59.39,28.726,1550888595.11799
101.346,59.23,28.762,1550888597.57606
101.343,59.2,28.799,1550888600.04330
101.343,59.3,28.839,1550888602.51048
101.344,59.43,28.881,1550888604.97763
101.342,59.59,28.926,1550888607.44514
101.348,59.85,28.976,1550888609.91269
101.343,60.05,29.022,1550888612.37986
101.342,60.41,29.066,1550888614.84701
101.342,60.68,29.108,1550888617.30553
