AirSaturation,O2Concentration,SN,Temperature,ts
101.24,235.889,831,30.722,1550888611.29052
101.337,236.092,831,30.728,1550888612.58751
101.448,236.328,831,30.734,1550888613.88054
101.194,235.71,831,30.74,1550888615.17458
101.251,235.821,831,30.746,1550888616.46870
101.509,236.398,831,30.752,1550888617.75764
101.411,236.147,831,30.757,1550888619.06191
101.228,235.698,831,30.763,1550888620.35090
101.337,235.93,831,30.769,1550888621.64582
101.573,236.457,831,30.774,1550888622.93992
101.398,236.027,831,30.78,1550888624.24028
101.281,235.731,831,30.786,1550888625.53785
101.205,235.53,831,30.791,1550888626.83079
101.239,235.587,831,30.797,1550888628.14451
101.334,235.785,831,30.803,1550888629.44290
101.426,235.977,831,30.808,1550888630.73213
101.371,235.825,831,30.815,1550888632.03434
101.089,235.143,831,30.82,1550888633.32325
101.303,235.62,831,30.826,1550888634.61617
101.307,235.605,831,30.832,1550888635.90941
101.311,235.593,831,30.837,1550888637.19810
101.296,235.535,831,30.843,1550888638.50034
101.48,235.943,831,30.848,1550888639.78934
101.036,234.89,831,30.853,1550888641.10767
101.104,235.026,831,30.859,1550888642.44448
101.17,235.157,831,30.864,1550888643.78845
101.332,235.51,831,30.87,1550888645.12905
101.135,235.029,831,30.875,1550888646.43500
101.032,234.77,831,30.881,1550888647.72461
101.512,235.862,831,30.887,1550888649.01745
101.205,235.124,831,30.893,1550888650.32330
101.375,235.495,831,30.898,1550888651.62456
101.196,235.057,831,30.904,1550888652.91253
101.242,235.14,831,30.91,1550888654.20553
101.356,235.381,831,30.916,1550888655.50100
101.003,234.538,831,30.922,1550888656.80995
101.491,235.648,831,30.928,1550888658.10175
101.259,235.085,831,30.933,1550888659.40007
101.498,235.615,831,30.94,1550888660.69068
101.484,235.559,831,30.946,1550888661.97996
101.557,235.705,831,30.952,1550888663.27188
101.257,234.984,831,30.958,1550888664.56641
100.998,234.356,831,30.964,1550888665.85491
101.343,235.133,831,30.97,1550888667.14704
101.218,234.818,831,30.976,1550888668.44222
101.146,234.625,831,30.983,1550888669.73680
101.623,235.705,831,30.989,1550888671.03092
101.547,235.503,831,30.996,1550888672.32010
101.333,234.982,831,31.002,1550888673.61102
101.25,234.765,831,31.008,1550888674.90418
101.242,234.72,831,31.015,1550888676.19308
101.702,235.76,831,31.021,1550888677.48521
101.426,235.095,831,31.028,1550888678.78216
101.175,234.489,831,31.034,1550888680.07375
101.419,235.028,831,31.04,1550888681.37255
101.25,234.612,831,31.047,1550888682.66137
101.453,235.056,831,31.053,1550888683.95916
101.144,234.314,831,31.059,1550888685.25234
101.238,234.506,831,31.066,1550888686.54040
101.248,234.504,831,31.072,1550888687.83246
101.244,234.47,831,31.079,1550888689.13813
101.306,234.589,831,31.085,1550888690.43224
101.217,234.357,831,31.091,1550888691.73550
101.39,234.731,831,31.098,1550888693.02876
101.256,234.396,831,31.104,1550888694.31762
101.248,234.353,831,31.11,1550888695.61052
101.429,234.748,831,31.116,1550888696.90945
101.711,235.375,831,31.123,1550888698.19813
100.997,233.697,831,31.129,1550888699.49566
101.232,234.218,831,31.135,1550888700.78503
101.313,234.381,831,31.141,1550888702.12437
101.419,234.601,831,31.147,1550888703.50682
101.252,234.19,831,31.154,1550888704.83234
101.541,234.833,831,31.16,1550888706.15066
101.259,234.157,831,31.166,1550888707.47225
101.238,234.085,831,31.172,1550888708.77788
101.03,233.58,831,31.178,1550888710.06721
101.212,233.978,831,31.183,1550888711.37143
101.237,234.015,831,31.189,1550888712.67906
101.49,234.576,831,31.195,1550888713.97215
101.244,233.982,831,31.201,1550888715.26023
101.166,233.781,831,31.206,1550888716.55394
101.151,233.725,831,31.211,1550888717.85015
101.402,234.283,831,31.217,1550888719.14223
101.378,234.204,831,31.223,1550888720.43729
101.244,233.875,831,31.228,1550888721.72535
101.27,233.912,831,31.234,1550888723.01927
101.777,235.063,831,31.239,1550888724.32875
101.18,233.66,831,31.245,1550888725.63240
101.398,234.142,831,31.25,1550888726.92547
101.355,234.021,831,31.256,1550888728.21955
101.069,233.339,831,31.261,1550888729.51047
101.43,234.151,831,31.266,1550888730.80728
101.646,234.626,831,31.272,1550888732.09660
101.261,233.717,831,31.278,1550888733.39220
101.584,234.441,831,31.283,1550888734.69077
101.539,234.314,831,31.289,1550888735.97953
101.532,234.277,831,31.294,1550888737.29237
101.507,234.195,831,31.3,1550888738.58423
101.446,234.031,831,31.306,1550888739.87773
101.561,234.275,831,31.311,1550888741.16678
101.315,233.687,831,31.317,1550888742.45870
101.167,233.322,831,31.322,1550888743.75382
101.377,233.785,831,31.328,1550888745.04278
101.239,233.445,831,31.333,1550888746.33626
101.326,233.623,831,31.339,1550888747.62896
101.668,234.389,831,31.344,1550888748.91793
101.638,234.298,831,31.35,1550888750.21156
101.388,233.7,831,31.355,1550888751.50107
101.147,233.124,831,31.361,1550888752.78906
101.23,233.294,831,31.366,1550888754.08417
101.255,233.329,831,31.372,1550888755.37724
101.486,233.84,831,31.377,1550888756.66712
101.808,234.557,831,31.383,1550888757.96824
101.558,233.959,831,31.389,1550888759.26034
101.579,233.986,831,31.394,1550888760.55222
101.497,233.774,831,31.4,1550888761.84562
101.449,233.641,831,31.406,1550888763.30844
101.505,233.747,831,31.412,1550888764.65099
101.502,233.716,831,31.418,1550888765.97636
101.159,232.904,831,31.424,1550888767.28336
101.399,233.432,831,31.429,1550888768.57245
101.189,232.925,831,31.435,1550888769.87794
101.337,233.245,831,31.441,1550888771.17624
101.302,233.142,831,31.446,1550888772.47451
101.405,233.356,831,31.452,1550888773.76855
101.204,232.87,831,31.458,1550888775.06197
101.344,233.171,831,31.464,1550888776.35044
101.447,233.386,831,31.469,1550888777.65131
101.65,233.83,831,31.475,1550888778.95881
101.328,233.064,831,31.481,1550888780.25168
101.45,233.324,831,31.487,1550888781.54073
101.327,233.019,831,31.492,1550888782.83281
101.399,233.159,831,31.498,1550888784.13648
101.513,233.398,831,31.504,1550888785.44752
101.377,233.061,831,31.51,1550888786.74007
101.433,233.168,831,31.516,1550888788.03295
101.71,233.781,831,31.522,1550888789.32110
101.301,232.815,831,31.528,1550888790.62424
101.145,232.433,831,31.534,1550888791.92196
101.406,233.009,831,31.54,1550888793.21843
101.657,233.563,831,31.546,1550888794.50943
101.566,233.331,831,31.552,1550888795.80963
101.705,233.625,831,31.558,1550888797.11958
101.516,233.168,831,31.565,1550888798.41621
101.289,232.622,831,31.57,1550888799.71516
101.647,233.42,831,31.576,1550888801.00738
101.434,232.908,831,31.582,1550888802.30040
101.551,233.153,831,31.588,1550888803.59463
101.5,233.013,831,31.594,1550888804.89449
101.544,233.091,831,31.6,1550888806.18768
101.616,233.235,831,31.606,1550888807.47786
101.539,233.033,831,31.612,1550888808.77066
101.403,232.698,831,31.618,1550888810.07135
101.212,232.237,831,31.623,1550888811.36492
101.521,232.922,831,31.629,1550888812.65953
101.602,233.086,831,31.635,1550888813.95253
101.567,232.982,831,31.641,1550888815.24761
101.763,233.408,831,31.647,1550888816.53681
101.397,232.545,831,31.653,1550888817.82875
101.306,232.313,831,31.659,1550888819.12574
101.504,232.741,831,31.666,1550888820.41496
101.416,232.516,831,31.672,1550888821.72846
101.483,232.646,831,31.678,1550888823.05740
101.456,232.56,831,31.684,1550888824.37738
101.492,232.615,831,31.69,1550888825.69701
101.224,231.977,831,31.697,1550888827.00002
101.811,233.299,831,31.703,1550888828.28805
101.629,232.858,831,31.709,1550888829.58105
101.494,232.522,831,31.715,1550888830.87588
101.68,232.924,831,31.722,1550888832.16644
101.59,232.694,831,31.728,1550888833.46045
101.804,233.159,831,31.734,1550888834.75017
101.262,231.892,831,31.741,1550888836.03910
101.34,232.045,831,31.747,1550888837.33233
101.319,231.975,831,31.753,1550888838.62712
101.646,232.697,831,31.759,1550888839.92449
102.048,233.592,831,31.766,1550888841.21731
101.399,232.081,831,31.772,1550888842.50553
101.533,232.362,831,31.779,1550888843.80155
101.402,232.038,831,31.785,1550888845.09432
101.05,231.208,831,31.792,1550888846.38744
101.347,231.862,831,31.798,1550888847.68143
101.632,232.49,831,31.804,1550888848.96951
101.183,231.438,831,31.811,1550888850.26828
101.443,232.008,831,31.817,1550888851.57044
101.443,231.984,831,31.823,1550888852.87128
101.574,232.259,831,31.829,1550888854.16063
101.581,232.251,831,31.835,1550888855.45290
101.154,231.249,831,31.842,1550888856.74893
101.482,231.975,831,31.848,1550888858.05768
101.833,232.756,831,31.854,1550888859.35882
101.377,231.688,831,31.86,1550888860.65190
101.405,231.731,831,31.866,1550888861.94195
101.285,231.431,831,31.872,1550888863.23825
101.779,232.537,831,31.878,1550888864.53703
101.243,231.291,831,31.883,1550888865.83310
101.34,231.489,831,31.889,1550888867.12714
101.463,231.746,831,31.895,1550888868.41767
101.257,231.252,831,31.901,1550888869.71142
101.51,231.808,831,31.907,1550888871.01137
101.363,231.447,831,31.913,1550888872.30445
101.594,231.952,831,31.919,1550888873.59427
101.341,231.349,831,31.926,1550888874.88434
101.763,232.29,831,31.931,1550888876.18004
101.542,231.761,831,31.937,1550888877.49361
101.789,232.302,831,31.944,1550888878.78838
101.516,231.656,831,31.949,1550888880.08218
101.721,232.101,831,31.955,1550888881.39865
101.616,231.839,831,31.961,1550888882.75755
101.283,231.055,831,31.967,1550888884.07440
101.775,232.155,831,31.973,1550888885.40929
101.419,231.318,831,31.979,1550888886.71661
101.406,231.267,831,31.984,1550888888.00570
101.337,231.089,831,31.99,1550888889.30108
101.526,231.499,831,31.996,1550888890.60065
101.237,230.817,831,32.001,1550888891.90061
101.333,231.015,831,32.007,1550888893.19136
101.883,232.247,831,32.012,1550888894.48467
101.712,231.834,831,32.018,1550888895.77871
101.422,231.153,831,32.024,1550888897.06881
101.738,231.85,831,32.029,1550888898.36888
101.442,231.153,831,32.035,1550888899.65894
101.683,231.68,831,32.041,1550888900.95524
101.632,231.542,831,32.046,1550888902.24988
101.8,231.901,831,32.052,1550888903.54023
101.833,231.955,831,32.058,1550888904.84316
101.764,231.775,831,32.064,1550888906.13416
101.45,231.037,831,32.07,1550888907.45167
101.496,231.12,831,32.075,1550888908.74824
101.108,230.215,831,32.081,1550888910.03820
101.59,231.29,831,32.086,1550888911.33886
101.064,230.073,831,32.091,1550888912.63132
101.403,230.826,831,32.096,1550888913.92435
101.748,231.592,831,32.101,1550888915.21865
101.65,231.35,831,32.106,1550888916.50848
101.42,230.811,831,32.11,1550888917.80143
101.371,230.683,831,32.115,1550888919.09462
101.431,230.802,831,32.119,1550888920.38537
101.418,230.756,831,32.123,1550888921.68658
101.208,230.262,831,32.127,1550888922.97752
101.632,231.211,831,32.132,1550888924.27041
101.916,231.842,831,32.135,1550888925.56256
101.714,231.366,831,32.139,1550888926.85266
101.573,231.029,831,32.143,1550888928.14561
101.644,231.177,831,32.147,1550888929.43998
101.514,230.864,831,32.152,1550888930.76291
101.834,231.576,831,32.156,1550888932.06336
101.351,230.461,831,32.16,1550888933.36589
101.356,230.455,831,32.164,1550888934.65805
