Conductivity,Density,Salinity,SN,Soundspeed,Temperature,ts
-0.01,995.803,0.015,1719,1508.073,29.525,1550888507.69707
-0.011,995.801,0.015,1719,1508.093,29.533,1550888508.41302
-0.01,995.8,0.015,1719,1508.093,29.533,1550888509.12955
-0.01,995.802,0.015,1719,1508.081,29.528,1550888509.84403
-0.01,995.802,0.015,1719,1508.085,29.53,1550888510.55760
-0.01,995.804,0.015,1719,1508.062,29.52,1550888511.27151
-0.01,995.803,0.015,1719,1508.069,29.523,1550888511.98283
-0.011,995.802,0.015,1719,1508.085,29.53,1550888512.72322
-0.009,995.801,0.015,1719,1508.089,29.531,1550888513.43896
-0.01,995.798,0.015,1719,1508.112,29.541,1550888514.15366
-0.009,995.801,0.015,1719,1508.089,29.531,1550888514.86763
-0.009,995.799,0.015,1719,1508.1,29.536,1550888515.57756
-0.009,995.803,0.015,1719,1508.073,29.525,1550888516.28752
-0.01,995.796,0.015,1719,1508.131,29.549,1550888517.02207
-0.01,995.798,0.015,1719,1508.112,29.541,1550888517.74112
-0.01,995.8,0.015,1719,1508.096,29.535,1550888518.45162
-0.009,995.794,0.015,1719,1508.142,29.554,1550888519.16827
-0.009,995.798,0.015,1719,1508.108,29.54,1550888519.88259
-0.01,995.797,0.015,1719,1508.116,29.543,1550888520.59753
-0.009,995.795,0.015,1719,1508.135,29.551,1550888521.34047
-0.009,995.797,0.015,1719,1508.115,29.543,1550888522.09661
-0.01,995.791,0.015,1719,1508.169,29.566,1550888522.84213
-0.009,995.795,0.015,1719,1508.131,29.549,1550888523.58440
-0.009,995.796,0.015,1719,1508.123,29.546,1550888524.34853
-0.009,995.789,0.015,1719,1508.185,29.572,1550888525.09244
-0.009,995.791,0.015,1719,1508.169,29.566,1550888525.82847
-0.009,995.789,0.015,1719,1508.181,29.571,1550888526.55259
-0.009,995.794,0.015,1719,1508.142,29.554,1550888527.26248
-0.009,995.791,0.015,1719,1508.165,29.564,1550888527.97780
-0.009,995.79,0.015,1719,1508.173,29.567,1550888528.69393
-0.008,995.792,0.015,1719,1508.157,29.561,1550888529.40856
-0.009,995.786,0.015,1719,1508.204,29.581,1550888530.12256
-0.009,995.789,0.015,1719,1508.181,29.571,1550888530.84426
-0.008,995.79,0.015,1719,1508.169,29.566,1550888531.55941
-0.009,995.789,0.015,1719,1508.181,29.571,1550888532.27765
-0.009,995.782,0.015,1719,1508.238,29.595,1550888532.99732
-0.008,995.783,0.015,1719,1508.223,29.589,1550888533.71170
-0.008,995.785,0.015,1719,1508.207,29.582,1550888534.42180
-0.008,995.784,0.015,1719,1508.219,29.587,1550888535.13140
-0.008,995.781,0.015,1719,1508.238,29.595,1550888535.84564
-0.009,995.788,0.015,1719,1508.184,29.572,1550888536.56293
-0.009,995.786,0.015,1719,1508.208,29.582,1550888537.27844
-0.009,995.783,0.015,1719,1508.231,29.592,1550888537.99445
-0.009,995.786,0.015,1719,1508.204,29.581,1550888538.72448
-0.009,995.785,0.015,1719,1508.211,29.584,1550888539.44088
-0.007,995.785,0.014,1719,1508.207,29.582,1550888540.15554
-0.009,995.781,0.015,1719,1508.246,29.599,1550888540.86944
-0.009,995.784,0.015,1719,1508.219,29.587,1550888541.58345
-0.008,995.781,0.015,1719,1508.242,29.597,1550888542.29687
-0.009,995.785,0.015,1719,1508.215,29.586,1550888543.00833
-0.009,995.778,0.015,1719,1508.265,29.607,1550888543.73196
-0.009,995.781,0.015,1719,1508.246,29.599,1550888544.44830
-0.009,995.776,0.015,1719,1508.281,29.614,1550888545.17729
-0.009,995.779,0.015,1719,1508.258,29.604,1550888545.90336
-0.009,995.779,0.015,1719,1508.261,29.605,1550888546.61750
-0.009,995.771,0.015,1719,1508.323,29.632,1550888547.32845
-0.009,995.773,0.015,1719,1508.307,29.625,1550888548.03846
-0.009,995.777,0.015,1719,1508.277,29.612,1550888548.75259
-0.009,995.777,0.015,1719,1508.273,29.61,1550888549.46724
-0.01,995.775,0.015,1719,1508.292,29.618,1550888550.18274
-0.009,995.77,0.015,1719,1508.327,29.633,1550888550.90137
-0.01,995.771,0.015,1719,1508.327,29.633,1550888551.61454
-0.009,995.775,0.015,1719,1508.292,29.618,1550888552.32845
-0.01,995.773,0.015,1719,1508.308,29.625,1550888553.04042
-0.009,995.772,0.015,1719,1508.312,29.627,1550888553.75647
-0.009,995.77,0.015,1719,1508.327,29.633,1550888554.47729
-0.01,995.766,0.015,1719,1508.362,29.648,1550888555.19137
-0.01,995.773,0.015,1719,1508.312,29.627,1550888555.90566
-0.01,995.772,0.015,1719,1508.319,29.63,1550888556.62466
-0.009,995.767,0.015,1719,1508.358,29.646,1550888557.34944
-0.01,995.766,0.015,1719,1508.362,29.648,1550888558.07329
-0.01,995.767,0.015,1719,1508.354,29.645,1550888558.78734
-0.009,995.77,0.015,1719,1508.327,29.633,1550888559.50240
-0.009,995.767,0.015,1719,1508.354,29.645,1550888560.21772
-0.01,995.762,0.015,1719,1508.396,29.663,1550888560.93136
-0.01,995.763,0.015,1719,1508.388,29.66,1550888561.64567
-0.01,995.76,0.015,1719,1508.411,29.669,1550888562.35643
-0.009,995.765,0.015,1719,1508.373,29.653,1550888563.06897
-0.009,995.764,0.015,1719,1508.377,29.655,1550888563.78739
-0.01,995.765,0.015,1719,1508.369,29.651,1550888564.51282
-0.009,995.76,0.015,1719,1508.411,29.669,1550888565.22738
-0.009,995.764,0.015,1719,1508.373,29.653,1550888565.94312
-0.009,995.759,0.015,1719,1508.419,29.673,1550888566.65825
-0.011,995.76,0.015,1719,1508.412,29.669,1550888567.37435
-0.01,995.759,0.015,1719,1508.419,29.673,1550888568.08959
-0.01,995.757,0.015,1719,1508.431,29.678,1550888568.80842
-0.009,995.763,0.015,1719,1508.388,29.66,1550888569.52348
-0.01,995.764,0.015,1719,1508.381,29.656,1550888570.23366
-0.01,995.759,0.015,1719,1508.415,29.671,1550888570.94340
-0.009,995.756,0.015,1719,1508.442,29.683,1550888571.65933
-0.01,995.758,0.015,1719,1508.427,29.676,1550888572.38540
-0.009,995.757,0.015,1719,1508.43,29.678,1550888573.10296
-0.01,995.753,0.015,1719,1508.465,29.692,1550888573.82079
-0.01,995.756,0.015,1719,1508.438,29.681,1550888574.53530
-0.009,995.753,0.015,1719,1508.465,29.692,1550888575.25079
-0.01,995.761,0.015,1719,1508.404,29.666,1550888575.96536
-0.01,995.754,0.015,1719,1508.458,29.689,1550888576.68022
-0.009,995.754,0.015,1719,1508.457,29.689,1550888577.39908
-0.01,995.751,0.015,1719,1508.477,29.697,1550888578.11332
-0.01,995.752,0.015,1719,1508.473,29.696,1550888578.83930
-0.01,995.753,0.015,1719,1508.465,29.692,1550888579.57130
-0.008,995.755,0.015,1719,1508.445,29.684,1550888580.28626
-0.008,995.754,0.015,1719,1508.453,29.688,1550888581.00260
-0.01,995.755,0.015,1719,1508.45,29.686,1550888581.75250
-0.009,995.752,0.015,1719,1508.472,29.696,1550888582.50447
-0.01,995.75,0.015,1719,1508.488,29.702,1550888583.24459
-0.01,995.753,0.015,1719,1508.465,29.692,1550888583.99937
-0.01,995.747,0.015,1719,1508.507,29.711,1550888584.75542
-0.01,995.749,0.015,1719,1508.492,29.704,1550888585.52095
-0.01,995.746,0.015,1719,1508.519,29.715,1550888586.25345
-0.01,995.747,0.015,1719,1508.511,29.712,1550888586.96733
-0.009,995.746,0.015,1719,1508.518,29.715,1550888587.68195
-0.008,995.748,0.015,1719,1508.503,29.709,1550888588.39526
-0.008,995.741,0.015,1719,1508.557,29.732,1550888589.11434
-0.009,995.748,0.015,1719,1508.503,29.709,1550888589.82655
