p_int,rh_int,t_int,ts
111.392,10.88,39.222,1550888449.05303
111.389,10.86,39.245,1550888459.66655
111.381,10.84,39.262,1550888470.17139
111.382,10.83,39.292,1550888480.67388
111.377,10.81,39.316,1550888491.20637
111.38,10.8,39.337,1550888501.71879
111.373,10.79,39.357,1550888512.22171
111.37,10.79,39.37,1550888522.74308
111.363,10.77,39.389,1550888533.28450
111.36,10.77,39.414,1550888543.80487
111.358,10.75,39.429,1550888554.30798
111.359,10.75,39.454,1550888564.79743
111.361,10.73,39.465,1550888575.29358
111.366,10.73,39.471,1550888585.86320
111.373,10.72,39.493,1550888596.38731
111.378,10.71,39.528,1550888606.86818
111.386,10.7,39.538,1550888617.39433
111.401,10.69,39.564,1550888627.88407
111.411,10.68,39.579,1550888638.37366
111.423,10.68,39.591,1550888648.91698
111.442,10.67,39.624,1550888659.45515
111.451,10.66,39.64,1550888669.98159
111.477,10.66,39.677,1550888680.48956
111.492,10.65,39.699,1550888690.98235
111.513,10.63,39.726,1550888701.46878
111.537,10.63,39.741,1550888711.99606
111.556,10.63,39.762,1550888722.53044
111.579,10.61,39.801,1550888733.04013
111.601,10.6,39.836,1550888743.52443
111.62,10.6,39.864,1550888754.02316
111.642,10.6,39.881,1550888764.55196
111.664,10.59,39.92,1550888775.09894
111.69,10.58,39.961,1550888785.62741
111.718,10.58,40.002,1550888796.15217
111.738,10.57,40.037,1550888806.68452
111.766,10.56,40.073,1550888817.21312
111.79,10.55,40.13,1550888827.71421
111.818,10.55,40.15,1550888838.24979
111.842,10.53,40.206,1550888848.73203
111.869,10.53,40.236,1550888859.26022
111.895,10.52,40.288,1550888869.78813
111.922,10.51,40.324,1550888880.30720
111.951,10.5,40.369,1550888890.83562
111.977,10.49,40.416,1550888901.35134
112.003,10.49,40.468,1550888911.85956
112.027,10.48,40.516,1550888922.37514
112.054,10.47,40.573,1550888932.85771
112.082,10.47,40.613,1550888943.37924
112.111,10.46,40.672,1550888953.89696
112.133,10.45,40.72,1550888964.43596
112.162,10.44,40.779,1550888974.96029
